Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,2,4,4,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,1,1,1,2,3,4,5
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,3,4,5
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,2,4,4,5
2020-03-15,1,1,1,3,5,5,6
2020-03-16,1,1,1,3,4,5,6
2020-03-17,1,1,1,1,3,3,4
2020-03-18,0,0,0,0,1,1,2
2020-03-19,0,0,0,0,2,3,4
2020-03-20,0,0,0,0,2,3,3
2020-03-21,0,0,0,0,2,2,3
2020-03-22,1,2,2,4,7,7,9
2020-03-23,1,2,2,4,6,7,8
2020-03-24,1,1,1,3,5,5,6
2020-03-25,3,4,4,7,10,11,12
2020-03-26,2,3,3,5,8,9,10
2020-03-27,4,5,5,8,12,12,14
2020-03-28,6,7,7,11,15,16,18
2020-03-29,4,5,5,8,12,13,15
2020-03-30,0,1,2,8,14,16,19
2020-03-31,7,8,9,14,20,22,25
2020-04-01,7,10,12,19,25,27,29
2020-04-02,13,21,23,31,40,43,43
2020-04-03,20,22,23,31,39,41,45
2020-04-04,13,17,18,30,44,48,56
2020-04-05,20,23,24,32,41,44,50
2020-04-06,25,28,30,39,48,50,55
2020-04-07,23,25,27,35,45,47,51
2020-04-08,33,38,40,51,63,66,71
2020-04-09,21,24,26,45,67,72,81
2020-04-10,39,49,53,68,84,87,94
2020-04-11,30,36,39,59,82,87,97
2020-04-12,29,32,34,48,74,80,94
2020-04-13,37,41,43,55,68,72,78
2020-04-14,42,45,47,59,72,75,81
2020-04-15,41,49,54,83,104,108,116
2020-04-16,29,34,40,72,102,108,120
2020-04-17,38,42,44,60,81,90,109
2020-04-18,44,48,51,65,80,84,92
2020-04-19,23,26,27,42,65,71,82
2020-04-20,35,43,46,58,72,75,82
2020-04-21,24,27,28,39,53,59,71
2020-04-22,31,40,44,57,71,74,80
2020-04-23,30,38,43,67,85,88,95
2020-04-24,35,39,41,53,66,69,76
2020-04-25,34,41,44,73,98,101,108
2020-04-26,36,42,46,77,115,123,128
2020-04-27,46,52,54,69,86,90,99
