Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,3,3,3
2020-03-06,0,0,0,1,1,1,1
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,1,1,1,2,3,3,4
2020-03-10,1,1,2,3,5,6,7
2020-03-11,1,1,1,2,3,3,4
2020-03-12,1,1,2,3,6,6,7
2020-03-13,1,2,2,4,6,7,8
2020-03-14,1,1,2,3,5,6,7
2020-03-15,1,1,1,3,5,6,7
2020-03-16,2,2,3,5,8,8,10
2020-03-17,1,1,2,4,6,6,8
2020-03-18,1,2,2,4,6,7,8
2020-03-19,1,2,2,4,7,8,9
2020-03-20,2,2,3,5,8,9,10
2020-03-21,2,2,3,5,8,9,11
2020-03-22,3,4,5,8,12,13,15
2020-03-23,4,5,6,10,14,15,17
2020-03-24,4,6,7,12,17,18,21
2020-03-25,6,7,9,15,21,22,25
2020-03-26,7,9,11,19,25,27,29
2020-03-27,7,8,9,14,20,21,24
2020-03-28,7,8,9,14,20,21,25
2020-03-29,9,10,11,16,22,24,26
2020-03-30,7,8,9,14,21,23,27
2020-03-31,11,13,14,19,26,27,31
2020-04-01,10,11,12,18,24,26,29
2020-04-02,11,12,13,19,26,27,31
2020-04-03,14,17,18,24,32,33,37
2020-04-04,16,19,20,27,34,36,40
2020-04-05,17,19,20,28,36,38,42
2020-04-06,12,14,15,22,32,35,42
2020-04-07,7,10,11,25,39,42,48
2020-04-08,12,14,15,22,31,34,42
2020-04-09,7,9,9,16,26,30,39
2020-04-10,5,6,7,13,21,24,30
2020-04-11,9,10,11,17,23,25,28
2020-04-12,7,8,9,14,20,21,25
2020-04-13,9,11,12,18,24,26,29
2020-04-14,5,6,7,11,17,19,24
2020-04-15,8,10,11,17,23,24,27
2020-04-16,9,12,13,20,26,28,30
2020-04-17,10,12,13,19,25,27,30
2020-04-18,6,7,8,13,19,21,26
2020-04-19,7,9,10,15,20,22,25
2020-04-20,9,12,13,19,25,26,29
