Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,2,3,3,3
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,1,3,3,4
2020-03-17,2,3,3,4,6,7,8
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,2,2,4,7,7,8
2020-03-20,4,5,6,8,10,11,12
2020-03-21,2,2,3,6,9,10,11
2020-03-22,3,3,4,6,10,11,13
2020-03-23,3,4,4,8,14,15,16
2020-03-24,4,5,5,9,15,16,20
2020-03-25,6,8,9,15,20,21,23
2020-03-26,7,8,9,17,26,28,30
2020-03-27,8,10,11,19,31,32,36
2020-03-28,10,12,14,25,35,37,40
2020-03-29,15,17,18,25,32,34,37
2020-03-30,21,23,25,32,41,42,46
2020-03-31,10,13,16,31,44,47,52
2020-04-01,12,14,16,28,46,50,57
2020-04-02,23,27,28,38,48,50,55
2020-04-03,10,12,13,22,36,40,48
2020-04-04,17,20,21,29,38,40,45
2020-04-05,22,24,26,34,43,45,50
2020-04-06,17,19,21,28,38,40,46
2020-04-07,15,17,18,26,36,40,49
2020-04-08,14,16,17,25,35,38,45
2020-04-09,13,15,16,23,32,35,42
2020-04-10,12,14,15,22,30,32,37
2020-04-11,8,11,13,23,34,37,42
2020-04-12,15,20,22,31,40,42,46
2020-04-13,6,8,9,15,24,28,35
2020-04-14,8,10,10,16,22,23,27
2020-04-15,8,9,10,15,22,23,27
2020-04-16,1,3,5,13,22,24,29
2020-04-17,8,11,12,19,26,27,30
2020-04-18,5,6,6,11,16,17,19
2020-04-19,5,6,6,10,15,16,19
2020-04-20,2,3,3,7,12,14,18
2020-04-21,0,0,0,5,11,13,16
2020-04-22,2,3,3,6,10,11,13
2020-04-23,0,0,0,2,5,6,8
2020-04-24,2,3,3,6,9,10,11
2020-04-25,2,2,3,5,9,9,11
2020-04-26,0,0,0,1,4,5,7
2020-04-27,1,2,2,4,7,7,8
2020-04-28,0,0,0,1,3,4,5
2020-04-29,0,0,0,1,3,3,5
2020-04-30,1,1,1,2,4,4,5
2020-05-01,0,0,0,0,2,2,3
2020-05-02,1,1,1,2,3,4,5
2020-05-03,1,1,1,1,3,3,4
2020-05-04,1,1,1,2,3,4,5
2020-05-05,1,1,1,1,3,3,4
2020-05-06,0,0,0,0,0,1,1
2020-05-07,1,1,1,1,3,3,4
2020-05-08,0,0,0,0,0,0,0
2020-05-09,1,1,1,2,3,3,4
2020-05-10,1,1,1,1,3,3,4
2020-05-11,0,0,0,0,0,0,0
2020-05-12,1,1,1,2,4,4,5
2020-05-13,1,1,1,2,3,3,4
2020-05-14,1,1,1,1,3,3,4
2020-05-15,0,0,0,0,1,5,5
2020-05-16,0,0,0,0,0,0,1
2020-05-17,0,0,0,0,0,0,1
2020-05-18,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0
2020-05-20,1,1,1,1,3,3,4
2020-05-21,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0
2020-05-25,1,1,1,1,3,3,4
2020-05-26,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0
2020-05-29,1,1,1,1,3,3,4
2020-05-30,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0
2020-06-01,1,1,1,1,3,3,4
2020-06-02,4,4,4,6,8,9,10
2020-06-03,1,1,2,3,5,6,7
2020-06-04,1,1,1,2,3,4,4
2020-06-05,0,0,0,1,2,3,4
2020-06-06,0,0,0,1,3,3,4
2020-06-07,0,0,0,1,2,3,4
2020-06-08,0,0,0,0,2,3,5
2020-06-09,0,0,0,0,2,2,4
2020-06-10,0,0,0,0,2,2,3
2020-06-11,0,0,0,0,1,2,3
2020-06-12,1,1,1,1,3,3,4
2020-06-13,0,0,0,0,1,2,5
2020-06-14,0,0,0,0,0,1,3
2020-06-15,0,0,0,0,0,0,1
2020-06-16,1,1,1,1,3,3,4
2020-06-17,0,0,0,0,0,0,2
2020-06-18,1,1,1,1,3,3,4
2020-06-19,0,0,0,0,0,0,2
2020-06-20,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0
2020-06-23,0,0,0,1,3,3,3
2020-06-24,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0
2020-07-13,1,1,1,2,3,4,5
2020-07-14,1,1,1,2,3,4,5
2020-07-15,1,1,1,1,3,3,4
2020-07-16,1,2,2,3,6,6,8
2020-07-17,1,1,1,2,4,5,6
2020-07-18,0,0,0,1,2,3,4
2020-07-19,0,0,0,0,2,3,4
2020-07-20,1,1,1,3,5,6,7
2020-07-21,0,0,0,1,3,3,5
2020-07-22,1,1,2,4,6,7,8
2020-07-23,0,0,0,1,3,4,5
2020-07-24,2,2,3,5,8,8,10
2020-07-25,0,0,0,1,4,4,7
2020-07-26,0,0,0,1,3,4,6
2020-07-27,2,2,3,6,9,10,11
2020-07-28,0,0,0,2,3,3,5
2020-07-29,2,2,3,6,10,11,12
2020-07-30,1,2,2,4,7,8,9
2020-07-31,1,1,1,4,7,7,9
2020-08-01,0,0,0,1,5,6,9
2020-08-02,0,0,0,1,4,4,7
2020-08-03,2,2,3,7,11,12,13
2020-08-04,1,1,1,3,6,6,8
2020-08-05,0,0,0,1,3,4,6
2020-08-06,1,2,2,4,7,7,9
2020-08-07,2,3,3,7,11,12,13
2020-08-08,0,0,0,1,5,6,9
2020-08-09,0,0,0,1,4,4,7
2020-08-10,2,2,3,5,8,9,11
2020-08-11,0,0,0,1,3,4,6
2020-08-12,2,2,3,7,11,13,14
2020-08-13,1,2,2,4,7,8,10
2020-08-14,2,3,4,6,10,11,13
2020-08-15,0,0,0,2,6,8,11
2020-08-16,0,0,0,1,4,5,8
2020-08-17,2,3,3,8,14,15,16
2020-08-18,0,0,0,1,4,5,8
2020-08-19,3,3,4,9,15,16,18
2020-08-20,0,0,0,2,7,8,11
2020-08-21,3,4,5,11,18,19,21
2020-08-22,0,0,0,3,9,11,14
2020-08-23,0,0,0,2,5,6,10
2020-08-24,3,5,6,10,15,16,19
2020-08-25,0,0,0,2,6,7,10
2020-08-26,4,5,5,9,14,15,18
2020-08-27,0,0,0,3,8,9,12
2020-08-28,3,4,5,12,20,21,26
2020-08-29,0,0,0,2,5,5,8
2020-08-30,0,0,0,1,4,4,6
2020-08-31,5,6,6,10,15,18,18
2020-09-01,3,4,4,8,12,13,15
2020-09-02,6,7,8,12,17,18,20
2020-09-03,0,0,0,3,6,6,8
2020-09-04,4,5,6,11,16,17,20
2020-09-05,0,0,0,5,12,13,16
2020-09-06,0,0,0,4,10,12,15
2020-09-07,5,6,7,11,18,19,25
2020-09-08,0,0,0,3,9,10,13
2020-09-09,4,5,6,10,18,23,28
2020-09-10,0,0,0,2,5,5,7
2020-09-11,7,7,7,16,25,25,30
2020-09-12,1,2,3,10,18,20,23
2020-09-13,1,2,3,10,17,19,22
2020-09-14,10,12,13,20,27,28,30
2020-09-15,0,1,2,9,17,18,22
2020-09-16,6,7,8,19,33,35,37
2020-09-17,0,0,0,3,6,7,9
2020-09-18,10,12,12,19,29,29,29
2020-09-19,4,6,7,14,22,24,28
2020-09-20,3,6,7,14,22,24,28
2020-09-21,30,30,30,30,30,30,30
2020-09-22,2,4,5,10,16,17,20
2020-09-23,35,38,39,47,56,58,61
2020-09-24,3,4,5,11,17,18,21
2020-09-25,19,22,24,34,45,48,55
2020-09-26,16,19,21,31,43,46,50
2020-09-27,16,20,21,32,44,47,52
2020-09-28,26,27,30,43,56,62,63
2020-09-29,4,6,7,13,20,22,25
2020-09-30,45,48,50,60,72,75,79
2020-10-01,4,6,7,13,21,22,26
2020-10-02,25,30,34,48,59,61,66
2020-10-03,19,23,25,39,53,57,65
2020-10-04,18,23,25,39,54,58,66
2020-10-05,30,34,37,51,67,71,78
2020-10-06,3,4,4,11,17,19,23
2020-10-07,89,97,100,110,115,115,118
2020-10-08,6,8,9,16,24,26,30
2020-10-09,29,33,36,51,68,72,82
2020-10-10,24,28,31,46,64,68,77
2020-10-11,23,27,29,46,65,69,78
2020-10-12,48,49,51,69,82,97,114
2020-10-13,6,7,9,17,26,28,32
2020-10-14,97,103,107,125,140,140,140
2020-10-15,8,8,10,18,27,30,33
2020-10-16,35,40,42,58,77,81,90
2020-10-17,27,32,34,51,71,76,86
2020-10-18,25,29,32,49,69,74,84
2020-10-19,101,101,101,101,101,101,101
2020-10-20,13,16,18,29,41,43,49
2020-10-21,108,113,116,134,152,156,164
2020-10-22,84,87,87,106,137,140,140
2020-10-23,77,85,89,118,161,173,193
2020-10-24,74,83,88,117,150,158,175
2020-10-25,15,19,21,33,46,49,56
2020-10-26,152,159,164,186,217,221,238
2020-10-27,75,81,84,101,121,125,134
2020-10-28,86,92,95,114,136,140,151
2020-10-29,67,79,87,120,154,161,175
2020-10-30,81,87,90,109,132,137,152
2020-10-31,76,81,84,102,122,127,135
2020-11-01,62,66,69,85,104,108,119
2020-11-02,55,60,63,80,105,114,131
2020-11-03,50,58,61,85,113,119,134
2020-11-04,55,64,70,107,134,139,149
2020-11-05,64,70,74,91,110,115,123
2020-11-06,52,52,52,52,52,52,52
2020-11-07,44,49,52,68,85,89,96
2020-11-08,45,49,51,63,75,78,83
2020-11-09,40,44,45,56,67,70,75
2020-11-10,32,35,37,47,57,60,64
2020-11-11,32,37,39,60,79,81,87
2020-11-12,33,37,38,48,60,62,67
2020-11-13,29,33,35,50,70,75,85
2020-11-14,22,26,28,43,58,62,69
2020-11-15,26,30,32,46,63,67,74
2020-11-16,28,31,33,42,53,55,60
2020-11-17,25,28,29,38,48,50,56
2020-11-18,39,42,44,55,66,68,72
2020-11-19,31,34,36,46,58,60,65
2020-11-20,27,33,37,58,73,76,82
2020-11-21,35,43,46,59,72,75,80
2020-11-22,35,38,40,51,64,67,72
2020-11-23,35,38,40,51,63,66,71
2020-11-24,34,37,39,50,62,65,71
2020-11-25,37,45,50,65,80,83,89
2020-11-26,37,43,47,74,98,101,108
2020-11-27,50,56,58,73,88,92,98
2020-11-28,41,48,52,74,98,103,113
2020-11-29,61,71,75,93,111,116,124
2020-11-30,35,39,41,66,103,110,131
2020-12-01,37,42,44,56,70,73,80
2020-12-02,40,44,46,58,73,76,85
2020-12-03,44,48,50,63,77,81,87
2020-12-04,38,42,44,56,70,73,81
2020-12-05,38,41,43,55,68,71,78
2020-12-06,34,38,39,51,63,67,75
2020-12-07,28,31,32,43,58,63,74
2020-12-08,30,34,36,46,57,60,66
2020-12-09,26,29,30,40,51,53,60
2020-12-10,21,24,25,34,45,48,57
2020-12-11,26,31,33,42,53,55,60
2020-12-12,27,33,35,46,57,59,64
2020-12-13,29,34,36,46,57,59,63
2020-12-14,28,32,34,43,54,56,62
2020-12-15,18,23,25,40,56,59,67
2020-12-16,27,34,38,53,66,68,75
2020-12-17,17,19,20,29,41,45,55
2020-12-18,33,36,37,47,58,61,66
2020-12-19,27,30,32,41,52,55,60
2020-12-20,15,18,19,32,51,55,63
2020-12-21,18,20,22,30,40,43,53
2020-12-22,20,22,24,32,41,43,48
2020-12-23,21,24,26,34,43,45,50
2020-12-24,19,22,23,31,39,41,45
2020-12-25,19,23,26,42,55,57,63
2020-12-26,23,30,33,43,54,57,62
2020-12-27,13,15,17,29,49,53,61
2020-12-28,26,33,35,47,59,62,66
2020-12-29,29,32,34,44,55,57,62
2020-12-30,36,42,45,56,69,71,77
2020-12-31,39,45,48,60,73,76,81
2021-01-01,44,49,51,64,78,81,87
2021-01-02,38,41,43,55,69,72,81
2021-01-03,26,30,32,55,81,86,96
2021-01-04,40,44,47,59,74,77,85
2021-01-05,42,46,48,61,75,78,85
2021-01-06,33,36,37,49,62,66,74
2021-01-07,29,34,37,56,77,81,91
2021-01-08,34,40,43,64,93,104,121
2021-01-09,40,50,58,83,103,108,113
2021-01-10,6,6,6,11,20,22,23
2021-01-11,3,4,5,10,16,18,20
2021-01-12,44,47,49,58,67,68,72
2021-01-13,20,24,25,36,48,51,56
2021-01-14,22,27,30,41,50,53,57
2021-01-15,20,24,26,48,64,67,71
2021-01-16,48,52,53,64,75,77,82
2021-01-17,31,34,36,45,56,58,63
2021-01-18,25,30,32,46,61,64,71
2021-01-19,30,34,37,52,71,76,87
2021-01-20,31,36,38,55,78,85,94
2021-01-21,47,50,52,64,77,80,86
2021-01-22,30,34,35,46,57,60,66
2021-01-23,53,57,59,72,86,89,96
2021-01-24,39,42,44,56,70,73,83
2021-01-25,37,41,42,54,68,71,81
2021-01-26,34,37,39,50,64,69,80
2021-01-27,43,52,55,69,84,87,94
2021-01-28,45,49,51,63,77,80,86
2021-01-29,42,47,49,61,75,78,85
2021-01-30,38,41,43,55,69,73,84
2021-01-31,39,43,45,56,69,73,80
2021-02-01,29,33,34,47,66,71,83
2021-02-02,33,36,38,49,62,65,72
2021-02-03,36,40,41,53,65,67,73
2021-02-04,38,45,48,60,73,76,82
2021-02-05,28,31,32,43,57,62,73
2021-02-06,26,29,30,40,52,56,67
2021-02-07,30,33,35,45,56,59,64
2021-02-08,19,22,23,32,45,50,60
2021-02-09,23,27,28,37,47,50,54
2021-02-10,24,27,29,38,48,50,55
2021-02-11,24,27,29,37,47,49,54
2021-02-12,23,25,27,35,45,47,52
2021-02-13,22,25,27,35,45,47,51
2021-02-14,23,27,28,37,47,49,54
2021-02-15,22,25,26,35,44,46,51
2021-02-16,13,15,17,25,37,41,49
2021-02-17,17,20,21,29,37,39,43
2021-02-18,17,19,20,27,35,37,41
2021-02-19,18,22,24,32,40,42,46
2021-02-20,17,19,20,27,35,37,41
2021-02-21,16,19,20,27,35,37,41
2021-02-22,10,11,12,19,30,33,40
2021-02-23,15,17,18,25,33,35,38
2021-02-24,15,20,22,30,39,40,45
2021-02-25,15,17,18,25,32,34,38
2021-02-26,14,16,17,24,32,34,37
2021-02-27,16,18,19,26,34,36,39
2021-02-28,11,13,14,21,28,30,35
2021-03-01,14,16,17,23,30,32,36
2021-03-02,12,14,15,21,28,30,33
2021-03-03,13,17,20,30,40,41,45
2021-03-04,16,19,20,27,35,37,40
2021-03-05,14,16,17,24,31,33,37
2021-03-06,13,15,17,23,31,33,37
2021-03-07,14,16,17,24,31,33,37
2021-03-08,15,18,19,26,34,36,39
2021-03-09,13,15,16,23,30,32,36
2021-03-10,16,20,23,33,42,44,48
2021-03-11,10,13,15,26,39,41,48
2021-03-12,15,18,20,35,54,58,64
2021-03-13,18,21,22,30,40,42,46
2021-03-14,23,26,28,36,46,48,53
2021-03-15,17,19,20,28,36,39,45
2021-03-16,19,22,23,31,40,43,47
2021-03-17,23,27,29,38,48,50,55
2021-03-18,22,25,26,35,44,46,51
2021-03-19,25,27,29,38,47,50,54
2021-03-20,28,33,35,45,56,58,62
2021-03-21,26,28,30,39,50,52,58
2021-03-22,22,24,25,35,46,49,59
2021-03-23,29,33,34,44,55,57,62
2021-03-24,31,34,36,46,57,59,64
2021-03-25,32,36,38,48,59,62,67
2021-03-26,31,35,37,47,59,61,66
2021-03-27,34,42,47,63,78,81,86
2021-03-28,32,35,37,48,62,66,76
2021-03-29,30,33,35,46,59,65,76
2021-03-30,38,42,44,55,67,70,76
2021-03-31,41,47,49,62,76,79,85
2021-04-01,33,37,39,50,64,67,78
2021-04-02,41,46,48,60,74,77,83
2021-04-03,42,46,48,60,73,76,82
2021-04-04,41,45,47,59,72,76,82
2021-04-05,40,44,46,58,71,75,82
2021-04-06,34,37,39,50,64,68,79
2021-04-07,28,32,34,45,60,65,78
2021-04-08,33,36,37,48,60,63,69
2021-04-09,32,36,37,48,59,62,67
2021-04-10,29,32,34,44,55,57,63
2021-04-11,31,35,36,47,58,60,65
2021-04-12,25,28,30,39,50,52,57
2021-04-13,23,26,27,36,46,49,54
2021-04-14,19,22,23,31,41,43,50
2021-04-15,12,16,18,30,45,49,55
2021-04-16,17,20,22,38,60,64,72
2021-04-17,20,25,30,49,62,66,71
2021-04-18,23,26,27,37,47,50,55
2021-04-19,19,23,25,40,58,62,70
2021-04-20,26,32,37,56,71,74,79
2021-04-21,30,33,35,46,57,59,65
2021-04-22,19,22,24,32,42,44,49
2021-04-23,28,35,40,54,67,69,75
2021-04-24,16,19,21,38,60,64,73
2021-04-25,24,27,29,38,50,53,60
2021-04-26,17,19,20,28,38,41,48
2021-04-27,22,26,27,36,46,48,53
2021-04-28,18,20,22,30,39,41,47
2021-04-29,20,25,28,41,52,54,58
2021-04-30,21,24,26,34,44,46,51
2021-05-01,14,18,20,32,46,50,56
2021-05-02,23,28,31,43,54,56,61
2021-05-03,11,13,14,22,34,38,47
2021-05-04,14,16,17,24,32,34,37
2021-05-05,15,17,18,25,33,35,39
2021-05-06,14,16,17,24,31,33,37
2021-05-07,15,17,19,26,33,35,38
2021-05-08,10,12,13,19,27,29,34
2021-05-09,10,12,13,19,26,27,31
2021-05-10,5,6,7,13,25,27,32
2021-05-11,9,11,12,17,24,25,29
2021-05-12,10,13,14,20,27,28,31
2021-05-13,2,4,5,13,23,25,28
2021-05-14,8,9,11,21,33,35,38
2021-05-15,1,3,4,12,21,23,28
2021-05-16,0,0,0,4,10,12,16
2021-05-17,7,9,10,17,29,30,33
2021-05-18,7,9,9,14,19,20,23
2021-05-19,0,1,1,9,19,21,25
2021-05-20,0,0,1,8,19,21,25
