Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,4,4,4
2020-03-03,1,1,1,3,5,5,6
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,3,4,4
2020-03-06,0,0,0,0,0,0,1
2020-03-07,1,2,2,3,6,6,8
2020-03-08,0,0,0,0,2,3,3
2020-03-09,0,0,0,0,1,2,3
2020-03-10,3,3,3,5,8,8,9
2020-03-11,0,0,0,1,3,4,5
2020-03-12,2,3,4,6,9,10,11
2020-03-13,0,0,0,1,3,4,5
2020-03-14,0,0,0,1,4,5,6
2020-03-15,2,3,3,6,10,11,12
2020-03-16,0,0,0,2,5,5,7
2020-03-17,0,0,0,1,4,5,7
2020-03-18,2,3,4,8,12,13,14
2020-03-19,3,4,4,8,13,15,18
2020-03-20,0,0,0,3,7,8,11
2020-03-21,4,5,6,9,13,14,16
2020-03-22,0,0,0,2,5,6,9
2020-03-23,5,5,6,10,15,16,19
2020-03-24,6,7,7,12,19,21,25
2020-03-25,8,9,10,15,21,23,26
2020-03-26,0,0,1,4,9,16,24
2020-03-27,31,34,36,43,51,53,56
2020-03-28,33,35,37,45,54,56,59
2020-03-29,45,54,55,66,77,79,84
2020-03-30,31,34,36,46,57,59,64
2020-03-31,39,43,45,56,68,70,76
2020-04-01,43,49,52,69,88,93,105
2020-04-02,51,56,60,79,100,105,114
2020-04-03,59,66,69,91,115,120,131
2020-04-04,76,90,96,125,170,179,198
2020-04-05,173,182,186,215,245,250,263
2020-04-06,191,201,206,239,273,280,295
2020-04-07,211,224,231,269,308,317,334
2020-04-08,239,254,262,305,350,361,382
2020-04-09,273,290,298,347,401,412,438
2020-04-10,311,328,336,393,454,471,500
2020-04-11,328,348,358,418,490,510,563
2020-04-12,346,364,374,441,525,557,639
2020-04-13,359,380,391,462,555,593,680
2020-04-14,373,394,409,483,580,627,719
2020-04-15,389,409,421,497,592,628,713
2020-04-16,404,429,441,515,599,625,697
2020-04-17,413,436,447,523,610,632,693
2020-04-18,395,431,450,571,714,745,813
2020-04-19,411,434,446,522,609,636,714
2020-04-20,407,431,445,513,588,608,644
2020-04-21,406,428,439,508,582,599,633
2020-04-22,394,416,427,496,570,586,622
2020-04-23,399,425,438,508,584,599,634
2020-04-24,392,423,436,506,580,597,635
2020-04-25,391,424,437,507,584,600,631
2020-04-26,389,422,436,509,585,603,637
2020-04-27,374,400,413,480,552,569,603
2020-04-28,369,417,434,504,579,596,628
2020-04-29,374,422,439,510,589,606,641
2020-04-30,387,427,443,515,593,608,642
2020-05-01,389,432,448,523,602,620,654
2020-05-02,404,440,455,529,608,624,656
2020-05-03,412,447,461,536,614,632,666
2020-05-04,423,454,468,542,619,638,674
2020-05-05,379,402,414,481,554,572,610
2020-05-06,405,437,451,523,600,616,649
2020-05-07,393,419,430,499,575,591,627
2020-05-08,409,439,454,525,601,619,654
2020-05-09,404,462,485,567,650,668,707
2020-05-10,388,432,460,631,764,782,816
2020-05-11,477,532,551,641,736,759,800
2020-05-12,518,591,615,718,817,839,890
2020-05-13,564,601,618,711,812,832,880
2020-05-14,569,599,615,710,811,833,878
2020-05-15,597,631,648,748,854,875,929
2020-05-16,626,665,682,788,903,926,972
2020-05-17,608,643,662,763,876,904,960
2020-05-18,661,700,720,828,950,974,1029
2020-05-19,689,731,752,865,989,1016,1069
2020-05-20,730,777,800,922,1050,1080,1138
2020-05-21,732,773,795,914,1047,1075,1140
2020-05-22,787,832,856,986,1126,1158,1222
2020-05-23,708,746,769,894,1037,1080,1190
2020-05-24,684,722,740,865,1010,1053,1172
2020-05-25,693,733,752,873,1013,1043,1115
2020-05-26,665,699,720,835,966,996,1069
2020-05-27,705,746,766,885,1018,1047,1106
2020-05-28,534,568,584,733,997,1060,1169
2020-05-29,545,576,593,693,810,844,966
2020-05-30,572,607,625,723,831,855,906
2020-05-31,536,564,579,674,777,801,857
2020-06-01,511,541,556,644,742,765,811
2020-06-02,478,507,521,608,702,723,765
2020-06-03,460,484,497,579,668,686,730
2020-06-04,462,515,533,619,710,730,770
2020-06-05,471,506,520,602,692,708,748
2020-06-06,468,504,519,602,690,709,745
2020-06-07,435,460,473,550,635,654,693
2020-06-08,443,470,483,559,643,660,707
2020-06-09,420,446,458,532,613,632,666
2020-06-10,438,477,492,570,654,672,712
2020-06-11,397,420,431,500,579,597,636
2020-06-12,404,429,443,512,590,606,642
2020-06-13,390,415,427,495,570,587,621
2020-06-14,286,304,316,404,554,586,652
2020-06-15,289,307,316,373,441,460,525
2020-06-16,279,297,306,358,417,430,455
2020-06-17,284,306,316,370,429,441,467
2020-06-18,282,307,317,371,428,441,469
2020-06-19,283,309,319,373,432,444,471
2020-06-20,288,310,320,372,429,440,461
2020-06-21,290,313,323,376,433,447,470
2020-06-22,289,309,319,371,427,440,464
2020-06-23,289,311,320,372,429,441,469
2020-06-24,300,339,353,413,476,488,518
2020-06-25,323,345,356,413,473,488,508
2020-06-26,324,343,352,409,471,485,512
2020-06-27,314,332,342,399,461,473,504
2020-06-28,337,360,370,429,495,510,536
2020-06-29,349,369,381,441,508,521,554
2020-06-30,341,362,372,432,496,511,544
2020-07-01,334,355,364,423,489,505,541
2020-07-02,332,351,361,421,488,502,541
2020-07-03,332,371,392,540,647,666,692
2020-07-04,376,430,468,615,719,734,774
2020-07-05,495,542,560,648,746,765,811
2020-07-06,458,483,497,580,676,704,780
2020-07-07,461,486,501,585,682,704,779
2020-07-08,408,432,446,541,705,755,840
2020-07-09,444,472,484,566,658,682,741
2020-07-10,413,437,447,526,617,646,723
2020-07-11,364,388,401,478,595,639,728
2020-07-12,353,374,386,454,540,570,652
2020-07-13,303,327,336,404,499,541,607
2020-07-14,315,332,342,399,464,480,519
2020-07-15,253,269,277,332,417,447,507
2020-07-16,244,258,266,312,365,379,423
2020-07-17,239,253,260,305,352,363,387
2020-07-18,228,242,249,290,337,347,368
2020-07-19,180,192,198,235,280,292,327
2020-07-20,192,211,219,258,300,309,328
2020-07-21,177,208,225,272,317,327,344
2020-07-22,181,194,200,236,275,284,303
2020-07-23,184,199,206,243,281,290,309
2020-07-24,184,200,208,245,286,293,309
2020-07-25,171,196,213,270,316,327,347
2020-07-26,175,199,215,293,346,357,380
2020-07-27,202,217,224,264,308,317,339
2020-07-28,204,238,260,322,376,386,410
2020-07-29,240,276,290,342,396,408,430
2020-07-30,245,259,267,313,362,373,398
2020-07-31,235,250,257,302,352,363,392
2020-08-01,220,233,239,283,336,351,399
2020-08-02,205,217,225,268,318,332,377
2020-08-03,160,171,179,252,352,370,404
2020-08-04,163,173,179,218,271,299,356
2020-08-05,186,201,208,247,290,300,320
2020-08-06,182,194,201,237,278,287,305
2020-08-07,171,182,188,223,260,270,289
2020-08-08,180,192,199,234,272,280,299
2020-08-09,174,185,191,226,264,272,289
2020-08-10,150,159,165,197,233,243,270
2020-08-11,168,192,202,240,279,288,305
2020-08-12,179,194,200,236,274,283,300
2020-08-13,186,210,218,256,299,307,324
2020-08-14,188,219,236,289,337,347,365
2020-08-15,214,230,237,278,322,331,348
2020-08-16,183,195,200,239,287,303,346
2020-08-17,190,200,207,245,289,299,325
2020-08-18,198,232,253,317,372,382,404
2020-08-19,216,244,264,362,431,445,466
2020-08-20,260,308,338,409,475,489,513
2020-08-21,309,329,339,396,458,471,502
2020-08-22,336,357,367,426,491,507,536
2020-08-23,328,347,357,417,484,500,542
2020-08-24,268,290,299,402,550,576,628
2020-08-25,292,310,319,381,458,491,572
2020-08-26,320,340,350,410,474,490,524
2020-08-27,357,389,402,468,539,554,587
2020-08-28,328,348,359,419,488,503,547
2020-08-29,347,367,377,440,509,524,558
2020-08-30,314,332,342,401,472,493,547
2020-08-31,365,412,428,500,578,593,629
2020-09-01,411,444,462,537,619,636,675
2020-09-02,407,457,496,635,738,756,798
2020-09-03,484,513,528,613,703,722,764
2020-09-04,499,525,540,627,721,742,789
2020-09-05,552,585,600,693,795,818,859
2020-09-06,465,489,503,600,735,788,882
2020-09-07,431,458,470,567,731,786,878
2020-09-08,509,540,555,643,740,763,809
2020-09-09,515,591,645,785,910,936,996
2020-09-10,610,706,736,862,991,1018,1081
2020-09-11,711,757,779,900,1033,1060,1125
2020-09-12,774,823,847,974,1109,1139,1199
2020-09-13,609,644,666,834,1119,1183,1296
2020-09-14,664,703,725,843,982,1019,1125
2020-09-15,603,633,652,766,905,955,1096
2020-09-16,665,711,732,846,973,1001,1060
2020-09-17,647,682,701,813,933,962,1025
2020-09-18,676,718,741,854,979,1008,1063
2020-09-19,658,694,713,823,945,971,1026
2020-09-20,581,615,631,734,852,884,978
2020-09-21,571,601,617,716,828,855,912
2020-09-22,608,670,693,803,921,946,993
2020-09-23,552,628,672,908,1075,1106,1164
2020-09-24,666,770,803,933,1066,1095,1154
2020-09-25,743,806,831,962,1108,1137,1188
2020-09-26,799,863,890,1024,1169,1203,1267
2020-09-27,724,765,786,910,1053,1085,1162
2020-09-28,589,627,645,804,1085,1150,1253
2020-09-29,739,799,825,960,1110,1142,1214
2020-09-30,767,866,898,1043,1197,1231,1299
2020-10-01,864,930,957,1106,1265,1296,1370
2020-10-02,901,963,992,1144,1311,1344,1418
2020-10-03,950,1011,1038,1197,1366,1406,1476
