Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,1,3,3,4
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,1,1,1,3,5,5,6
2020-03-08,1,1,1,2,4,4,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,3,4,5,6
2020-03-11,1,1,1,2,3,4,5
2020-03-12,0,0,0,0,1,1,3
2020-03-13,1,2,2,4,7,7,9
2020-03-14,1,1,1,2,4,5,6
2020-03-15,2,2,3,5,8,9,10
2020-03-16,2,3,3,6,9,10,12
2020-03-17,2,3,4,7,11,12,14
2020-03-18,3,4,5,8,12,12,14
2020-03-19,4,5,6,11,16,17,19
2020-03-20,5,6,7,12,21,23,26
2020-03-21,6,7,8,17,26,27,30
2020-03-22,11,14,15,22,31,32,36
2020-03-23,16,20,21,29,37,38,41
2020-03-24,17,20,21,32,50,56,63
2020-03-25,1,3,3,8,14,16,18
2020-03-26,26,26,26,40,43,43,70
2020-03-27,25,29,31,46,68,73,80
2020-03-28,29,34,36,61,92,97,103
2020-03-29,39,42,44,55,72,78,93
2020-03-30,50,54,56,69,87,93,105
2020-03-31,53,60,64,101,138,147,164
2020-04-01,53,60,65,105,153,160,174
2020-04-02,62,67,70,87,108,130,170
2020-04-03,90,96,99,119,145,155,171
2020-04-04,126,134,139,175,210,218,230
2020-04-05,92,103,110,164,228,238,262
2020-04-06,92,99,103,136,220,241,278
2020-04-07,76,83,87,151,273,290,330
2020-04-08,81,86,89,108,130,135,144
2020-04-09,75,81,84,108,149,159,177
2020-04-10,93,108,119,154,184,190,203
2020-04-11,78,89,94,129,168,176,194
2020-04-12,104,121,127,154,182,188,200
2020-04-13,63,68,70,94,134,151,189
2020-04-14,55,60,63,81,100,104,112
2020-04-15,57,68,74,119,158,164,178
2020-04-16,72,90,96,119,143,148,159
2020-04-17,74,80,83,101,123,128,139
2020-04-18,67,73,75,93,112,117,127
2020-04-19,60,65,68,84,102,107,116
2020-04-20,60,71,75,93,112,116,125
