Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,1,1,1,1,1
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,1,1,1,1
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,1,1,2,3,4,5
2020-03-13,1,1,1,2,4,4,5
2020-03-14,1,1,2,3,6,6,7
2020-03-15,1,1,2,3,5,6,7
2020-03-16,2,2,3,4,7,7,8
2020-03-17,2,3,3,5,8,8,9
2020-03-18,1,2,2,4,7,7,9
2020-03-19,9,10,10,14,18,19,20
2020-03-20,6,8,9,12,17,17,19
2020-03-21,4,6,6,12,19,20,22
2020-03-22,5,7,7,13,22,23,27
2020-03-23,7,8,9,15,25,27,31
2020-03-24,8,9,10,14,20,21,23
2020-03-25,9,10,11,16,22,23,26
2020-03-26,13,15,16,22,29,30,33
2020-03-27,13,16,18,29,39,40,44
2020-03-28,15,18,20,31,43,47,55
2020-03-29,13,15,16,24,35,39,47
2020-03-30,28,34,36,47,58,60,65
2020-03-31,33,36,38,48,59,62,67
2020-04-01,29,32,34,44,56,59,65
2020-04-02,36,43,47,71,89,92,99
2020-04-03,50,55,58,72,87,91,98
2020-04-04,34,38,41,71,102,108,121
2020-04-05,41,46,48,64,91,103,122
2020-04-06,38,45,48,73,106,114,131
2020-04-07,33,43,48,74,102,109,122
2020-04-08,30,35,37,73,108,115,132
2020-04-09,32,36,38,48,61,65,71
2020-04-10,20,23,25,43,61,64,72
2020-04-11,25,27,29,38,50,53,62
2020-04-12,31,34,36,45,56,58,63
2020-04-13,21,24,25,34,43,46,51
2020-04-14,21,24,25,34,44,47,53
2020-04-15,26,30,32,41,51,53,58
2020-04-16,27,32,34,43,54,56,61
2020-04-17,27,30,32,41,51,53,58
2020-04-18,28,32,34,44,54,56,61
2020-04-19,28,31,33,42,52,54,59
2020-04-20,29,33,35,45,55,58,63
2020-04-21,29,36,40,52,64,67,72
2020-04-22,31,37,42,58,72,75,80
2020-04-23,34,38,40,51,63,65,71
2020-04-24,39,46,50,63,77,80,86
