Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,2,4,5,6
2020-03-02,1,1,1,3,5,5,6
2020-03-03,1,2,2,5,7,8,9
2020-03-04,2,2,2,5,9,9,10
2020-03-05,1,1,1,3,5,6,7
2020-03-06,1,2,2,4,6,7,8
2020-03-07,1,1,1,3,6,6,7
2020-03-08,2,3,3,7,10,11,13
2020-03-09,2,3,4,7,11,12,14
2020-03-10,3,4,4,9,13,14,16
2020-03-11,3,4,5,11,16,18,19
2020-03-12,0,0,0,4,10,12,15
2020-03-13,7,8,9,13,19,20,23
2020-03-14,7,8,9,14,20,21,24
2020-03-15,7,8,9,15,26,29,33
2020-03-16,33,36,37,44,53,53,58
2020-03-17,19,24,25,44,56,57,61
2020-03-18,21,24,26,37,48,51,55
2020-03-19,24,28,30,42,54,57,63
2020-03-20,28,32,34,47,62,65,75
2020-03-21,118,121,127,142,154,156,173
2020-03-22,68,74,78,97,120,124,134
2020-03-23,88,97,101,120,139,143,151
2020-03-24,87,97,102,129,158,162,180
2020-03-25,182,192,196,223,251,257,270
2020-03-26,248,260,266,300,335,341,358
2020-03-27,235,247,253,289,328,336,352
2020-03-28,221,242,251,324,417,432,451
2020-03-29,281,297,305,352,404,415,439
2020-03-30,318,333,341,394,453,465,490
2020-03-31,295,376,394,493,600,625,669
2020-04-01,328,360,384,547,685,713,769
2020-04-02,395,456,491,638,797,830,897
2020-04-03,327,394,416,516,658,674,785
2020-04-04,381,421,440,559,692,723,784
2020-04-05,364,405,431,550,664,704,735
2020-04-06,173,188,196,235,283,292,313
2020-04-07,159,172,179,218,262,271,291
2020-04-08,165,178,185,224,268,276,296
2020-04-09,272,293,304,374,450,464,498
2020-04-10,260,284,295,364,440,454,486
2020-04-11,251,273,285,356,433,451,484
2020-04-12,50,57,64,89,120,136,136
2020-04-13,71,77,81,104,128,133,145
2020-04-14,83,90,94,115,139,144,154
2020-04-15,106,117,122,156,190,198,212
2020-04-16,87,95,100,129,160,167,179
2020-04-17,56,61,64,88,124,132,146
2020-04-18,37,41,43,56,71,74,80
2020-04-19,28,31,33,43,55,58,63
2020-04-20,8,10,11,18,28,34,43
2020-04-21,8,10,12,17,24,25,30
2020-04-22,4,5,5,9,13,14,17
2020-04-23,5,6,6,10,14,15,17
2020-04-24,5,7,8,12,16,17,19
2020-04-25,5,7,8,12,17,18,20
2020-04-26,5,7,8,14,19,20,23
2020-04-27,3,4,5,8,13,13,16
2020-04-28,5,7,8,15,21,22,24
2020-04-29,4,5,6,9,14,15,17
2020-04-30,6,7,8,12,17,18,20
2020-05-01,5,7,7,11,16,17,19
2020-05-02,6,8,9,15,21,22,24
2020-05-03,7,9,10,17,23,24,27
2020-05-04,8,10,12,19,25,26,29
2020-05-05,9,12,14,21,28,29,32
2020-05-06,10,12,13,18,24,25,28
2020-05-07,11,12,13,19,25,27,30
2020-05-08,5,6,7,15,26,28,33
2020-05-09,12,14,15,20,27,29,32
