Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,2,2,4,7,7,9
2020-03-02,1,1,1,3,5,6,8
2020-03-03,1,2,2,4,7,7,8
2020-03-04,2,2,2,5,7,8,9
2020-03-05,2,2,3,5,8,8,10
2020-03-06,2,3,4,8,11,12,14
2020-03-07,2,3,4,7,10,10,12
2020-03-08,3,4,5,8,12,13,16
2020-03-09,3,4,5,9,15,16,19
2020-03-10,4,5,5,10,16,18,20
2020-03-11,7,9,10,15,19,20,23
2020-03-12,7,9,10,15,21,22,26
2020-03-13,11,12,13,19,26,27,30
2020-03-14,11,13,14,21,28,30,34
2020-03-15,61,66,68,77,87,87,94
2020-03-16,77,82,83,94,107,109,114
2020-03-17,85,90,92,105,119,122,127
2020-03-18,46,51,54,70,88,92,100
2020-03-19,57,64,67,86,106,111,119
2020-03-20,67,73,77,99,122,128,138
2020-03-21,205,219,224,250,276,279,286
2020-03-22,255,266,271,303,336,343,357
2020-03-23,300,313,320,358,398,407,423
2020-03-24,216,236,246,300,361,373,397
2020-03-25,261,283,294,360,431,448,484
2020-03-26,306,334,347,432,552,583,627
2020-03-27,517,542,555,629,708,723,760
2020-03-28,623,694,724,844,958,985,1023
2020-03-29,667,701,719,825,939,965,1017
2020-03-30,627,662,683,895,1157,1204,1306
2020-03-31,741,855,895,1125,1386,1441,1545
2020-04-01,772,855,937,1292,1629,1704,1852
2020-04-02,980,1087,1130,1426,1769,1849,1992
2020-04-03,982,1038,1098,1343,1641,1713,1920
2020-04-04,1052,1131,1171,1438,1745,1807,1993
2020-04-05,1081,1081,1081,1167,1354,1354,1354
2020-04-06,983,1053,1093,1317,1557,1608,1703
2020-04-07,382,409,426,524,635,661,705
2020-04-08,481,521,539,648,772,799,853
2020-04-09,466,496,511,612,723,748,794
2020-04-10,867,931,966,1167,1382,1429,1521
2020-04-11,865,926,963,1163,1384,1429,1524
2020-04-12,861,931,965,1177,1417,1468,1569
2020-04-13,366,377,394,481,567,583,630
2020-04-14,233,251,262,325,395,409,443
2020-04-15,193,207,217,269,329,341,368
2020-04-16,423,456,474,573,680,705,754
2020-04-17,350,378,393,483,579,600,642
2020-04-18,284,309,323,402,488,506,546
2020-04-19,114,126,126,164,201,207,221
2020-04-20,72,77,81,100,122,128,137
2020-04-21,42,47,49,61,75,79,85
2020-04-22,26,31,34,49,62,64,69
2020-04-23,21,25,26,40,56,58,62
2020-04-24,18,21,23,33,48,52,58
2020-04-25,17,20,21,36,50,52,56
2020-04-26,15,18,20,33,56,59,65
2020-04-27,21,27,32,48,59,62,65
2020-04-28,23,26,28,36,46,49,53
2020-04-29,26,31,35,53,66,69,74
2020-04-30,31,35,37,47,58,60,65
2020-05-01,33,39,42,53,65,68,73
2020-05-02,35,39,41,51,63,65,70
2020-05-03,28,31,32,42,53,56,63
2020-05-04,23,25,27,37,50,55,65
2020-05-05,16,19,22,40,58,62,69
2020-05-06,22,24,26,35,46,49,56
2020-05-07,31,36,38,48,59,61,66
2020-05-08,30,33,35,45,56,58,63
2020-05-09,28,30,32,41,52,54,59
2020-05-10,32,35,37,47,59,61,66
2020-05-11,24,27,28,38,49,53,63
2020-05-12,16,20,22,40,59,63,72
2020-05-13,30,38,43,56,70,72,79
2020-05-14,29,31,33,43,55,57,63
2020-05-15,35,39,41,52,64,67,72
2020-05-16,37,41,43,54,67,69,76
2020-05-17,42,51,55,70,85,89,96
2020-05-18,34,41,45,65,87,92,101
2020-05-19,29,33,36,66,93,99,110
2020-05-20,43,47,49,64,80,85,97
2020-05-21,45,49,51,65,80,84,90
2020-05-22,28,31,33,50,77,82,94
2020-05-23,27,30,31,46,72,79,93
2020-05-24,23,26,28,40,62,69,85
2020-05-25,20,23,24,36,53,58,72
2020-05-26,22,25,27,36,46,48,56
2020-05-27,18,21,22,31,41,44,51
2020-05-28,15,17,19,27,37,40,47
2020-05-29,18,24,28,41,52,54,58
2020-05-30,14,16,17,25,37,40,48
2020-05-31,21,26,28,37,47,49,54
2020-06-01,21,23,25,33,42,44,48
2020-06-02,9,13,16,30,44,47,53
2020-06-03,13,15,17,24,33,36,45
2020-06-04,11,13,14,20,27,29,33
2020-06-05,14,18,23,39,50,52,56
2020-06-06,11,13,14,21,30,33,40
2020-06-07,14,17,19,32,53,56,62
2020-06-08,18,21,22,30,39,42,46
2020-06-09,16,18,19,26,35,36,41
2020-06-10,15,17,19,25,33,35,39
2020-06-11,11,12,13,20,28,31,38
2020-06-12,15,19,21,29,37,39,43
2020-06-13,14,16,17,23,31,32,36
2020-06-14,16,21,23,31,40,41,45
2020-06-15,14,16,17,24,32,34,38
2020-06-16,12,14,15,21,29,31,36
2020-06-17,14,17,18,34,48,50,54
2020-06-18,13,15,16,22,31,33,39
2020-06-19,18,20,22,29,37,39,43
2020-06-20,19,21,23,30,39,41,45
2020-06-21,17,22,25,40,52,54,58
2020-06-22,21,23,25,33,43,45,50
2020-06-23,20,22,23,32,41,43,49
2020-06-24,21,23,25,33,42,44,49
2020-06-25,25,29,30,40,50,52,56
2020-06-26,24,26,28,37,46,48,54
2020-06-27,28,31,33,42,52,55,59
2020-06-28,26,32,35,55,71,74,79
2020-06-29,31,35,37,47,59,61,67
2020-06-30,39,44,46,58,71,74,80
2020-07-01,36,39,41,53,66,69,75
2020-07-02,38,46,49,77,97,100,108
2020-07-03,53,64,69,85,102,106,113
2020-07-04,59,64,67,82,99,104,111
2020-07-05,67,81,89,113,135,140,149
2020-07-06,80,86,89,108,129,133,143
2020-07-07,67,72,75,96,130,141,158
2020-07-08,61,67,69,94,139,150,169
2020-07-09,72,78,81,99,120,126,143
2020-07-10,84,92,96,115,137,143,153
2020-07-11,64,70,73,93,124,135,155
2020-07-12,79,85,89,107,128,132,142
2020-07-13,73,78,81,99,119,124,137
2020-07-14,52,57,60,93,133,141,158
2020-07-15,73,79,82,100,121,126,137
2020-07-16,82,91,95,115,137,141,151
2020-07-17,90,98,102,123,145,150,160
2020-07-18,94,105,110,132,156,161,172
2020-07-19,94,101,104,126,149,154,165
2020-07-20,72,78,81,103,140,150,174
2020-07-21,71,77,80,99,122,129,152
2020-07-22,71,76,79,97,117,122,134
2020-07-23,74,90,98,121,144,149,159
2020-07-24,76,90,98,136,164,169,179
2020-07-25,87,94,98,119,142,147,158
2020-07-26,98,112,117,140,165,170,180
2020-07-27,89,95,99,119,143,147,159
2020-07-28,82,88,91,111,133,139,154
2020-07-29,76,82,86,105,127,132,145
2020-07-30,82,98,107,134,159,165,174
2020-07-31,80,86,89,109,131,137,149
2020-08-01,78,89,95,143,180,186,197
2020-08-02,91,99,103,125,149,154,167
2020-08-03,57,63,66,101,155,164,182
2020-08-04,55,61,63,81,106,125,157
2020-08-05,63,70,73,90,110,115,125
2020-08-06,59,64,67,83,101,105,114
2020-08-07,47,56,60,93,139,146,157
2020-08-08,57,71,81,108,132,136,147
2020-08-09,66,72,75,93,114,118,129
2020-08-10,74,80,83,101,122,126,135
2020-08-11,58,62,65,82,101,107,122
2020-08-12,56,65,70,110,146,151,160
2020-08-13,57,67,72,120,170,176,186
2020-08-14,66,82,92,154,190,195,204
2020-08-15,89,107,116,171,221,227,240
2020-08-16,108,122,129,170,214,223,248
2020-08-17,124,133,138,165,196,202,217
2020-08-18,133,142,147,175,205,211,225
2020-08-19,182,193,198,231,267,274,290
2020-08-20,177,197,204,239,277,284,302
2020-08-21,188,212,229,296,348,356,378
2020-08-22,241,260,270,316,364,375,396
2020-08-23,246,261,269,315,366,378,402
2020-08-24,212,226,233,292,393,420,467
2020-08-25,189,205,212,311,432,456,499
2020-08-26,210,223,229,278,350,391,470
2020-08-27,235,250,258,305,356,367,392
2020-08-28,250,266,273,320,371,383,407
2020-08-29,204,217,223,272,351,377,428
2020-08-30,252,292,307,362,420,434,461
2020-08-31,211,225,233,282,353,378,422
2020-09-01,194,208,215,260,324,349,404
2020-09-02,186,198,204,244,290,304,350
2020-09-03,205,225,233,276,322,333,354
2020-09-04,181,204,216,324,412,425,452
2020-09-05,224,271,288,343,402,413,438
2020-09-06,279,302,312,364,421,432,461
2020-09-07,201,216,224,293,411,436,481
2020-09-08,268,292,301,355,415,429,455
2020-09-09,288,315,325,381,443,457,486
2020-09-10,281,323,358,475,557,571,603
2020-09-11,304,343,368,538,662,679,724
2020-09-12,418,473,491,573,659,675,710
2020-09-13,423,479,506,691,851,873,918
2020-09-14,375,403,423,551,765,801,872
2020-09-15,357,380,392,476,595,714,840
2020-09-16,588,622,643,760,891,923,988
2020-09-17,563,602,620,732,857,885,941
2020-09-18,643,692,716,834,965,993,1058
2020-09-19,653,693,713,828,957,988,1049
2020-09-20,703,743,762,883,1015,1044,1108
2020-09-21,599,638,658,779,955,1026,1177
2020-09-22,519,556,592,854,1098,1151,1273
2020-09-23,533,571,580,710,984,1067,1208
2020-09-24,577,610,629,734,851,881,944
2020-09-25,617,656,674,784,903,931,981
2020-09-26,548,580,595,695,806,832,900
2020-09-27,588,627,645,747,858,884,934
2020-09-28,503,532,547,640,745,773,844
2020-09-29,463,491,505,589,685,712,773
2020-09-30,490,562,586,684,786,808,853
2020-10-01,506,578,604,704,806,825,871
2020-10-02,506,594,637,762,880,899,943
2020-10-03,581,631,651,754,863,885,938
2020-10-04,546,625,673,867,1008,1035,1080
2020-10-05,594,630,647,748,862,890,947
2020-10-06,602,635,652,755,871,896,950
2020-10-07,667,727,750,868,992,1019,1076
2020-10-08,661,764,816,966,1110,1137,1198
2020-10-09,698,786,844,1084,1258,1291,1350
2020-10-10,853,910,935,1076,1230,1260,1332
2020-10-11,942,1009,1041,1195,1363,1402,1475
2020-10-12,872,918,941,1087,1253,1294,1399
2020-10-13,765,812,838,1003,1288,1368,1500
2020-10-14,915,966,995,1146,1315,1353,1429
2020-10-15,990,1069,1099,1267,1451,1489,1574
2020-10-16,1064,1151,1189,1371,1566,1610,1697
2020-10-17,1158,1237,1273,1464,1673,1714,1803
2020-10-18,1235,1394,1439,1664,1899,1945,2055
2020-10-19,1250,1320,1352,1555,1778,1828,1943
2020-10-20,1097,1164,1194,1416,1762,1875,2106
2020-10-21,1317,1391,1432,1643,1881,1930,2049
2020-10-22,1448,1578,1624,1867,2127,2184,2310
2020-10-23,1423,1579,1692,2251,2633,2691,2867
2020-10-24,1582,1768,1886,2628,3157,3261,3402
2020-10-25,2024,2445,2595,3053,3486,3570,3732
2020-10-26,2438,2574,2645,3037,3471,3569,3770
2020-10-27,2225,2344,2412,2835,3386,3618,4093
2020-10-28,2392,2517,2583,2997,3456,3585,3898
2020-10-29,2766,3157,3359,3958,4535,4642,4898
2020-10-30,3333,3602,3716,4270,4852,4995,5251
2020-10-31,3812,4084,4199,4815,5460,5602,5912
2020-11-01,4267,4630,4776,5437,6167,6309,6675
