Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,3,5,6,7
2020-03-02,0,0,0,1,4,5,6
2020-03-03,0,0,0,1,4,4,6
2020-03-04,0,0,0,1,3,4,5
2020-03-05,1,1,1,3,5,6,7
2020-03-06,0,0,0,1,3,4,5
2020-03-07,1,1,1,3,5,5,6
2020-03-08,0,0,0,1,3,3,5
2020-03-09,0,0,0,1,3,3,4
2020-03-10,1,1,1,2,4,4,5
2020-03-11,0,0,0,1,2,3,4
2020-03-12,0,0,0,0,2,3,4
2020-03-13,1,1,1,3,5,5,6
2020-03-14,0,0,0,0,2,3,4
2020-03-15,1,2,2,4,6,7,8
2020-03-16,1,1,2,3,6,6,7
2020-03-17,0,0,0,1,3,4,5
2020-03-18,0,0,0,1,3,3,5
2020-03-19,2,2,2,5,9,10,12
2020-03-20,0,0,0,1,3,4,6
2020-03-21,2,3,3,6,8,9,10
2020-03-22,3,4,4,7,11,12,13
2020-03-23,2,3,3,6,10,10,12
2020-03-24,3,5,6,10,14,15,18
2020-03-25,3,3,4,7,11,12,14
2020-03-26,5,6,7,13,21,23,25
2020-03-27,6,8,8,14,22,25,30
2020-03-28,8,10,10,15,21,22,25
2020-03-29,13,15,16,22,29,30,33
2020-03-30,14,17,18,30,48,53,55
2020-03-31,16,19,20,27,36,38,43
2020-04-01,27,33,36,48,60,62,67
2020-04-02,28,31,33,43,54,56,62
2020-04-03,31,34,36,46,58,61,66
2020-04-04,40,48,53,67,82,85,91
2020-04-05,46,50,53,65,80,83,89
2020-04-06,45,50,51,65,81,85,97
2020-04-07,56,61,63,78,94,98,106
2020-04-08,70,77,80,98,117,121,129
2020-04-09,75,82,85,103,124,129,137
2020-04-10,60,65,68,93,132,141,159
2020-04-11,61,64,67,90,131,142,168
2020-04-12,49,58,65,104,145,156,180
2020-04-13,49,54,57,90,139,148,170
2020-04-14,44,49,51,71,117,130,153
2020-04-15,46,49,51,64,78,81,89
