Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,1,1,1,3,5,5,6
2020-03-03,1,1,1,3,5,5,6
2020-03-04,1,2,2,4,6,7,8
2020-03-05,2,3,3,5,7,8,9
2020-03-06,4,4,5,7,10,10,12
2020-03-07,4,5,5,8,11,12,14
2020-03-08,9,10,11,14,18,19,21
2020-03-09,13,14,15,19,23,24,26
2020-03-10,11,12,13,17,22,23,25
2020-03-11,7,8,9,14,20,22,25
2020-03-12,1,3,4,11,19,20,23
2020-03-13,15,17,18,24,31,33,37
2020-03-14,15,16,18,26,34,34,42
2020-03-15,17,19,20,28,37,37,40
2020-03-16,59,62,64,73,83,85,89
2020-03-17,70,74,76,86,98,100,104
2020-03-18,96,101,103,116,131,134,140
2020-03-19,47,51,54,70,87,91,98
2020-03-20,58,64,67,85,105,110,119
2020-03-21,67,74,78,99,123,128,138
2020-03-22,234,248,248,277,301,306,333
2020-03-23,198,207,212,240,269,275,286
2020-03-24,283,296,302,338,378,387,399
2020-03-25,198,214,223,274,330,342,364
2020-03-26,241,261,271,333,399,413,441
2020-03-27,276,298,310,382,464,477,511
2020-03-28,422,422,422,422,422,422,422
2020-03-29,835,867,883,971,1063,1082,1119
2020-03-30,722,755,771,862,963,982,1024
2020-03-31,712,746,764,868,979,1002,1049
2020-04-01,887,943,970,1103,1239,1266,1322
2020-04-02,1045,1111,1140,1295,1458,1490,1562
2020-04-03,1170,1229,1259,1429,1613,1654,1735
2020-04-04,1363,1432,1466,1665,1886,1930,2023
2020-04-05,1258,1327,1368,1701,2176,2273,2445
2020-04-06,1397,1581,1694,2122,2589,2685,2890
2020-04-07,1484,1591,1660,2323,2946,3076,3310
2020-04-08,1541,1939,2076,2634,3252,3382,3670
2020-04-09,1549,1628,1655,2115,2878,3012,3333
2020-04-10,1520,1593,1630,1904,2244,2421,2957
2020-04-11,1385,1465,1509,1906,2403,2520,2740
2020-04-12,1510,1585,1630,1878,2187,2284,2527
2020-04-13,1556,1667,1720,2082,2483,2570,2750
2020-04-14,1524,1639,1703,2074,2478,2563,2760
