Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,1,3,3,4
2020-03-11,1,1,1,1,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,1,3,3,4
2020-03-16,1,1,2,3,6,6,7
2020-03-17,0,0,0,0,0,0,0
2020-03-18,1,1,1,3,4,5,6
2020-03-19,1,2,2,4,7,7,9
2020-03-20,1,2,2,4,6,7,8
2020-03-21,2,3,3,5,9,9,11
2020-03-22,2,3,4,7,10,11,12
2020-03-23,3,4,5,10,17,18,19
2020-03-24,6,7,8,11,16,17,19
2020-03-25,6,7,8,16,24,26,29
2020-03-26,4,5,5,10,16,18,22
2020-03-27,11,14,15,22,28,29,32
2020-03-28,14,16,18,24,31,32,35
2020-03-29,10,12,13,19,26,28,32
2020-03-30,15,17,18,25,33,34,38
2020-03-31,11,13,14,22,32,36,42
2020-04-01,14,17,18,25,33,35,41
2020-04-02,8,11,13,27,41,44,50
2020-04-03,11,13,14,22,37,41,49
2020-04-04,11,13,14,20,28,31,40
2020-04-05,16,18,19,26,34,36,40
2020-04-06,13,15,16,22,30,32,37
2020-04-07,13,15,16,22,30,32,36
2020-04-08,17,19,21,28,36,38,41
2020-04-09,17,20,21,28,36,38,42
2020-04-10,10,14,15,26,39,42,48
2020-04-11,18,24,26,36,45,47,51
2020-04-12,11,12,13,20,28,31,38
2020-04-13,1,2,2,7,12,13,15
2020-04-14,12,15,17,25,32,34,37
2020-04-15,8,10,11,16,22,24,28
2020-04-16,3,4,5,11,22,25,29
2020-04-17,5,7,7,12,17,19,22
2020-04-18,4,5,5,9,14,15,18
2020-04-19,5,6,6,10,15,16,18
2020-04-20,2,3,3,7,11,12,15
