Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,4,4,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,3,4,5
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,2,2,3,5,6,7
2020-03-14,2,2,2,3,5,6,7
2020-03-15,1,1,2,4,6,7,8
2020-03-16,1,1,1,2,3,3,4
2020-03-17,3,4,5,7,10,11,12
2020-03-18,3,3,4,6,10,11,14
2020-03-19,1,1,1,3,6,7,9
2020-03-20,4,5,5,9,14,15,19
2020-03-21,5,6,7,11,19,21,24
2020-03-22,6,8,9,16,22,23,26
2020-03-23,7,9,9,14,19,20,23
2020-03-24,9,11,12,17,23,24,27
2020-03-25,12,14,16,22,29,30,33
2020-03-26,13,15,16,23,30,31,35
2020-03-27,17,19,21,28,36,38,41
2020-03-28,21,25,27,35,44,46,49
2020-03-29,13,15,17,28,46,50,57
2020-03-30,12,14,15,29,50,54,62
2020-03-31,23,27,29,39,51,54,60
2020-04-01,17,19,20,29,38,41,49
2020-04-02,22,25,26,35,46,48,53
2020-04-03,19,22,23,32,42,45,52
2020-04-04,15,17,18,27,42,47,56
2020-04-05,19,21,22,30,39,42,47
2020-04-06,14,16,17,24,34,38,47
2020-04-07,17,20,21,29,37,39,43
2020-04-08,12,13,15,22,31,34,42
2020-04-09,15,17,18,25,33,35,39
2020-04-10,11,13,14,20,28,30,34
2020-04-11,14,16,18,24,32,34,37
2020-04-12,9,11,12,17,24,26,31
2020-04-13,6,8,9,14,21,24,29
2020-04-14,10,13,15,22,30,31,34
2020-04-15,10,13,16,26,34,36,39
2020-04-16,11,13,15,29,45,48,52
2020-04-17,13,17,21,36,47,49,53
2020-04-18,19,22,24,32,42,44,48
2020-04-19,12,14,15,24,37,42,50
2020-04-20,20,23,24,33,42,44,49
