Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,2,3,3,6,9,10,12
2020-03-02,1,1,2,4,8,9,11
2020-03-03,0,0,0,4,8,9,11
2020-03-04,1,2,2,4,8,8,10
2020-03-05,1,2,2,4,7,8,9
2020-03-06,2,2,3,5,8,9,10
2020-03-07,3,4,4,8,13,14,17
2020-03-08,0,0,0,3,7,8,11
2020-03-09,3,4,5,8,11,12,13
2020-03-10,5,6,7,10,14,15,16
2020-03-11,7,8,8,12,17,18,20
2020-03-12,0,0,1,5,11,12,15
2020-03-13,0,0,0,4,11,12,15
2020-03-14,6,7,8,11,16,17,19
2020-03-15,2,3,3,6,10,10,12
2020-03-16,0,0,0,4,9,11,14
2020-03-17,4,5,6,10,15,16,17
2020-03-18,4,5,6,13,22,23,26
2020-03-19,6,8,10,17,23,24,27
2020-03-20,4,5,6,10,16,18,22
2020-03-21,9,11,12,17,24,25,28
2020-03-22,10,14,16,23,30,32,35
2020-03-23,12,15,17,30,40,42,45
2020-03-24,10,12,13,20,29,32,39
2020-03-25,17,18,20,27,35,37,41
2020-03-26,22,25,26,35,44,46,51
2020-03-27,10,13,15,30,46,50,56
2020-03-28,10,12,14,29,48,52,60
2020-03-29,15,18,19,27,37,41,50
2020-03-30,11,13,14,21,29,31,35
2020-03-31,15,19,23,39,52,53,58
2020-04-01,10,15,17,31,47,50,58
2020-04-02,19,23,26,48,69,71,77
2020-04-03,20,23,24,33,44,47,53
2020-04-04,12,14,15,22,30,32,36
2020-04-05,9,10,11,17,25,26,33
2020-04-06,12,15,17,33,51,56,61
2020-04-07,17,21,25,45,61,63,68
2020-04-08,9,11,12,23,44,49,56
2020-04-09,23,30,34,51,65,67,72
2020-04-10,26,29,31,41,52,54,59
2020-04-11,24,29,32,59,92,96,103
2020-04-12,31,38,43,75,95,98,103
2020-04-13,42,52,57,78,100,105,114
2020-04-14,53,61,64,89,123,131,143
2020-04-15,65,77,83,116,140,145,153
2020-04-16,31,39,39,52,67,70,75
2020-04-17,38,41,44,56,69,72,86
2020-04-18,33,36,38,51,72,89,110
2020-04-19,45,53,57,87,111,119,129
2020-04-20,31,35,38,63,89,94,105
2020-04-21,46,51,53,66,82,85,93
2020-04-22,40,43,45,58,72,75,81
2020-04-23,34,39,41,59,79,83,96
2020-04-24,37,43,46,65,87,91,103
2020-04-25,41,50,53,67,81,85,92
2020-04-26,42,46,48,61,75,78,84
2020-04-27,51,55,58,71,86,89,95
2020-04-28,50,60,63,78,94,98,105
2020-04-29,49,59,65,90,109,113,121
2020-04-30,55,69,76,100,122,126,133
2020-05-01,66,80,88,112,133,138,149
2020-05-02,80,88,91,110,130,134,143
2020-05-03,77,83,86,105,125,130,140
2020-05-04,89,104,110,133,157,162,171
2020-05-05,91,109,118,155,184,191,200
2020-05-06,107,122,132,178,212,219,230
2020-05-07,118,136,146,208,252,260,273
2020-05-08,165,186,194,228,264,271,285
2020-05-09,187,212,231,282,328,336,357
2020-05-10,156,170,178,236,321,337,368
2020-05-11,228,243,250,294,342,352,376
2020-05-12,238,252,259,304,353,364,387
2020-05-13,239,254,261,307,357,368,393
2020-05-14,288,309,319,371,426,439,462
2020-05-15,305,325,334,387,447,459,488
2020-05-16,281,310,326,415,515,537,580
2020-05-17,251,300,330,441,555,584,635
2020-05-18,230,252,267,450,602,631,693
2020-05-19,273,295,307,375,448,464,498
2020-05-20,282,302,312,371,437,452,481
