Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,2,3,3,4
2020-03-06,0,0,0,0,0,0,0
2020-03-07,1,1,1,1,3,3,4
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,1,3,3,3
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,2,3,3,4
2020-03-12,1,1,1,2,4,4,5
2020-03-13,1,1,1,2,3,3,4
2020-03-14,1,1,1,3,4,5,6
2020-03-15,1,1,2,3,5,6,7
2020-03-16,1,1,1,2,3,4,5
2020-03-17,1,1,1,2,3,4,5
2020-03-18,1,2,2,5,8,9,10
2020-03-19,2,3,3,6,9,10,12
2020-03-20,3,3,4,7,11,12,14
2020-03-21,1,2,2,5,7,8,10
2020-03-22,6,8,8,15,22,23,24
2020-03-23,5,5,6,9,14,14,17
2020-03-24,6,7,8,15,23,25,27
2020-03-25,5,7,7,11,17,18,20
2020-03-26,8,9,10,15,20,21,24
2020-03-27,10,11,13,23,35,37,41
2020-03-28,12,14,15,21,28,30,33
2020-03-29,15,17,19,31,49,52,57
2020-03-30,22,27,30,39,49,51,55
2020-03-31,32,36,37,47,58,60,65
2020-04-01,29,32,34,43,55,57,63
2020-04-02,40,48,51,65,78,81,87
2020-04-03,37,41,43,55,70,74,85
2020-04-04,37,41,43,56,73,79,93
2020-04-05,30,34,36,61,91,96,108
2020-04-06,28,34,40,69,98,105,117
2020-04-07,55,65,69,87,106,110,119
2020-04-08,34,38,41,54,69,73,85
2020-04-09,41,44,47,60,75,78,85
2020-04-10,33,37,39,52,69,76,92
2020-04-11,34,37,39,51,64,68,80
2020-04-12,41,46,48,60,74,77,83
2020-04-13,25,28,30,44,68,73,86
2020-04-14,33,36,38,48,60,63,69
2020-04-15,23,25,27,37,50,55,64
2020-04-16,30,37,39,50,62,64,69
2020-04-17,30,34,36,46,57,60,65
2020-04-18,31,36,38,49,61,64,69
2020-04-19,16,18,19,35,56,60,68
2020-04-20,17,19,20,29,40,43,53
