Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,3,4,5,6
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,1,4,4,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,4,5
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,1,1,2,3,4,5
2020-03-13,1,2,2,3,5,6,7
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,2,2,2,4,6,7,7
2020-03-17,0,0,0,0,0,1,2
2020-03-18,1,2,2,4,6,7,9
2020-03-19,0,0,0,0,2,3,4
2020-03-20,2,2,3,5,9,10,12
2020-03-21,2,2,3,5,8,8,10
2020-03-22,0,0,0,1,4,4,6
2020-03-23,1,2,2,4,7,8,9
2020-03-24,0,0,0,2,5,5,8
2020-03-25,1,2,2,4,7,8,9
2020-03-26,0,0,0,2,4,5,7
2020-03-27,2,3,3,6,9,9,11
2020-03-28,0,0,0,2,5,6,8
2020-03-29,0,0,0,1,4,5,7
2020-03-30,4,5,5,9,12,14,16
2020-03-31,0,0,0,2,6,7,9
2020-04-01,3,4,5,8,12,13,14
2020-04-02,45,45,45,54,63,63,63
2020-04-03,24,26,27,34,41,43,46
2020-04-04,18,21,23,32,43,45,50
2020-04-05,23,26,28,39,50,53,57
2020-04-06,26,30,32,44,58,61,67
2020-04-07,40,40,40,59,78,78,78
2020-04-08,100,106,109,124,140,143,149
2020-04-09,174,181,184,205,227,232,242
2020-04-10,94,102,106,135,165,170,170
2020-04-11,111,123,130,182,223,229,244
2020-04-12,121,136,143,191,267,280,301
2020-04-13,229,239,246,281,319,327,342
2020-04-14,245,268,276,319,363,371,393
2020-04-15,275,310,329,385,441,452,476
2020-04-16,335,366,378,435,495,507,532
2020-04-17,398,434,449,518,589,603,631
2020-04-18,427,450,462,531,607,622,656
2020-04-19,444,468,481,556,641,663,715
2020-04-20,430,456,467,562,712,752,827
