Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,1,3,3,4
2020-03-14,1,1,2,3,5,5,6
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,1,3,3,4
2020-03-17,0,0,0,0,0,0,0
2020-03-18,1,1,1,1,3,3,4
2020-03-19,0,0,0,0,0,0,0
2020-03-20,1,1,1,2,3,4,5
2020-03-21,1,1,1,2,4,4,5
2020-03-22,1,1,1,3,5,5,6
2020-03-23,1,1,1,2,4,4,5
2020-03-24,1,1,1,2,4,4,5
2020-03-25,1,1,1,3,5,5,6
2020-03-26,2,2,3,5,9,9,11
2020-03-27,2,3,3,7,12,12,14
2020-03-28,3,4,4,8,12,13,15
2020-03-29,3,3,4,7,10,11,13
2020-03-30,5,7,8,12,16,17,19
2020-03-31,5,6,6,10,15,16,18
2020-04-01,4,5,6,10,14,15,18
2020-04-02,4,5,6,10,15,16,19
2020-04-03,5,6,6,11,15,17,20
2020-04-04,4,5,6,10,15,16,20
2020-04-05,8,9,10,15,21,22,25
2020-04-06,9,12,14,20,27,28,31
2020-04-07,7,8,9,14,20,22,26
2020-04-08,9,11,12,17,23,25,28
2020-04-09,10,13,14,24,40,43,48
2020-04-10,4,6,8,19,32,34,40
2020-04-11,5,6,7,14,29,32,40
2020-04-12,13,15,16,23,31,33,37
2020-04-13,16,19,20,27,36,38,42
2020-04-14,15,17,18,25,33,35,39
2020-04-15,18,23,26,36,46,49,53
2020-04-16,23,28,30,40,50,52,56
2020-04-17,18,21,22,30,41,45,54
2020-04-18,19,22,23,32,41,44,50
2020-04-19,19,21,23,31,40,43,49
2020-04-20,25,29,31,40,50,52,57
