Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.89,0.91,0.93,1,1.07,1.09,1.11
2020-03-07,0.86,0.89,0.91,1,1.09,1.11,1.14
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.81,0.85,0.88,1,1.14,1.16,1.21
2020-03-10,0.8,0.85,0.88,1.01,1.17,1.19,1.24
2020-03-11,0.8,0.86,0.89,1.03,1.21,1.23,1.29
2020-03-12,0.81,0.87,0.9,1.06,1.26,1.28,1.33
2020-03-13,0.87,0.91,0.94,1.14,1.32,1.34,1.38
2020-03-14,0.84,0.89,0.92,1.12,1.33,1.36,1.41
2020-03-15,0.86,0.92,0.96,1.18,1.38,1.41,1.45
2020-03-16,1.02,1.11,1.16,1.32,1.46,1.48,1.52
2020-03-17,1.11,1.17,1.18,1.39,1.51,1.51,1.57
2020-03-18,1.16,1.19,1.22,1.44,1.56,1.56,1.61
2020-03-19,1.23,1.39,1.41,1.55,1.61,1.62,1.64
2020-03-20,1.56,1.57,1.58,1.63,1.68,1.69,1.69
2020-03-21,1.61,1.63,1.63,1.69,1.73,1.73,1.75
2020-03-22,1.72,1.74,1.76,1.78,1.79,1.79,1.8
2020-03-23,1.75,1.78,1.79,1.82,1.85,1.86,1.87
2020-03-24,1.78,1.81,1.82,1.87,1.91,1.92,1.93
2020-03-25,1.8,1.83,1.85,1.91,1.97,1.98,2
2020-03-26,1.87,1.9,1.91,1.99,2.05,2.06,2.07
2020-03-27,1.93,1.96,1.98,2.05,2.12,2.13,2.15
2020-03-28,1.98,2.02,2.03,2.11,2.19,2.2,2.22
2020-03-29,1.99,2.04,2.06,2.15,2.24,2.26,2.28
2020-03-30,1.98,2.03,2.06,2.16,2.28,2.3,2.34
2020-03-31,1.98,2.04,2.06,2.19,2.33,2.35,2.4
2020-04-01,1.98,2.05,2.07,2.22,2.38,2.4,2.45
2020-04-02,1.97,2.05,2.08,2.25,2.44,2.47,2.52
2020-04-03,2.07,2.13,2.16,2.35,2.52,2.55,2.64
2020-04-04,2.16,2.22,2.26,2.43,2.59,2.61,2.68
2020-04-05,2.07,2.14,2.18,2.41,2.61,2.66,2.72
2020-04-06,1.94,2.02,2.06,2.26,2.52,2.58,2.68
2020-04-07,2.01,2.09,2.13,2.34,2.56,2.61,2.7
2020-04-08,2.08,2.13,2.16,2.36,2.55,2.6,2.66
2020-04-09,2.01,2.06,2.1,2.27,2.46,2.49,2.56
2020-04-10,1.9,1.96,2,2.2,2.42,2.45,2.53
2020-04-11,1.83,1.91,1.94,2.16,2.4,2.43,2.52
2020-04-12,1.63,1.65,1.82,2.1,2.36,2.4,2.5
2020-04-13,1.56,1.56,1.57,1.94,2.21,2.26,2.34
2020-04-14,1.46,1.48,1.48,1.52,1.57,1.64,1.8
2020-04-15,1.37,1.4,1.41,1.57,1.79,1.86,1.94
2020-04-16,1.28,1.3,1.32,1.41,1.55,1.59,1.67
2020-04-17,1.21,1.24,1.26,1.44,1.61,1.64,1.69
2020-04-18,1.16,1.2,1.23,1.4,1.55,1.58,1.62
2020-04-19,1.02,1.06,1.08,1.24,1.42,1.46,1.52
2020-04-20,0.92,0.96,0.98,1.11,1.28,1.31,1.38
2020-04-21,0.86,0.9,0.91,1.04,1.22,1.25,1.31
2020-04-22,0.83,0.87,0.9,1.04,1.22,1.24,1.29
2020-04-23,0.75,0.8,0.83,0.99,1.19,1.22,1.33
2020-04-24,0.69,0.75,0.77,1.01,1.35,1.4,1.4
2020-04-25,0.65,0.71,0.74,1.05,1.37,1.38,1.39
2020-04-26,0.97,1,1.12,1.26,1.38,1.38,1.39
2020-04-27,1.1,1.12,1.13,1.27,1.37,1.38,1.39
2020-04-28,1.07,1.1,1.12,1.29,1.38,1.39,1.4
2020-04-29,1.04,1.09,1.19,1.3,1.39,1.4,1.42
2020-04-30,1.01,1.1,1.19,1.3,1.41,1.43,1.45
2020-05-01,1.1,1.17,1.19,1.3,1.41,1.42,1.46
2020-05-02,1.1,1.15,1.17,1.28,1.39,1.41,1.45
2020-05-03,1.07,1.11,1.13,1.24,1.36,1.38,1.43
2020-05-04,1.09,1.13,1.16,1.28,1.4,1.42,1.47
2020-05-05,1.12,1.16,1.18,1.3,1.42,1.45,1.48
2020-05-06,1.1,1.15,1.17,1.31,1.45,1.48,1.5
2020-05-07,1.14,1.2,1.23,1.38,1.5,1.52,1.54
2020-05-08,1.21,1.3,1.33,1.46,1.55,1.56,1.57
2020-05-09,1.27,1.31,1.33,1.46,1.56,1.57,1.6
2020-05-10,1.18,1.23,1.25,1.4,1.55,1.57,1.61
2020-05-11,1.08,1.14,1.17,1.31,1.47,1.5,1.58
2020-05-12,1.07,1.13,1.16,1.28,1.42,1.44,1.5
2020-05-13,1.11,1.17,1.19,1.33,1.47,1.5,1.56
2020-05-14,1.16,1.22,1.25,1.38,1.52,1.55,1.61
2020-05-15,1.19,1.26,1.29,1.45,1.61,1.64,1.71
2020-05-16,1.21,1.27,1.3,1.44,1.58,1.62,1.67
2020-05-17,1.1,1.18,1.23,1.43,1.59,1.63,1.69
2020-05-18,1.16,1.23,1.26,1.41,1.56,1.58,1.65
2020-05-19,1.2,1.25,1.27,1.42,1.55,1.58,1.64
2020-05-20,1.26,1.31,1.34,1.48,1.61,1.64,1.71
2020-05-21,1.24,1.29,1.32,1.46,1.59,1.62,1.69
2020-05-22,1.24,1.3,1.32,1.46,1.6,1.63,1.69
2020-05-23,1.17,1.22,1.25,1.39,1.54,1.57,1.62
2020-05-24,1.07,1.12,1.14,1.3,1.48,1.51,1.59
2020-05-25,1,1.01,1.02,1.18,1.4,1.44,1.55
2020-05-26,0.94,0.96,0.97,1.1,1.25,1.28,1.36
2020-05-27,0.92,0.96,0.98,1.12,1.26,1.29,1.35
2020-05-28,0.9,0.95,0.99,1.18,1.35,1.38,1.45
2020-05-29,1,1.09,1.12,1.26,1.38,1.41,1.48
2020-05-30,1.09,1.15,1.18,1.31,1.45,1.48,1.61
2020-05-31,0.95,1.06,1.13,1.28,1.43,1.47,1.62
2020-06-01,0.94,0.94,0.94,1.15,1.39,1.43,1.53
