Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,2,3,3,4
2020-03-05,0,0,0,0,5,5,5
2020-03-06,1,1,2,3,5,6,7
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,2,3,5,6,6
2020-03-09,1,1,1,3,5,5,6
2020-03-10,1,1,2,3,5,6,7
2020-03-11,1,2,2,4,6,7,8
2020-03-12,2,2,2,5,9,10,11
2020-03-13,5,6,7,9,13,14,16
2020-03-14,0,0,0,2,6,6,9
2020-03-15,3,4,5,8,11,12,13
2020-03-16,12,14,14,19,24,24,27
2020-03-17,9,10,11,16,22,23,26
2020-03-18,7,9,9,15,22,24,28
2020-03-19,16,18,19,26,33,35,40
2020-03-20,60,63,64,74,84,85,89
2020-03-21,85,88,90,102,115,118,123
2020-03-22,167,173,176,194,211,216,225
2020-03-23,66,72,76,96,119,123,133
2020-03-24,81,89,93,119,147,152,164
2020-03-25,96,106,111,140,172,179,193
2020-03-26,233,244,249,279,313,322,335
2020-03-27,265,278,285,322,362,371,388
2020-03-28,258,293,316,380,434,443,465
2020-03-29,292,308,317,365,417,429,455
2020-03-30,299,316,325,384,461,487,539
2020-03-31,376,403,419,514,618,641,684
2020-04-01,429,464,484,600,733,768,874
2020-04-02,489,533,559,735,1014,1055,1154
2020-04-03,766,803,826,955,1095,1140,1199
2020-04-04,992,1043,1071,1233,1409,1449,1529
2020-04-05,795,844,875,1313,1739,1812,1963
2020-04-06,933,985,1010,1256,1833,1964,2193
2020-04-07,1235,1421,1492,1785,2132,2212,2348
2020-04-08,1647,1758,1797,2105,2446,2520,2664
2020-04-09,1655,1749,1793,2076,2407,2485,2689
2020-04-10,1505,1626,1694,2248,3013,3159,3470
2020-04-11,1833,2007,2105,2726,3481,3652,4034
2020-04-12,1554,1704,2008,2989,3976,4189,4628
2020-04-13,1338,1448,1530,2881,3798,3961,4321
2020-04-14,1532,1613,1651,1886,2155,2260,2455
2020-04-15,1521,1659,1744,2624,3315,3422,3583
