Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,2,2,3,5,8,9,10
2020-03-02,2,3,3,6,9,10,11
2020-03-03,2,3,3,6,9,9,11
2020-03-04,3,4,4,7,10,11,12
2020-03-05,3,4,5,8,12,12,14
2020-03-06,3,4,5,10,15,16,17
2020-03-07,3,4,4,7,11,11,13
2020-03-08,4,5,6,12,17,18,20
2020-03-09,4,6,7,13,19,20,22
2020-03-10,5,7,9,15,20,21,23
2020-03-11,8,10,10,16,22,23,26
2020-03-12,9,10,11,17,24,26,29
2020-03-13,11,13,14,21,28,30,33
2020-03-14,29,32,33,40,48,50,53
2020-03-15,42,46,47,56,66,68,70
2020-03-16,66,70,72,83,95,97,103
2020-03-17,35,39,42,56,71,75,81
2020-03-18,44,49,52,68,85,89,97
2020-03-19,50,56,59,78,98,102,111
2020-03-20,110,110,110,110,110,110,110
2020-03-21,205,213,217,241,266,271,280
2020-03-22,220,229,234,261,290,295,307
2020-03-23,306,318,325,362,400,407,420
2020-03-24,190,207,216,264,316,328,351
2020-03-25,227,247,257,318,388,409,455
2020-03-26,271,293,305,374,449,466,499
2020-03-27,535,555,568,638,718,740,751
2020-03-28,618,649,664,751,846,865,900
2020-03-29,694,727,746,848,957,978,1027
2020-03-30,748,829,887,1067,1217,1248,1308
2020-03-31,964,1022,1052,1196,1353,1386,1454
2020-04-01,1096,1151,1180,1347,1527,1566,1658
2020-04-02,1367,1438,1474,1674,1897,1945,2034
2020-04-03,1268,1342,1377,1647,2074,2189,2386
2020-04-04,1316,1393,1442,1872,2465,2562,2762
2020-04-05,1335,1492,1607,2256,2865,3002,3243
2020-04-06,1402,1503,1533,2123,3035,3208,3521
2020-04-07,1340,1411,1450,1836,2822,3040,3412
2020-04-08,1292,1363,1409,1839,2392,2540,2909
2020-04-09,1342,1415,1448,1740,2242,2384,2756
2020-04-10,1226,1310,1356,1843,2346,2468,2740
2020-04-11,1283,1346,1382,1618,1948,2086,2359
2020-04-12,1223,1281,1313,1513,1736,1800,1970
2020-04-13,1376,1461,1502,1714,1947,1998,2109
2020-04-14,1309,1393,1433,1644,1873,1925,2027
2020-04-15,1268,1391,1436,1655,1896,1941,2042
2020-04-16,1249,1384,1436,1658,1899,1949,2063
2020-04-17,1110,1262,1342,1801,2130,2210,2290
2020-04-18,1219,1291,1331,1543,1778,1826,1930
2020-04-19,1258,1360,1402,1622,1860,1913,2011
2020-04-20,1251,1357,1403,1620,1858,1902,2006
2020-04-21,1222,1306,1342,1546,1764,1812,1904
2020-04-22,1160,1326,1418,1669,1911,1969,2058
2020-04-23,1209,1384,1443,1674,1914,1961,2042
2020-04-24,1252,1341,1384,1592,1818,1869,1961
2020-04-25,1235,1311,1348,1551,1773,1818,1910
2020-04-26,1044,1099,1128,1310,1513,1567,1714
2020-04-27,1086,1251,1311,1522,1744,1786,1887
2020-04-28,1141,1237,1271,1466,1672,1716,1798
2020-04-29,1130,1290,1343,1557,1780,1822,1918
2020-04-30,1211,1310,1352,1554,1776,1819,1913
2020-05-01,1211,1372,1430,1660,1888,1932,2027
2020-05-02,1147,1207,1238,1429,1633,1681,1808
2020-05-03,1069,1130,1162,1344,1548,1599,1719
2020-05-04,1103,1170,1204,1384,1589,1636,1730
2020-05-05,1104,1172,1205,1386,1584,1627,1718
2020-05-06,1142,1227,1262,1456,1661,1704,1791
2020-05-07,1050,1110,1139,1315,1508,1550,1646
2020-05-08,1002,1057,1085,1255,1441,1484,1582
2020-05-09,956,1008,1033,1196,1377,1415,1510
2020-05-10,875,925,954,1100,1272,1311,1412
2020-05-11,846,894,917,1064,1221,1257,1346
2020-05-12,866,923,952,1095,1254,1288,1358
2020-05-13,852,959,996,1154,1322,1356,1428
2020-05-14,874,925,951,1097,1255,1292,1359
2020-05-15,896,990,1026,1188,1359,1393,1469
2020-05-16,903,967,992,1139,1301,1335,1411
2020-05-17,935,992,1019,1174,1340,1380,1456
2020-05-18,890,939,964,1111,1272,1311,1385
2020-05-19,842,889,916,1056,1212,1249,1333
2020-05-20,937,1006,1036,1194,1361,1391,1474
2020-05-21,904,954,980,1130,1294,1332,1415
2020-05-22,891,943,966,1115,1274,1309,1390
2020-05-23,793,830,855,997,1160,1206,1323
2020-05-24,795,842,863,1000,1151,1186,1265
2020-05-25,789,834,858,990,1140,1172,1243
2020-05-26,677,713,731,856,1008,1057,1175
2020-05-27,715,755,775,897,1030,1061,1121
2020-05-28,655,693,711,824,950,980,1041
2020-05-29,659,773,823,970,1119,1149,1199
2020-05-30,643,674,696,808,934,964,1035
2020-05-31,608,647,661,769,888,918,987
2020-06-01,629,670,687,793,911,936,988
2020-06-02,537,568,583,681,795,825,910
2020-06-03,547,580,598,692,798,820,872
2020-06-04,487,514,530,618,715,738,796
2020-06-05,442,469,482,563,654,674,732
2020-06-06,428,452,464,542,628,647,690
2020-06-07,355,375,386,454,534,559,629
2020-06-08,357,378,390,454,527,543,578
2020-06-09,339,361,371,433,502,516,549
2020-06-10,329,377,391,457,526,540,574
2020-06-11,321,342,353,411,477,490,521
2020-06-12,325,359,372,434,500,515,543
2020-06-13,285,300,309,362,422,436,466
2020-06-14,254,270,278,326,382,396,431
2020-06-15,274,298,308,360,417,429,454
2020-06-16,270,289,299,349,403,414,439
2020-06-17,271,302,312,365,421,432,456
2020-06-18,279,312,324,379,435,447,473
2020-06-19,293,313,322,374,432,443,468
2020-06-20,261,277,286,334,387,399,431
2020-06-21,253,270,278,325,377,389,418
2020-06-22,273,291,300,349,403,415,437
2020-06-23,257,272,281,328,380,392,417
2020-06-24,256,271,281,327,378,390,412
2020-06-25,241,257,264,309,360,372,395
2020-06-26,254,271,279,326,376,388,410
2020-06-27,263,301,314,368,425,437,460
2020-06-28,255,272,279,327,381,392,421
2020-06-29,246,260,268,315,368,380,410
2020-06-30,262,279,286,335,388,399,423
2020-07-01,202,216,224,276,361,389,433
2020-07-02,253,276,285,335,389,400,425
2020-07-03,250,265,274,321,372,383,407
2020-07-04,202,215,222,265,321,341,394
2020-07-05,157,171,180,263,361,379,415
2020-07-06,212,258,273,327,381,392,416
2020-07-07,242,259,266,312,363,375,397
2020-07-08,251,266,274,320,371,381,402
2020-07-09,256,273,282,330,384,394,417
2020-07-10,266,284,293,342,395,405,431
2020-07-11,215,227,235,284,353,379,432
2020-07-12,193,206,214,261,340,367,413
2020-07-13,198,217,229,322,477,500,532
2020-07-14,220,267,307,398,476,490,519
2020-07-15,312,334,344,408,476,489,520
2020-07-16,363,387,398,465,536,550,582
2020-07-17,391,423,437,507,583,600,636
2020-07-18,339,360,370,438,522,553,624
2020-07-19,283,307,329,482,618,648,705
2020-07-20,370,415,443,640,782,807,857
2020-07-21,380,407,422,502,593,613,658
2020-07-22,332,354,366,429,502,519,555
2020-07-23,493,541,557,646,745,766,807
2020-07-24,386,410,422,499,597,639,732
2020-07-25,326,346,360,478,662,700,775
2020-07-26,282,299,308,414,623,664,749
2020-07-27,324,385,442,585,696,715,773
2020-07-28,311,332,342,414,493,512,553
2020-07-29,380,405,418,489,569,587,622
2020-07-30,357,379,391,457,532,550,588
2020-07-31,356,380,391,456,529,542,571
2020-08-01,252,270,283,400,546,574,631
2020-08-02,213,240,273,404,539,568,624
2020-08-03,220,239,247,303,388,441,534
2020-08-04,195,215,227,471,697,723,723
2020-08-05,201,257,280,362,453,471,507
2020-08-06,256,273,282,338,403,418,450
2020-08-07,316,338,349,410,480,496,526
2020-08-08,219,231,239,298,408,438,513
2020-08-09,197,208,214,260,324,354,420
2020-08-10,183,203,214,299,496,540,582
2020-08-11,197,235,264,335,412,433,469
2020-08-12,250,267,276,326,386,400,430
2020-08-13,314,356,370,439,510,522,559
2020-08-14,315,338,348,407,473,487,515
2020-08-15,217,238,249,375,497,520,562
2020-08-16,173,193,212,367,496,521,568
2020-08-17,160,172,181,258,429,467,543
2020-08-18,140,163,176,255,367,409,694
2020-08-19,154,186,210,327,402,417,442
2020-08-20,189,206,214,260,312,324,346
2020-08-21,434,456,468,532,599,681,681
2020-08-22,240,278,305,407,503,523,564
2020-08-23,246,261,271,352,487,514,560
2020-08-24,256,285,306,459,638,656,696
2020-08-25,291,312,323,391,464,480,510
2020-08-26,368,390,402,469,542,558,593
2020-08-27,374,395,407,474,547,563,597
2020-08-28,406,445,460,534,614,629,666
2020-08-29,310,330,341,443,607,640,707
2020-08-30,272,291,302,436,619,652,726
2020-08-31,314,347,368,525,788,875,951
2020-09-01,397,435,450,535,629,651,695
2020-09-02,443,468,482,564,652,674,718
2020-09-03,500,528,543,629,720,740,782
2020-09-04,506,535,551,637,732,753,797
2020-09-05,381,405,422,588,788,828,907
2020-09-06,388,411,422,512,686,743,862
2020-09-07,361,385,396,467,554,584,716
2020-09-08,352,387,404,517,646,676,743
2020-09-09,394,419,433,505,585,602,643
2020-09-10,340,375,402,682,892,916,1000
2020-09-11,608,645,663,773,893,915,973
2020-09-12,540,570,587,685,796,822,895
2020-09-13,501,530,546,642,763,811,916
2020-09-14,501,549,572,756,1060,1120,1233
2020-09-15,599,704,740,874,1017,1051,1114
