Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,4,5,6,9,13,14,16
2020-03-02,5,7,8,12,16,17,19
2020-03-03,6,7,8,11,16,17,19
2020-03-04,5,7,7,12,19,21,25
2020-03-05,6,7,8,15,21,22,24
2020-03-06,9,10,11,16,22,23,26
2020-03-07,8,10,10,16,23,24,27
2020-03-08,9,11,12,18,25,26,30
2020-03-09,17,19,20,26,33,34,37
2020-03-10,44,47,48,56,64,66,71
2020-03-11,22,22,22,30,41,44,44
2020-03-12,14,17,18,28,38,41,46
2020-03-13,29,32,34,44,54,56,61
2020-03-14,84,87,89,102,114,118,122
2020-03-15,214,223,226,246,262,269,278
2020-03-16,11,14,15,25,35,38,43
2020-03-17,66,73,76,96,118,123,133
2020-03-18,69,76,80,103,127,133,145
2020-03-19,87,96,100,125,152,157,169
2020-03-20,395,408,409,447,490,495,504
2020-03-21,464,478,486,528,573,581,601
2020-03-22,440,457,466,516,568,579,603
2020-03-23,288,310,322,390,462,477,507
2020-03-24,338,364,378,459,548,566,598
2020-03-25,383,416,433,529,629,653,706
2020-03-26,626,657,671,759,853,869,913
2020-03-27,775,808,829,936,1051,1073,1119
2020-03-28,864,903,925,1051,1186,1218,1282
2020-03-29,732,774,796,977,1263,1330,1438
2020-03-30,937,986,1010,1162,1335,1378,1468
2020-03-31,883,1021,1082,1357,1658,1727,1854
2020-04-01,1053,1108,1138,1332,1578,1673,1895
2020-04-02,1020,1068,1102,1279,1520,1678,2017
2020-04-03,941,1037,1108,1473,1834,1896,2046
2020-04-04,1008,1104,1160,1584,1994,2090,2285
2020-04-05,1220,1329,1384,1733,2147,2241,2449
2020-04-06,1196,1291,1331,1644,2031,2141,2332
2020-04-07,1155,1241,1299,1609,1958,2037,2216
2020-04-08,999,1045,1077,1252,1442,1483,1574
2020-04-09,809,854,876,1016,1168,1203,1279
2020-04-10,612,644,663,777,903,928,986
2020-04-11,721,824,870,1075,1288,1334,1425
2020-04-12,707,765,796,985,1189,1234,1320
2020-04-13,621,675,704,893,1108,1153,1229
2020-04-14,508,544,562,707,869,892,962
2020-04-15,367,386,396,461,534,551,580
2020-04-16,319,338,348,404,468,483,511
2020-04-17,263,279,287,337,392,404,430
2020-04-18,184,229,246,298,349,359,384
2020-04-19,133,160,174,272,338,349,364
2020-04-20,142,161,168,202,239,246,264
2020-04-21,93,102,105,130,159,167,191
2020-04-22,59,70,77,134,194,200,217
2020-04-23,46,57,63,133,211,217,233
2020-04-24,55,81,105,156,186,192,202
2020-04-25,75,92,99,142,186,193,205
2020-04-26,82,98,108,140,166,170,178
2020-04-27,79,85,88,107,126,131,140
2020-04-28,73,79,82,100,120,124,132
2020-04-29,64,75,82,116,141,145,154
2020-04-30,58,68,73,112,159,165,175
2020-05-01,73,86,91,113,135,141,151
2020-05-02,80,87,90,110,131,137,147
2020-05-03,68,73,76,94,114,119,130
2020-05-04,60,65,68,84,104,109,122
2020-05-05,41,52,58,85,115,121,135
2020-05-06,42,47,49,65,91,101,117
2020-05-07,48,52,55,68,84,87,95
2020-05-08,55,60,62,76,92,95,102
2020-05-09,36,40,42,55,71,77,92
2020-05-10,39,43,45,57,71,74,82
2020-05-11,31,34,36,47,60,65,75
2020-05-12,28,30,32,42,55,58,67
2020-05-13,24,28,29,38,50,53,59
2020-05-14,29,34,36,46,57,60,65
2020-05-15,30,35,37,47,58,60,66
2020-05-16,31,38,40,51,63,66,71
2020-05-17,16,19,21,40,60,64,73
2020-05-18,13,17,20,40,59,63,71
2020-05-19,15,17,19,29,46,52,64
2020-05-20,23,27,29,38,49,51,56
2020-05-21,23,26,27,36,46,48,52
2020-05-22,11,13,14,26,44,48,54
2020-05-23,12,14,15,23,32,36,45
2020-05-24,8,9,10,17,28,31,39
2020-05-25,6,8,9,14,22,25,31
2020-05-26,8,9,10,16,22,23,26
2020-05-27,8,9,10,15,21,22,25
2020-05-28,9,11,12,18,24,25,28
2020-05-29,8,11,13,22,31,32,36
2020-05-30,9,11,12,17,23,25,28
2020-05-31,9,11,12,17,23,25,28
2020-06-01,6,7,8,13,19,21,26
2020-06-02,2,3,4,11,21,22,26
2020-06-03,8,10,11,17,23,24,27
2020-06-04,9,11,12,18,24,25,29
2020-06-05,11,13,14,20,26,28,31
2020-06-06,10,12,13,19,26,27,30
2020-06-07,6,7,8,14,21,24,29
2020-06-08,5,6,7,12,20,23,28
2020-06-09,8,10,11,16,22,23,26
2020-06-10,10,13,14,20,26,28,31
2020-06-11,11,14,17,25,33,35,40
2020-06-12,11,13,14,20,27,28,32
2020-06-13,15,18,20,27,35,37,40
2020-06-14,14,16,17,24,32,33,37
2020-06-15,10,12,13,20,28,32,38
2020-06-16,14,16,17,24,32,33,37
2020-06-17,18,21,22,30,38,40,44
2020-06-18,10,12,13,21,32,36,43
2020-06-19,19,22,24,31,40,42,46
2020-06-20,8,10,12,24,39,41,48
2020-06-21,18,23,27,39,50,53,57
2020-06-22,13,15,17,24,33,35,41
2020-06-23,15,17,18,25,34,36,40
2020-06-24,22,27,29,38,48,50,55
2020-06-25,24,30,33,44,55,57,62
2020-06-26,29,36,39,51,63,65,70
2020-06-27,35,43,46,60,73,76,82
2020-06-28,42,46,48,61,74,76,82
2020-06-29,31,34,36,50,74,80,91
2020-06-30,44,48,50,63,77,80,87
2020-07-01,42,48,51,81,119,124,135
2020-07-02,54,69,79,104,128,133,141
2020-07-03,88,100,104,126,149,154,165
2020-07-04,80,86,90,112,138,147,171
2020-07-05,64,71,75,112,166,176,197
2020-07-06,50,60,65,127,182,193,219
2020-07-07,47,52,54,105,184,198,228
2020-07-08,65,91,101,130,161,167,180
2020-07-09,66,73,77,98,123,128,138
2020-07-10,77,83,87,107,130,135,145
2020-07-11,88,97,101,123,146,151,162
2020-07-12,61,66,70,98,145,156,174
2020-07-13,56,60,63,85,127,140,163
2020-07-14,55,60,62,78,97,103,123
2020-07-15,55,66,73,109,136,142,154
2020-07-16,68,84,95,126,154,159,172
2020-07-17,71,78,81,100,122,127,140
2020-07-18,80,86,90,109,131,136,146
2020-07-19,75,81,85,103,124,128,139
2020-07-20,47,54,57,96,133,141,157
2020-07-21,73,82,86,106,127,131,141
2020-07-22,92,102,106,127,149,155,164
2020-07-23,87,94,97,117,139,143,152
2020-07-24,89,106,113,138,163,169,179
2020-07-25,101,112,116,139,164,169,181
2020-07-26,89,96,100,120,144,150,166
2020-07-27,63,70,73,111,159,169,187
2020-07-28,92,102,106,129,155,160,172
2020-07-29,89,109,132,166,197,203,216
2020-07-30,112,156,163,192,224,230,245
2020-07-31,143,160,166,197,230,236,252
2020-08-01,143,152,157,186,218,226,242
2020-08-02,122,130,135,165,208,224,253
2020-08-03,117,133,141,188,241,252,278
2020-08-04,113,121,125,156,202,220,256
2020-08-05,138,146,151,179,210,217,233
2020-08-06,139,148,152,180,211,218,232
2020-08-07,128,137,141,168,199,206,220
2020-08-08,135,146,151,179,210,216,231
2020-08-09,123,131,135,162,192,199,214
2020-08-10,95,102,106,135,183,198,229
2020-08-11,119,137,143,172,204,210,225
2020-08-12,106,119,128,203,261,269,281
2020-08-13,134,173,183,220,259,267,284
2020-08-14,176,201,209,248,288,297,316
2020-08-15,192,205,212,248,289,297,313
2020-08-16,170,181,187,222,262,274,303
2020-08-17,124,143,150,222,302,315,344
2020-08-18,159,169,175,211,252,263,296
2020-08-19,169,212,232,279,325,335,357
2020-08-20,205,219,226,265,310,319,340
2020-08-21,223,241,250,293,338,348,370
2020-08-22,228,244,251,294,340,352,373
2020-08-23,223,237,244,287,333,344,369
2020-08-24,167,180,189,281,371,388,419
2020-08-25,174,186,193,237,307,337,388
2020-08-26,190,225,260,339,402,418,437
2020-08-27,269,289,298,348,403,415,444
2020-08-28,267,285,294,343,398,409,435
2020-08-29,287,307,317,370,427,441,467
2020-08-30,252,267,275,324,382,398,449
2020-08-31,202,242,265,353,445,465,508
2020-09-01,198,213,219,295,423,449,498
2020-09-02,271,294,303,357,419,433,461
2020-09-03,280,296,306,359,417,429,459
2020-09-04,299,323,334,390,451,464,492
2020-09-05,310,339,351,410,475,488,516
2020-09-06,332,358,369,428,494,508,538
2020-09-07,247,294,318,417,525,551,594
2020-09-08,232,246,257,364,513,540,594
2020-09-09,336,369,382,451,528,545,577
2020-09-10,326,346,356,417,486,500,531
2020-09-11,378,414,427,497,573,591,624
2020-09-12,369,392,404,471,545,559,597
2020-09-13,378,402,413,481,555,572,607
2020-09-14,275,300,316,467,604,631,687
2020-09-15,278,297,306,383,528,570,649
2020-09-16,334,395,412,486,568,588,623
2020-09-17,394,424,437,511,593,608,647
2020-09-18,387,410,422,492,570,585,621
2020-09-19,322,356,374,488,617,644,703
2020-09-20,311,345,365,484,623,653,715
2020-09-21,329,362,383,514,673,721,872
2020-09-22,248,270,279,334,395,408,438
2020-09-23,329,349,359,418,485,499,526
2020-09-24,306,325,335,391,452,467,496
2020-09-25,294,312,322,375,435,449,477
2020-09-26,235,260,274,357,451,470,513
2020-09-27,211,240,254,340,439,460,504
2020-09-28,215,242,257,347,451,479,567
2020-09-29,189,201,207,249,297,307,326
2020-09-30,287,301,309,360,412,423,447
2020-10-01,367,386,396,453,512,529,551
2020-10-02,272,304,322,437,520,532,559
2020-10-03,253,284,300,386,478,496,530
2020-10-04,241,274,292,387,479,499,537
2020-10-05,296,327,343,433,529,548,591
2020-10-06,473,496,508,578,654,672,699
2020-10-07,653,681,696,777,864,885,935
2020-10-08,730,761,779,869,969,992,1030
2020-10-09,534,578,598,725,860,889,944
2020-10-10,561,610,632,771,920,951,1017
2020-10-11,594,643,672,831,1005,1039,1110
