Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,3,4,4,7,11,11,13
2020-03-02,0,0,1,5,10,11,14
2020-03-03,1,1,1,4,9,10,13
2020-03-04,0,0,0,4,9,10,12
2020-03-05,1,2,2,5,8,8,10
2020-03-06,0,0,0,3,7,8,10
2020-03-07,0,0,0,2,6,7,9
2020-03-08,2,3,3,6,9,10,11
2020-03-09,0,0,0,2,5,6,8
2020-03-10,2,2,2,5,7,8,9
2020-03-11,2,3,4,7,10,11,12
2020-03-12,0,0,0,2,5,6,8
2020-03-13,3,3,4,7,13,14,16
2020-03-14,4,4,5,8,12,13,15
2020-03-15,3,5,5,9,13,14,16
2020-03-16,7,8,9,14,20,20,21
2020-03-17,7,8,9,15,21,23,27
2020-03-18,7,9,10,19,29,30,33
2020-03-19,0,1,1,5,9,10,12
2020-03-20,20,20,20,26,33,33,33
2020-03-21,16,18,19,27,35,37,41
2020-03-22,16,19,20,27,36,38,42
2020-03-23,48,52,53,63,72,75,78
2020-03-24,73,77,79,91,103,105,111
2020-03-25,96,101,103,117,133,136,141
2020-03-26,50,56,59,78,98,104,117
2020-03-27,64,70,74,96,117,122,131
2020-03-28,74,82,86,111,138,143,155
2020-03-29,104,122,135,172,200,206,217
2020-03-30,189,199,204,234,267,276,287
2020-03-31,204,215,221,254,289,297,311
2020-04-01,222,236,243,281,322,331,350
2020-04-02,270,292,301,348,398,408,428
2020-04-03,284,299,307,358,414,426,452
2020-04-04,378,405,418,481,549,562,593
2020-04-05,317,340,354,483,629,653,701
2020-04-06,344,364,380,526,720,753,813
2020-04-07,336,371,396,623,841,881,971
2020-04-08,388,408,418,510,675,741,861
2020-04-09,381,400,412,485,570,594,684
2020-04-10,438,461,473,547,631,650,687
2020-04-11,510,543,558,643,734,756,801
2020-04-12,450,495,517,652,803,840,912
2020-04-13,457,518,542,692,860,898,975
2020-04-14,419,450,472,694,912,959,1054
2020-04-15,373,387,388,461,528,544,651
2020-04-16,440,461,473,546,626,643,680
2020-04-17,389,409,420,488,563,583,633
2020-04-18,368,401,416,536,722,764,829
2020-04-19,327,343,352,419,507,551,632
2020-04-20,340,358,368,427,491,506,535
2020-04-21,276,293,304,354,410,422,447
2020-04-22,269,311,338,412,480,492,522
2020-04-23,250,285,305,425,505,523,552
2020-04-24,254,310,341,434,510,525,559
2020-04-25,261,292,308,399,501,528,579
2020-04-26,291,342,363,434,505,521,557
2020-04-27,354,377,388,452,521,537,567
2020-04-28,400,423,436,504,580,595,624
2020-04-29,377,412,425,495,571,588,623
2020-04-30,330,362,378,488,614,639,694
2020-05-01,325,355,374,496,654,724,815
2020-05-02,353,391,411,545,707,754,824
2020-05-03,705,705,705,928,1052,1083,1142
2020-05-04,750,789,809,915,1032,1057,1105
2020-05-05,956,996,1019,1147,1279,1308,1374
2020-05-06,853,897,920,1048,1185,1216,1280
2020-05-07,944,1047,1116,1332,1521,1559,1638
2020-05-08,1106,1164,1196,1365,1548,1586,1661
2020-05-09,1103,1181,1233,1516,1821,1885,2016
2020-05-10,1330,1406,1442,1653,1883,1931,2045
2020-05-11,1126,1189,1222,1423,1638,1691,1863
2020-05-12,1385,1454,1493,1710,1951,2008,2111
2020-05-13,1474,1648,1750,2269,2642,2712,2844
2020-05-14,1914,2094,2166,2500,2854,2935,3082
2020-05-15,2068,2180,2232,2560,2921,3005,3184
2020-05-16,2111,2276,2376,2958,3635,3828,4405
2020-05-17,2134,2251,2313,2715,3277,3522,4000
2020-05-18,2083,2194,2252,2618,3024,3148,3808
2020-05-19,2754,2886,2957,3384,3847,3944,4155
2020-05-20,2978,3223,3321,3814,4348,4476,4726
2020-05-21,3203,3363,3454,3960,4515,4626,4895
2020-05-22,3461,3640,3736,4283,4871,5003,5261
2020-05-23,3355,3649,3795,4716,5742,5967,6406
2020-05-24,3333,3501,3596,4226,5090,5445,6224
2020-05-25,3975,4167,4274,4898,5591,5741,6068
2020-05-26,3511,3698,3796,4377,5002,5144,5428
2020-05-27,3674,3883,3975,4567,5258,5415,5745
2020-05-28,3840,4019,4136,4751,5428,5581,5936
2020-05-29,3318,3489,3583,4176,4928,5242,5952
2020-05-30,3270,3555,3731,4708,5828,6071,6641
2020-05-31,3746,4018,4132,4766,5467,5620,5981
