Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,471,494,507,578,654,670,705
2020-03-02,421,456,473,572,679,699,748
2020-03-03,420,453,470,570,677,699,750
2020-03-04,416,447,467,570,682,704,758
2020-03-05,590,590,590,590,590,590,590
2020-03-06,245,254,254,291,347,363,389
2020-03-07,144,156,163,200,244,252,271
2020-03-08,288,307,321,392,466,483,511
2020-03-09,263,285,297,363,436,450,482
2020-03-10,243,264,276,340,409,425,456
2020-03-11,75,92,92,106,134,141,155
2020-03-12,41,48,51,69,90,95,103
2020-03-13,38,43,45,60,79,82,89
2020-03-14,79,88,93,120,150,156,168
2020-03-15,56,64,68,91,118,123,135
2020-03-16,29,32,35,59,89,94,106
2020-03-17,17,20,22,30,40,42,47
2020-03-18,24,27,28,38,48,50,54
2020-03-19,12,15,18,39,52,55,61
2020-03-20,13,17,19,30,44,47,53
2020-03-21,11,14,16,32,48,51,56
2020-03-22,14,17,19,28,40,43,46
2020-03-23,19,29,32,41,51,53,56
2020-03-24,12,14,15,22,33,51,61
2020-03-25,35,38,40,48,58,60,63
2020-03-26,20,23,24,34,45,47,52
2020-03-27,19,22,23,33,44,46,53
2020-03-28,19,22,23,33,45,47,53
2020-03-29,46,49,51,60,70,73,76
2020-03-30,43,47,48,59,70,72,76
2020-03-31,57,62,63,77,91,94,99
2020-04-01,38,43,46,60,76,79,86
2020-04-02,39,44,47,64,84,91,101
2020-04-03,77,82,84,98,113,116,121
2020-04-04,66,71,73,87,103,106,113
2020-04-05,72,77,80,95,112,115,123
2020-04-06,70,81,88,116,139,143,151
2020-04-07,69,74,77,95,116,122,138
2020-04-08,82,91,96,133,180,187,200
2020-04-09,93,100,104,125,149,154,167
2020-04-10,83,90,93,114,139,151,180
2020-04-11,83,90,93,113,136,143,174
2020-04-12,116,129,133,158,185,191,205
2020-04-13,99,105,109,134,168,180,205
2020-04-14,86,94,100,153,205,214,237
2020-04-15,92,99,103,138,202,214,245
2020-04-16,93,99,103,127,161,179,226
2020-04-17,100,111,116,155,198,237,427
2020-04-18,81,90,96,144,191,201,224
2020-04-19,81,94,104,152,201,212,235
2020-04-20,66,71,74,92,111,116,128
2020-04-21,65,70,73,92,117,126,144
2020-04-22,55,60,63,86,123,130,145
2020-04-23,46,52,56,88,121,128,143
2020-04-24,44,48,51,71,103,111,128
2020-04-25,37,41,42,58,85,92,108
2020-04-26,29,32,34,48,72,77,86
2020-04-27,25,28,30,40,55,60,70
2020-04-28,29,37,41,53,66,69,74
2020-04-29,21,23,25,33,43,46,52
2020-04-30,22,28,30,40,50,53,57
2020-05-01,15,17,18,26,35,37,44
2020-05-02,6,8,9,17,31,35,42
2020-05-03,1,2,3,14,26,29,35
2020-05-04,0,0,0,7,18,21,28
2020-05-05,4,7,8,14,21,22,26
2020-05-06,10,12,13,18,24,26,29
2020-05-07,6,7,7,12,17,18,21
2020-05-08,6,8,9,14,20,21,24
2020-05-09,6,8,9,18,26,27,30
2020-05-10,7,8,9,18,30,32,35
2020-05-11,4,5,5,10,16,18,22
2020-05-12,10,11,12,18,24,25,28
2020-05-13,7,8,9,14,19,20,23
2020-05-14,7,9,10,15,20,22,24
2020-05-15,8,10,12,17,23,24,27
2020-05-16,8,10,11,16,22,24,26
2020-05-17,9,12,13,19,25,26,29
2020-05-18,10,13,15,22,29,30,33
2020-05-19,9,11,12,17,24,25,28
2020-05-20,9,11,12,17,23,25,28
2020-05-21,11,14,15,27,36,38,42
2020-05-22,13,16,18,32,42,44,48
2020-05-23,18,21,22,30,38,40,44
2020-05-24,22,28,30,40,50,52,56
2020-05-25,27,31,33,43,53,56,60
2020-05-26,23,25,27,36,47,50,59
2020-05-27,23,26,27,37,48,51,59
2020-05-28,19,22,23,34,51,56,66
2020-05-29,18,21,22,32,49,53,64
2020-05-30,13,16,20,37,54,59,68
2020-05-31,15,18,19,29,44,49,59
2020-06-01,16,19,20,28,37,39,45
2020-06-02,10,12,13,21,29,31,37
2020-06-03,3,5,6,21,37,40,46
2020-06-04,7,9,10,17,27,30,36
2020-06-05,4,5,6,10,15,17,22
2020-06-06,5,6,7,11,15,16,19
2020-06-07,4,5,6,9,13,14,17
2020-06-08,3,3,4,7,11,12,14
2020-06-09,4,5,6,12,19,20,24
2020-06-10,4,6,7,12,17,19,21
2020-06-11,4,5,6,10,14,15,18
2020-06-12,5,6,7,11,16,17,19
2020-06-13,7,8,9,14,21,23,26
2020-06-14,7,8,9,15,22,24,28
2020-06-15,8,9,10,16,24,27,29
2020-06-16,23,25,26,33,41,44,49
2020-06-17,22,24,25,32,40,42,46
2020-06-18,24,27,28,36,44,46,50
2020-06-19,10,14,16,28,41,43,49
2020-06-20,18,22,24,40,55,58,61
2020-06-21,17,19,21,28,37,39,44
2020-06-22,33,37,38,47,57,59,64
2020-06-23,25,27,29,38,47,49,54
2020-06-24,18,21,22,32,46,50,58
2020-06-25,21,24,25,34,44,46,53
2020-06-26,20,23,24,32,42,44,49
2020-06-27,20,23,24,32,41,44,49
2020-06-28,15,17,18,27,38,42,49
2020-06-29,18,21,22,30,39,41,45
2020-06-30,9,12,14,28,41,44,50
2020-07-01,19,22,24,32,40,42,46
2020-07-02,12,14,15,21,29,31,35
2020-07-03,9,10,11,17,24,26,29
2020-07-04,13,15,16,22,30,31,35
2020-07-05,12,13,15,20,27,29,32
2020-07-06,13,16,18,25,32,34,37
2020-07-07,12,15,18,30,40,41,45
2020-07-08,15,20,22,32,41,43,46
2020-07-09,17,22,26,37,48,51,54
2020-07-10,23,27,28,37,47,49,53
2020-07-11,26,30,32,41,51,53,57
2020-07-12,29,34,36,46,57,59,64
2020-07-13,32,38,41,52,63,66,71
2020-07-14,37,43,45,57,69,71,77
2020-07-15,23,26,28,46,69,73,82
2020-07-16,38,47,53,70,86,89,96
2020-07-17,53,59,61,75,90,93,99
2020-07-18,64,69,71,87,103,106,114
2020-07-19,56,63,67,96,136,144,156
2020-07-20,71,77,80,98,117,121,131
2020-07-21,64,69,72,89,108,112,124
2020-07-22,105,114,117,138,162,167,177
2020-07-23,106,116,121,145,170,176,187
2020-07-24,120,138,145,173,202,209,221
2020-07-25,141,166,176,211,248,256,270
2020-07-26,177,191,198,232,270,277,295
2020-07-27,184,195,201,237,277,286,308
2020-07-28,184,197,203,241,284,296,332
2020-07-29,180,190,197,239,300,324,366
2020-07-30,222,238,245,288,335,345,365
2020-07-31,176,204,224,302,382,398,434
2020-08-01,182,192,201,275,392,414,457
2020-08-02,164,177,183,249,398,428,481
2020-08-03,140,154,164,238,310,323,358
2020-08-04,135,148,155,226,307,325,363
2020-08-05,136,145,150,187,255,280,323
2020-08-06,132,140,144,172,202,209,223
2020-08-07,115,122,126,153,183,191,210
2020-08-08,90,97,100,125,160,175,200
2020-08-09,94,102,107,130,155,162,173
2020-08-10,87,102,108,132,156,162,172
2020-08-11,55,61,64,83,114,126,147
2020-08-12,60,73,77,97,118,123,132
2020-08-13,53,67,77,103,125,130,136
2020-08-14,62,72,75,93,112,116,125
2020-08-15,58,64,67,82,100,104,112
2020-08-16,50,60,68,93,113,117,124
2020-08-17,53,66,72,91,110,113,122
2020-08-18,51,56,58,73,89,93,101
2020-08-19,36,40,42,54,70,76,92
2020-08-20,41,45,47,60,74,77,83
2020-08-21,38,46,49,62,76,79,85
2020-08-22,39,47,50,63,77,80,87
2020-08-23,37,41,43,55,68,71,77
2020-08-24,34,37,39,50,62,65,71
2020-08-25,33,37,38,49,61,63,69
2020-08-26,28,31,33,43,54,56,61
2020-08-27,30,34,36,46,57,59,64
2020-08-28,25,28,29,38,48,51,56
2020-08-29,23,26,27,36,46,48,53
2020-08-30,23,26,28,36,46,48,53
2020-08-31,23,26,28,37,46,48,53
2020-09-01,23,28,32,44,54,57,61
2020-09-02,25,28,29,38,48,50,54
2020-09-03,26,30,31,40,50,53,58
2020-09-04,27,31,33,43,53,55,60
2020-09-05,19,22,23,32,42,46,54
2020-09-06,27,32,34,44,54,57,62
2020-09-07,25,27,29,38,48,50,55
2020-09-08,16,18,20,29,43,48,56
2020-09-09,15,17,19,27,38,43,51
2020-09-10,22,27,29,38,47,50,54
2020-09-11,24,27,28,37,47,49,54
2020-09-12,20,23,24,32,42,44,48
2020-09-13,20,24,26,39,54,57,70
2020-09-14,24,30,34,49,61,64,70
2020-09-15,18,20,22,30,40,43,53
2020-09-16,22,25,26,35,44,46,51
2020-09-17,28,34,37,48,59,62,66
2020-09-18,25,28,29,38,49,52,58
2020-09-19,30,33,35,45,56,58,64
2020-09-20,33,38,40,52,63,66,71
2020-09-21,28,31,32,43,54,57,64
2020-09-22,26,29,30,40,52,56,65
2020-09-23,20,23,25,35,52,58,67
2020-09-24,24,28,29,38,49,51,58
2020-09-25,23,26,28,37,47,50,55
2020-09-26,28,32,33,43,54,56,61
2020-09-27,29,33,35,45,56,59,64
2020-09-28,26,28,30,39,50,52,58
2020-09-29,30,34,35,45,56,59,64
2020-09-30,26,29,31,40,51,54,60
2020-10-01,24,27,28,37,48,50,57
2020-10-02,30,34,36,46,57,59,64
2020-10-03,23,26,27,36,47,50,57
2020-10-04,29,32,34,44,55,57,62
2020-10-05,30,34,36,47,58,61,66
2020-10-06,30,33,35,45,56,58,64
2020-10-07,28,31,33,42,53,56,62
2020-10-08,31,34,36,46,57,59,65
2020-10-09,27,30,32,41,52,55,62
2020-10-10,32,39,43,56,69,71,76
2020-10-11,36,40,42,53,65,68,73
2020-10-12,35,38,40,51,63,66,72
2020-10-13,31,34,36,46,58,61,69
2020-10-14,21,23,25,41,64,69,78
2020-10-15,34,40,42,53,66,69,75
2020-10-16,22,25,27,36,48,52,61
2020-10-17,27,30,32,41,52,55,60
2020-10-18,30,35,37,47,58,61,67
2020-10-19,29,38,42,56,70,73,78
2020-10-20,28,31,33,43,54,57,64
2020-10-21,25,28,30,39,50,53,61
2020-10-22,32,37,38,49,61,63,68
2020-10-23,29,33,34,44,55,58,63
2020-10-24,30,33,35,45,56,59,64
2020-10-25,28,31,33,43,54,56,61
2020-10-26,29,33,35,49,66,70,77
2020-10-27,28,32,34,57,83,87,92
2020-10-28,37,44,47,60,74,77,83
2020-10-29,18,20,22,30,40,42,47
2020-10-30,34,42,47,69,86,88,93
2020-10-31,38,43,45,57,70,73,80
2020-11-01,40,48,53,77,95,99,105
2020-11-02,54,60,63,78,94,97,104
2020-11-03,56,61,63,78,94,97,105
2020-11-04,53,60,65,97,132,138,146
2020-11-05,48,52,55,72,99,108,127
2020-11-06,49,54,56,70,86,90,103
2020-11-07,45,49,52,64,79,82,89
2020-11-08,53,59,61,75,91,94,102
2020-11-09,34,37,40,60,91,97,110
2020-11-10,38,42,44,57,72,76,91
2020-11-11,34,38,39,51,64,68,76
2020-11-12,25,28,29,40,55,61,72
2020-11-13,26,29,31,40,51,54,60
2020-11-14,19,22,23,32,42,45,53
2020-11-15,16,18,20,27,36,38,45
2020-11-16,18,22,23,32,41,43,47
2020-11-17,14,16,17,24,32,34,38
2020-11-18,13,16,17,24,31,33,36
2020-11-19,13,17,19,28,37,39,42
2020-11-20,12,14,16,29,46,48,51
2020-11-21,13,16,17,28,40,44,51
2020-11-22,14,17,19,30,42,45,51
2020-11-23,17,20,22,33,46,49,55
2020-11-24,20,25,27,44,65,68,72
2020-11-25,27,32,33,48,75,79,85
2020-11-26,48,52,54,66,79,82,87
2020-11-27,39,46,50,74,93,96,101
2020-11-28,48,57,62,80,96,99,105
2020-11-29,49,56,60,84,115,119,128
2020-11-30,68,75,79,94,111,115,122
2020-12-01,70,75,77,93,110,114,122
2020-12-02,86,93,96,114,133,138,147
2020-12-03,85,92,96,114,135,139,149
2020-12-04,101,108,113,134,157,162,172
2020-12-05,102,110,114,135,159,165,177
2020-12-06,94,101,104,128,159,170,192
2020-12-07,89,97,100,128,172,184,206
2020-12-08,99,105,109,132,161,169,193
2020-12-09,97,105,108,131,158,165,184
2020-12-10,104,111,116,139,164,169,182
2020-12-11,90,97,101,124,155,167,194
2020-12-12,90,96,101,123,148,156,179
2020-12-13,94,102,105,127,151,156,169
2020-12-14,87,93,97,117,141,147,163
2020-12-15,89,95,99,119,143,148,159
2020-12-16,78,84,88,107,128,135,150
2020-12-17,84,91,94,114,136,140,150
2020-12-18,75,81,84,102,123,129,140
2020-12-19,75,90,99,127,152,158,167
2020-12-20,79,86,89,108,130,134,144
2020-12-21,82,89,93,112,133,138,148
2020-12-22,72,78,81,99,119,123,134
2020-12-23,65,70,73,90,109,113,124
2020-12-24,69,75,78,96,115,119,127
2020-12-25,67,72,75,92,110,114,122
2020-12-26,66,74,78,95,113,117,125
2020-12-27,67,76,80,98,117,120,129
2020-12-28,69,77,81,98,117,121,129
2020-12-29,59,65,68,83,100,104,114
2020-12-30,65,70,73,89,107,111,119
2020-12-31,63,69,72,88,106,110,117
2021-01-01,58,63,65,81,98,101,110
2021-01-02,58,64,66,82,98,102,110
2021-01-03,55,61,63,78,94,98,106
2021-01-04,53,62,68,98,120,124,132
2021-01-05,65,72,75,92,110,114,122
2021-01-06,60,71,77,113,140,144,154
2021-01-07,67,79,87,128,157,163,172
2021-01-08,91,100,104,126,149,154,164
2021-01-09,104,119,124,149,175,180,192
2021-01-10,101,109,113,135,160,166,178
2021-01-11,109,117,121,144,170,176,189
2021-01-12,108,123,131,189,235,243,259
2021-01-13,133,144,149,178,209,215,228
2021-01-14,166,181,188,221,257,264,279
2021-01-15,169,180,185,218,254,262,277
2021-01-16,175,186,192,227,265,274,294
2021-01-17,196,208,215,252,293,301,319
2021-01-18,216,230,237,277,320,330,349
2021-01-19,177,189,195,244,328,350,387
2021-01-20,204,215,221,261,306,319,353
2021-01-21,200,213,219,259,304,316,344
2021-01-22,209,225,232,272,318,327,349
2021-01-23,196,210,216,256,302,314,350
2021-01-24,216,230,237,277,321,331,354
2021-01-25,181,206,218,284,358,374,409
2021-01-26,153,167,174,251,354,375,413
2021-01-27,149,158,163,203,273,313,378
2021-01-28,101,107,112,139,179,194,235
2021-01-29,105,113,116,140,166,172,187
2021-01-30,98,105,108,130,154,159,171
2021-01-31,57,63,67,103,146,154,170
2021-02-01,59,64,67,83,103,109,128
2021-02-02,46,50,52,65,81,85,93
2021-02-03,37,40,42,54,68,71,77
2021-02-04,31,35,37,48,60,63,69
2021-02-05,22,27,30,53,72,75,80
2021-02-06,24,28,29,39,50,52,58
2021-02-07,23,30,33,44,56,58,64
2021-02-08,21,26,29,47,61,63,67
2021-02-09,23,30,34,46,57,60,65
2021-02-10,17,19,20,29,39,42,51
2021-02-11,20,27,30,41,51,53,58
2021-02-12,22,25,26,35,44,46,51
2021-02-13,20,23,24,32,41,43,47
2021-02-14,21,24,26,34,43,45,49
2021-02-15,19,22,24,31,40,42,46
2021-02-16,16,18,19,26,35,37,41
2021-02-17,18,21,22,30,38,40,44
2021-02-18,18,23,25,33,42,44,48
2021-02-19,18,20,22,29,37,39,43
