Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,1,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,2,4,4,5
2020-03-18,1,1,1,1,3,3,4
2020-03-19,1,1,1,2,4,4,5
2020-03-20,0,0,0,0,0,0,0
2020-03-21,1,1,1,3,4,5,6
2020-03-22,0,0,0,0,0,0,0
2020-03-23,1,1,2,3,6,6,7
2020-03-24,3,4,4,6,9,9,10
2020-03-25,1,2,2,5,7,8,9
2020-03-26,3,5,6,9,13,14,16
2020-03-27,2,3,3,6,9,10,11
2020-03-28,0,0,0,4,10,11,14
2020-03-29,6,7,8,12,17,18,21
2020-03-30,2,2,3,6,11,13,17
2020-03-31,5,6,7,10,15,16,18
2020-04-01,5,6,7,11,16,17,19
2020-04-02,2,3,4,8,13,15,19
2020-04-03,6,8,10,17,24,25,27
2020-04-04,9,12,14,21,27,29,31
2020-04-05,9,11,12,17,24,25,28
2020-04-06,12,14,15,25,39,43,49
2020-04-07,15,18,19,26,34,35,39
2020-04-08,21,23,25,32,41,43,47
2020-04-09,33,37,39,49,59,61,66
2020-04-10,21,25,28,43,60,63,70
2020-04-11,31,37,40,66,85,88,94
2020-04-12,32,35,37,49,62,66,73
2020-04-13,38,41,43,55,69,72,78
2020-04-14,26,42,47,68,92,97,109
2020-04-15,34,42,47,72,99,106,119
2020-04-16,23,33,44,75,107,114,129
2020-04-17,23,28,29,39,54,58,65
2020-04-18,70,75,78,94,110,114,122
2020-04-19,39,43,45,57,72,75,81
2020-04-20,36,42,45,67,93,98,109
