Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,2,3,3,3
2020-03-08,1,1,1,1,3,3,4
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,2,3,3,4
2020-03-17,1,1,1,3,5,5,6
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,2,4,4,5
2020-03-20,1,1,2,3,5,6,6
2020-03-21,1,1,2,3,6,6,7
2020-03-22,2,2,2,5,8,9,10
2020-03-23,2,2,3,6,10,11,13
2020-03-24,2,3,4,7,10,11,13
2020-03-25,3,4,4,7,11,12,13
2020-03-26,0,0,0,3,9,10,13
2020-03-27,4,5,6,11,16,17,19
2020-03-28,0,0,0,5,11,13,16
2020-03-29,6,7,7,12,18,20,23
2020-03-30,0,1,1,8,16,17,21
2020-03-31,6,8,8,14,22,28,38
2020-04-01,19,22,23,32,40,42,47
2020-04-02,40,43,45,54,65,67,71
2020-04-03,34,38,40,54,69,72,79
2020-04-04,36,40,42,53,66,69,77
2020-04-05,63,68,70,84,99,102,108
2020-04-06,14,18,19,30,41,43,49
2020-04-07,39,45,49,70,95,101,111
2020-04-08,53,58,60,75,92,95,105
2020-04-09,49,54,56,84,117,125,147
2020-04-10,66,71,74,91,111,115,124
2020-04-11,10,12,14,23,33,35,40
2020-04-12,8,11,13,21,31,33,38
2020-04-13,36,41,44,59,77,81,88
2020-04-14,28,31,33,50,71,76,84
2020-04-15,31,36,39,54,73,76,86
2020-04-16,81,87,89,105,124,129,136
2020-04-17,6,8,9,17,24,27,32
2020-04-18,20,23,24,32,41,43,47
2020-04-19,21,24,26,39,52,56,62
2020-04-20,24,27,28,40,54,57,64
