Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,3,5,5,6
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,4,4,5
2020-03-14,1,1,2,3,6,6,7
2020-03-15,1,2,2,4,7,7,8
2020-03-16,2,2,3,5,7,8,9
2020-03-17,2,2,3,5,10,11,13
2020-03-18,3,3,4,7,10,11,14
2020-03-19,2,3,3,6,9,9,11
2020-03-20,5,7,8,12,16,20,21
2020-03-21,6,7,7,12,19,20,24
2020-03-22,6,8,8,15,25,27,30
2020-03-23,21,23,24,30,37,38,42
2020-03-24,16,19,20,29,38,40,44
2020-03-25,19,22,23,33,45,47,53
2020-03-26,17,19,20,29,40,43,51
2020-03-27,31,34,35,44,54,56,61
2020-03-28,43,46,48,59,71,73,78
2020-03-29,40,47,52,74,90,94,99
2020-03-30,56,65,69,85,101,105,111
2020-03-31,73,80,83,100,118,122,130
2020-04-01,84,97,105,133,157,162,172
2020-04-02,84,91,94,115,142,152,172
2020-04-03,92,99,102,125,155,165,190
2020-04-04,112,119,123,147,175,181,194
2020-04-05,89,101,109,165,215,226,245
2020-04-06,94,103,107,168,236,248,273
2020-04-07,147,160,167,202,240,249,268
2020-04-08,201,214,221,260,300,310,330
2020-04-09,154,163,169,204,242,252,276
2020-04-10,195,209,216,255,297,307,329
2020-04-11,194,207,214,254,299,309,335
2020-04-12,185,202,213,281,355,372,405
2020-04-13,190,210,222,296,381,401,439
2020-04-14,155,194,216,306,403,423,471
2020-04-15,118,120,125,161,200,210,219
2020-04-16,113,121,126,150,178,184,195
2020-04-17,128,147,155,186,219,226,238
2020-04-18,122,138,143,173,206,214,228
2020-04-19,119,132,137,166,196,204,217
2020-04-20,117,137,144,173,203,209,221
