Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,4,4,5
2020-03-09,1,1,1,2,4,4,5
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,4,4,5
2020-03-12,1,1,2,3,6,6,7
2020-03-13,1,1,1,1,3,3,4
2020-03-14,1,1,1,2,4,4,5
2020-03-15,1,1,1,2,3,4,5
2020-03-16,1,2,2,4,7,7,8
2020-03-17,1,2,2,4,6,7,8
2020-03-18,2,3,3,6,9,9,10
2020-03-19,2,3,4,7,12,13,15
2020-03-20,3,4,4,9,15,16,18
2020-03-21,4,5,6,11,19,20,22
2020-03-22,6,8,9,13,18,19,21
2020-03-23,9,12,13,18,24,25,27
2020-03-24,10,11,12,17,23,24,27
2020-03-25,12,14,15,21,28,29,32
2020-03-26,15,18,19,26,33,35,38
2020-03-27,18,20,22,29,37,38,42
2020-03-28,20,22,24,31,39,41,45
2020-03-29,15,17,18,26,37,40,48
2020-03-30,13,16,17,26,41,45,52
2020-03-31,14,16,17,25,38,43,51
2020-04-01,18,21,22,30,39,41,45
2020-04-02,15,17,19,26,35,37,44
2020-04-03,15,17,18,25,34,36,43
2020-04-04,14,16,17,24,32,35,42
2020-04-05,13,15,16,23,31,33,39
2020-04-06,10,12,13,19,29,32,39
2020-04-07,11,13,14,20,27,29,33
2020-04-08,11,13,14,20,27,29,32
2020-04-09,13,17,19,29,37,39,42
2020-04-10,12,14,15,21,28,30,34
2020-04-11,12,13,14,20,28,29,33
2020-04-12,11,12,13,19,26,28,31
2020-04-13,10,12,13,18,25,26,30
2020-04-14,4,6,6,13,23,25,30
2020-04-15,5,6,6,11,17,19,24
2020-04-16,7,9,10,15,20,22,24
2020-04-17,4,5,5,9,14,15,18
2020-04-18,3,4,4,8,12,13,16
2020-04-19,2,3,3,6,10,12,14
2020-04-20,1,1,1,4,8,9,12
