Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,1,1,2,3,4,5
2020-03-13,1,1,1,1,3,3,4
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,1,3,3,4
2020-03-18,1,1,1,2,3,3,4
2020-03-19,1,1,1,2,4,4,5
2020-03-20,1,1,1,3,4,5,6
2020-03-21,1,1,1,3,5,5,6
2020-03-22,1,2,2,4,7,8,10
2020-03-23,1,1,2,4,6,7,8
2020-03-24,2,3,3,5,8,9,10
2020-03-25,3,3,4,7,10,11,12
2020-03-26,3,4,5,8,11,13,14
2020-03-27,4,6,6,10,14,15,17
2020-03-28,5,7,7,12,18,20,24
2020-03-29,6,9,10,15,21,22,24
2020-03-30,10,14,16,22,28,30,32
2020-03-31,10,11,12,17,23,25,27
2020-04-01,14,16,17,24,30,32,35
2020-04-02,14,15,17,23,30,31,35
2020-04-03,19,22,24,32,40,41,45
2020-04-04,15,17,18,25,34,37,44
2020-04-05,21,23,25,33,41,43,48
2020-04-06,21,23,25,33,42,44,49
2020-04-07,28,32,33,43,53,56,60
2020-04-08,32,38,42,53,65,68,73
2020-04-09,38,42,44,56,69,71,77
2020-04-10,37,41,43,54,67,70,78
2020-04-11,42,45,47,60,73,76,84
2020-04-12,38,42,45,57,71,76,87
2020-04-13,43,47,49,62,76,80,87
2020-04-14,35,38,40,54,75,82,95
2020-04-15,38,41,43,55,70,74,85
2020-04-16,37,40,42,54,67,71,79
2020-04-17,42,46,48,60,74,77,83
2020-04-18,42,47,49,62,75,79,85
2020-04-19,37,40,42,54,67,70,78
2020-04-20,37,41,43,54,67,70,76
