Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,1,1,1
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,0,0,0,0,0,0,0
2020-03-12,1,1,1,2,4,4,5
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,2,3,5,6,7
2020-03-15,1,1,2,3,5,5,6
2020-03-16,1,1,2,4,6,6,7
2020-03-17,1,2,2,4,7,7,8
2020-03-18,0,0,0,1,2,3,4
2020-03-19,2,2,3,5,9,10,11
2020-03-20,0,0,0,1,3,4,6
2020-03-21,2,3,3,6,8,9,11
2020-03-22,3,4,5,9,14,15,16
2020-03-23,4,5,5,9,13,13,15
2020-03-24,5,6,7,13,19,20,22
2020-03-25,4,5,6,9,14,15,17
2020-03-26,4,5,6,10,15,16,19
2020-03-27,7,8,9,14,19,20,22
2020-03-28,8,10,11,16,21,22,25
2020-03-29,9,11,12,17,23,24,27
2020-03-30,11,14,17,26,34,36,39
2020-03-31,11,12,13,19,27,29,33
2020-04-01,17,20,22,29,37,39,42
2020-04-02,18,22,24,41,54,56,61
2020-04-03,24,27,28,37,47,49,54
2020-04-04,27,30,32,41,52,55,60
2020-04-05,23,26,27,37,49,54,65
2020-04-06,19,21,23,37,59,64,73
2020-04-07,17,20,21,35,59,64,76
2020-04-08,21,24,25,34,45,49,61
2020-04-09,22,25,26,35,45,47,53
2020-04-10,24,28,29,38,48,50,55
2020-04-11,22,24,25,34,44,46,52
2020-04-12,16,18,20,28,39,44,54
2020-04-13,13,15,16,24,36,40,49
2020-04-14,17,20,21,29,37,39,43
2020-04-15,18,21,23,31,39,41,45
2020-04-16,13,15,16,23,31,33,37
2020-04-17,12,14,15,22,29,31,35
2020-04-18,6,9,10,20,31,33,38
2020-04-19,12,15,17,23,31,32,36
2020-04-20,4,5,6,11,16,18,22
