Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,3,5,6,7
2020-03-02,0,0,0,1,4,5,6
2020-03-03,1,1,1,3,5,5,6
2020-03-04,1,1,1,3,5,6,7
2020-03-05,1,1,2,4,6,6,8
2020-03-06,2,2,2,4,7,7,9
2020-03-07,1,1,1,2,4,5,6
2020-03-08,2,3,3,6,9,10,12
2020-03-09,0,0,0,2,4,5,7
2020-03-10,2,3,4,6,9,10,11
2020-03-11,4,5,5,8,12,12,14
2020-03-12,1,2,2,4,7,8,9
2020-03-13,5,5,6,9,14,15,17
2020-03-14,16,17,18,23,28,30,31
2020-03-15,23,25,26,31,37,39,41
2020-03-16,20,21,22,28,35,36,38
2020-03-17,13,15,16,23,31,34,37
2020-03-18,14,16,17,25,35,38,44
2020-03-19,21,24,25,34,46,48,52
2020-03-20,61,66,67,78,90,93,99
2020-03-21,78,82,85,98,112,115,122
2020-03-22,75,80,83,97,113,116,123
2020-03-23,73,83,87,104,122,126,133
2020-03-24,87,100,108,133,156,161,170
2020-03-25,95,106,111,145,189,200,219
2020-03-26,114,129,136,190,243,250,261
2020-03-27,139,153,162,231,307,316,335
2020-03-28,237,260,269,313,361,371,395
2020-03-29,183,200,208,298,408,424,455
2020-03-30,190,206,213,359,490,511,551
2020-03-31,255,269,278,333,424,489,570
2020-04-01,223,245,257,357,453,473,525
2020-04-02,299,316,326,379,439,455,492
2020-04-03,259,278,292,405,517,540,601
2020-04-04,335,353,363,422,489,507,548
2020-04-05,345,374,390,483,591,617,670
2020-04-06,362,398,417,525,647,672,725
2020-04-07,397,432,450,573,714,742,802
2020-04-08,314,327,342,398,467,481,510
2020-04-09,274,292,301,355,412,426,452
2020-04-10,291,345,357,465,579,579,666
2020-04-11,334,359,374,456,546,568,607
2020-04-12,327,356,370,457,550,570,612
2020-04-13,253,264,266,357,487,494,500
2020-04-14,92,101,105,131,160,167,179
2020-04-15,117,126,130,155,183,189,200
