Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,36,40,41,51,62,64,69
2020-03-02,28,31,33,43,55,58,67
2020-03-03,30,33,35,44,55,58,64
2020-03-04,36,43,47,60,72,75,80
2020-03-05,33,37,39,53,68,71,78
2020-03-06,36,40,43,56,72,75,82
2020-03-07,34,39,41,56,72,76,82
2020-03-08,57,65,68,81,95,98,106
2020-03-09,123,129,132,149,164,170,172
2020-03-10,102,107,110,128,148,152,159
2020-03-11,82,90,95,120,148,154,166
2020-03-12,101,109,114,142,172,178,190
2020-03-13,108,118,123,155,189,196,209
2020-03-14,137,137,137,194,252,252,252
2020-03-15,423,438,444,487,531,540,556
2020-03-16,503,524,533,583,637,647,670
2020-03-17,566,587,598,659,724,740,767
2020-03-18,354,383,396,480,570,589,626
2020-03-19,432,465,483,582,691,714,759
2020-03-20,495,532,551,667,790,816,875
2020-03-21,714,774,774,823,1032,1032,1032
2020-03-22,1178,1223,1249,1388,1535,1562,1624
2020-03-23,1958,2019,2057,2251,2458,2504,2579
2020-03-24,2425,2518,2570,2827,3104,3155,3255
2020-03-25,1655,1774,1837,2200,2596,2679,2854
2020-03-26,1995,2140,2213,2658,3147,3261,3496
2020-03-27,2336,2515,2603,3140,3739,3874,4206
2020-03-28,3688,4235,4363,4945,5536,5644,5972
2020-03-29,3512,3680,3777,4303,4886,5008,5269
2020-03-30,4153,4331,4423,5050,5727,5869,6153
2020-03-31,4255,4483,4583,5319,6268,6603,7344
2020-04-01,4888,5114,5223,6023,6928,7150,7840
2020-04-02,5358,5654,5820,6663,7614,7864,8408
2020-04-03,5556,5822,5958,6938,8068,8419,9326
2020-04-04,5590,5906,6051,7103,8692,9358,10289
2020-04-05,5589,5880,6026,7148,9082,9683,10847
2020-04-06,6058,6511,6778,8395,10320,10838,12045
2020-04-07,6317,6834,7069,8881,11064,11661,12797
2020-04-08,6512,7053,7349,9216,11494,12055,13270
2020-04-09,5203,5421,5563,6492,7474,7693,8580
2020-04-10,5151,5473,5606,6440,7348,7566,8007
2020-04-11,4337,4547,4661,5393,6216,6429,7458
2020-04-12,4733,5082,5270,6408,7699,7958,8579
2020-04-13,4345,4668,4857,5967,7268,7570,8208
2020-04-14,3875,4235,4405,5477,6764,7104,7781
2020-04-15,2611,2647,2737,3210,3741,3847,4091
2020-04-16,2461,2584,2656,3057,3507,3601,3800
2020-04-17,2531,2663,2732,3129,3567,3668,3869
2020-04-18,1636,1835,1958,2844,3523,3618,3809
2020-04-19,1655,1960,2042,2381,2749,2818,2976
2020-04-20,1424,1517,1561,1819,2093,2159,2304
2020-04-21,1221,1395,1446,1688,1949,2000,2114
2020-04-22,840,946,1000,1466,2048,2124,2254
2020-04-23,634,733,791,1238,1919,2015,2145
2020-04-24,519,612,668,1093,1577,1679,1955
2020-04-25,599,698,750,1116,1598,1693,1819
2020-04-26,758,846,899,1322,1627,1665,1769
2020-04-27,820,867,891,1046,1211,1247,1316
2020-04-28,876,926,950,1098,1256,1288,1363
2020-04-29,798,924,987,1175,1356,1388,1465
2020-04-30,752,854,914,1245,1467,1510,1585
