Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,1,1,1,1,3,3,4
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-23,1,1,1,2,3,3,4
2020-03-24,0,0,0,0,0,0,0
2020-03-25,1,1,2,3,5,6,7
2020-03-26,0,0,0,0,0,0,0
2020-03-27,1,1,1,1,3,3,4
2020-03-28,1,1,1,2,3,3,4
2020-03-29,1,1,1,2,4,4,5
2020-03-30,0,0,0,0,0,1,3
2020-03-31,1,2,2,4,7,7,9
2020-04-01,1,1,1,2,5,5,7
2020-04-02,2,2,2,5,8,8,10
2020-04-03,2,3,4,6,9,10,12
2020-04-04,1,1,1,3,6,8,10
2020-04-05,3,4,4,7,11,11,13
2020-04-06,4,5,5,10,16,18,21
2020-04-07,0,0,0,5,11,13,16
2020-04-08,6,7,7,12,19,20,23
2020-04-09,0,0,0,4,14,17,22
2020-04-10,7,8,9,13,19,20,23
2020-04-11,18,20,21,28,35,37,41
2020-04-12,16,18,19,26,33,35,38
2020-04-13,16,19,21,32,44,47,55
2020-04-14,20,24,27,45,59,62,67
2020-04-15,29,38,44,58,71,74,78
2020-04-16,42,46,49,67,84,89,104
2020-04-17,48,54,58,81,112,117,126
2020-04-18,49,57,60,83,108,114,126
2020-04-19,81,86,89,107,126,131,138
2020-04-20,86,86,115,141,173,173,173
