Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,1,1,1,1,1
2020-03-03,1,1,1,2,3,3,4
2020-03-04,1,1,1,3,4,5,6
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,2,2,3,6,7,8
2020-03-07,0,0,0,0,0,1,3
2020-03-08,1,2,2,5,8,8,10
2020-03-09,4,4,4,7,9,10,11
2020-03-10,7,8,8,11,14,15,17
2020-03-11,8,9,10,13,17,18,20
2020-03-12,42,43,45,51,57,58,61
2020-03-13,53,55,57,64,72,74,77
2020-03-14,18,20,21,27,34,35,38
2020-03-15,20,24,25,33,41,43,46
2020-03-16,21,25,28,42,53,55,58
2020-03-17,23,27,29,40,55,59,67
2020-03-18,26,30,32,47,68,72,79
2020-03-19,30,34,37,52,76,81,91
2020-03-20,45,53,58,82,99,103,109
2020-03-21,58,63,65,79,96,99,106
2020-03-22,67,72,75,91,109,112,120
2020-03-23,52,57,59,78,110,119,134
2020-03-24,72,85,95,125,150,155,164
2020-03-25,100,110,114,138,163,169,179
2020-03-26,118,128,133,157,185,191,202
2020-03-27,135,144,149,177,207,213,226
2020-03-28,136,145,150,180,212,220,238
2020-03-29,158,169,174,205,240,248,265
2020-03-30,161,171,175,209,247,254,281
2020-03-31,206,222,230,270,312,321,340
2020-04-01,207,220,226,266,310,320,343
2020-04-02,230,244,252,294,341,351,374
2020-04-03,278,298,307,357,411,422,446
2020-04-04,271,287,296,346,403,417,452
2020-04-05,259,276,285,338,407,435,490
2020-04-06,272,288,297,349,411,430,478
2020-04-07,312,331,340,396,457,471,499
2020-04-08,285,302,311,367,431,448,501
2020-04-09,231,251,263,368,496,519,569
2020-04-10,192,192,192,378,511,538,588
2020-04-11,156,167,172,257,466,503,581
2020-04-12,145,154,159,186,215,223,251
2020-04-13,121,128,133,156,181,188,200
2020-04-14,114,131,139,167,193,199,209
2020-04-15,99,114,121,147,172,177,189
2020-04-16,74,83,89,130,178,189,200
2020-04-17,64,74,80,141,196,202,215
2020-04-18,73,109,127,155,181,185,195
2020-04-19,105,113,117,138,160,165,175
2020-04-20,94,102,106,125,146,151,160
2020-04-21,72,82,87,125,161,168,176
2020-04-22,63,72,76,103,137,147,170
2020-04-23,56,66,71,114,152,159,167
2020-04-24,75,94,100,122,144,148,157
