Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,3,4,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,3,5,5,6
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,2,3,6,6,7
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,2,2,3,6,7,8
2020-03-20,3,3,3,5,7,8,9
2020-03-21,3,3,4,6,9,10,11
2020-03-22,5,6,7,10,13,14,16
2020-03-23,13,15,15,20,24,25,27
2020-03-24,23,24,25,31,36,38,40
2020-03-25,30,32,33,40,47,48,51
2020-03-26,15,17,18,26,35,37,40
2020-03-27,17,20,21,31,41,43,48
2020-03-28,21,24,26,37,48,51,56
2020-03-29,65,69,71,82,93,97,102
2020-03-30,34,37,38,48,59,62,67
2020-03-31,102,108,110,127,145,148,156
2020-04-01,61,68,72,96,130,137,148
2020-04-02,77,82,85,102,122,126,135
2020-04-03,87,93,97,115,136,140,149
2020-04-04,99,110,115,148,184,193,209
2020-04-05,128,144,154,207,246,253,266
2020-04-06,112,133,145,193,244,258,272
2020-04-07,119,126,130,159,189,196,209
2020-04-08,133,141,145,174,206,213,227
2020-04-09,175,187,193,228,264,273,288
2020-04-10,196,213,220,259,300,308,329
2020-04-11,144,161,171,256,336,351,381
2020-04-12,178,188,194,236,291,314,372
2020-04-13,169,180,186,222,264,274,322
2020-04-14,131,143,152,225,297,312,342
2020-04-15,183,213,235,293,346,358,378
2020-04-16,131,144,149,190,269,290,328
2020-04-17,176,208,252,322,380,388,417
2020-04-18,172,185,192,232,279,291,321
2020-04-19,209,249,264,315,366,380,401
2020-04-20,223,238,246,289,337,349,372
2020-04-21,189,209,221,290,369,387,424
2020-04-22,205,219,226,270,319,329,360
2020-04-23,196,209,215,254,297,307,327
2020-04-24,170,181,188,223,262,271,287
2020-04-25,149,158,164,196,233,244,276
2020-04-26,156,167,172,205,240,248,263
2020-04-27,125,135,140,168,199,207,226
2020-04-28,101,108,113,137,164,172,194
2020-04-29,82,96,104,161,220,228,242
2020-04-30,75,88,94,139,195,227,280
2020-05-01,68,81,88,142,252,276,296
2020-05-02,87,102,112,225,293,299,314
2020-05-03,157,177,187,252,322,332,352
2020-05-04,192,213,221,257,296,304,318
2020-05-05,192,203,209,243,279,287,303
2020-05-06,209,235,244,284,326,334,352
2020-05-07,211,227,234,272,312,321,340
2020-05-08,213,227,234,273,314,322,341
2020-05-09,188,205,216,277,352,379,423
2020-05-10,191,211,222,312,416,432,461
2020-05-11,223,238,246,291,341,353,376
2020-05-12,216,229,236,278,325,335,357
2020-05-13,232,245,252,296,343,353,376
2020-05-14,174,209,222,294,373,389,427
2020-05-15,225,265,292,369,432,444,471
2020-05-16,285,303,312,364,422,434,461
2020-05-17,192,205,212,256,302,311,332
2020-05-18,270,305,319,375,434,447,468
2020-05-19,271,308,334,429,500,515,533
2020-05-20,231,250,258,326,452,479,533
2020-05-21,176,186,199,335,482,509,565
2020-05-22,254,271,281,343,410,426,476
2020-05-23,286,341,352,413,479,494,523
2020-05-24,306,323,334,390,453,465,490
2020-05-25,244,262,271,332,436,468,534
2020-05-26,188,205,219,343,466,490,543
2020-05-27,271,338,359,428,499,515,548
2020-05-28,286,302,312,367,428,441,466
2020-05-29,348,367,379,439,505,520,549
2020-05-30,311,327,338,395,459,472,505
2020-05-31,308,326,336,393,455,468,501
2020-06-01,258,273,281,339,416,449,505
2020-06-02,201,224,240,359,465,487,539
2020-06-03,234,252,261,311,370,387,443
2020-06-04,224,239,247,293,342,354,376
2020-06-05,255,294,305,355,410,422,447
2020-06-06,230,258,277,393,477,490,518
2020-06-07,287,319,331,388,449,463,494
2020-06-08,289,339,367,458,534,544,572
2020-06-09,253,271,282,345,444,479,549
2020-06-10,306,324,335,392,455,469,501
2020-06-11,285,321,341,495,614,629,665
2020-06-12,360,434,456,534,615,632,672
2020-06-13,435,463,478,553,638,658,693
2020-06-14,350,374,387,467,592,632,710
2020-06-15,300,317,331,461,640,673,742
