Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,2,3,3,4
2020-03-03,1,1,1,2,3,3,4
2020-03-04,1,1,2,3,5,6,6
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,3,5,5,6
2020-03-07,0,0,0,0,1,1,2
2020-03-08,1,1,1,2,3,4,5
2020-03-09,1,1,1,2,3,3,4
2020-03-10,0,0,0,1,1,1,1
2020-03-11,0,0,0,0,0,0,2
2020-03-12,1,1,1,2,4,5,5
2020-03-13,1,1,1,2,3,4,5
2020-03-14,1,2,2,4,7,7,9
2020-03-15,1,2,2,5,8,9,10
2020-03-16,1,2,2,4,7,8,9
2020-03-17,2,2,3,5,8,8,10
2020-03-18,3,4,4,8,12,13,14
2020-03-19,3,5,5,9,13,13,15
2020-03-20,1,2,2,5,8,9,12
2020-03-21,5,6,7,11,16,17,20
2020-03-22,7,8,8,13,19,21,23
2020-03-23,6,8,9,18,26,28,29
2020-03-24,17,19,20,26,33,34,38
2020-03-25,21,23,24,31,39,41,44
2020-03-26,18,21,22,37,52,54,58
2020-03-27,26,29,31,40,49,52,55
2020-03-28,31,34,35,45,55,57,62
2020-03-29,39,42,44,54,66,69,73
2020-03-30,44,51,54,66,80,82,88
2020-03-31,46,52,55,81,111,115,123
2020-04-01,60,69,76,106,128,134,140
2020-04-02,90,101,105,126,148,152,162
2020-04-03,115,131,137,163,189,194,207
2020-04-04,92,102,111,164,213,223,243
2020-04-05,120,136,145,195,249,261,287
2020-04-06,112,123,123,210,288,303,331
2020-04-07,125,139,148,206,270,284,311
2020-04-08,105,111,114,150,203,217,251
2020-04-09,101,109,113,162,223,235,259
2020-04-10,98,100,106,130,162,171,183
2020-04-11,101,117,125,165,210,218,237
2020-04-12,92,99,104,153,213,224,243
2020-04-13,86,98,108,172,229,238,262
2020-04-14,84,90,94,113,136,141,157
2020-04-15,81,87,90,110,132,138,153
2020-04-16,87,93,96,115,136,140,150
2020-04-17,89,104,110,133,156,160,171
2020-04-18,85,92,96,115,136,141,150
2020-04-19,74,79,82,100,121,125,137
2020-04-20,67,73,76,92,111,116,126
2020-04-21,65,72,74,91,109,112,121
2020-04-22,62,71,75,91,110,113,121
2020-04-23,57,68,72,89,108,111,119
2020-04-24,51,61,67,97,120,124,132
2020-04-25,51,61,68,102,126,130,137
2020-04-26,58,72,81,107,128,133,141
2020-04-27,65,79,88,114,136,140,148
2020-04-28,75,90,96,117,138,142,151
2020-04-29,67,75,80,111,153,161,174
2020-04-30,75,87,96,130,155,159,169
2020-05-01,98,109,113,134,156,161,171
2020-05-02,103,109,113,134,156,161,173
2020-05-03,101,118,127,155,182,187,197
2020-05-04,116,129,135,159,186,191,201
2020-05-05,125,141,147,173,201,206,219
2020-05-06,125,134,138,163,191,197,209
2020-05-07,139,148,153,180,210,217,229
2020-05-08,143,153,158,186,216,222,237
2020-05-09,148,158,162,191,223,230,244
2020-05-10,138,148,152,181,213,222,243
2020-05-11,139,149,154,182,215,222,243
2020-05-12,142,152,157,186,219,226,243
2020-05-13,147,157,162,192,226,233,249
2020-05-14,150,161,165,195,228,235,249
2020-05-15,149,159,164,194,228,235,253
2020-05-16,152,162,167,197,230,238,254
2020-05-17,155,166,171,201,235,243,258
2020-05-18,147,156,162,193,227,234,255
2020-05-19,143,153,158,188,220,228,246
2020-05-20,135,145,150,178,211,219,239
2020-05-21,143,153,158,188,220,227,241
2020-05-22,145,154,160,189,222,229,243
2020-05-23,146,157,163,193,225,232,248
2020-05-24,146,157,162,192,224,232,247
2020-05-25,148,159,165,194,227,235,248
2020-05-26,147,158,164,194,226,233,248
2020-05-27,131,141,145,173,204,213,231
2020-05-28,118,126,130,157,187,197,220
2020-05-29,112,120,124,149,178,185,203
2020-05-30,105,113,117,141,167,173,187
2020-05-31,99,106,110,133,157,163,176
2020-06-01,92,99,103,124,147,153,164
2020-06-02,85,92,96,116,139,144,156
2020-06-03,80,87,90,109,130,134,145
2020-06-04,74,79,82,100,120,125,135
2020-06-05,73,79,83,101,120,125,133
2020-06-06,72,82,86,106,125,130,138
2020-06-07,71,79,82,100,119,124,133
2020-06-08,70,81,85,103,123,128,138
2020-06-09,73,84,88,107,128,132,141
