Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,2,3,3,6,9,10,12
2020-03-02,0,0,0,4,8,9,11
2020-03-03,1,1,1,4,7,9,11
2020-03-04,1,2,2,4,7,8,10
2020-03-05,1,2,2,4,7,8,9
2020-03-06,0,0,0,3,6,7,9
2020-03-07,0,0,0,2,6,7,9
2020-03-08,1,1,1,3,5,6,8
2020-03-09,1,1,1,2,5,6,7
2020-03-10,0,0,0,1,4,5,7
2020-03-11,1,1,1,3,5,5,7
2020-03-12,0,0,0,1,3,4,6
2020-03-13,0,0,0,1,3,4,5
2020-03-14,2,2,2,5,8,9,10
2020-03-15,0,0,0,1,3,4,5
2020-03-16,2,2,3,5,8,9,10
2020-03-17,2,3,3,6,11,12,15
2020-03-18,4,5,6,9,13,14,16
2020-03-19,6,7,8,12,17,18,20
2020-03-20,10,11,12,17,22,23,25
2020-03-21,41,44,45,52,59,61,64
2020-03-22,78,82,83,94,104,107,112
2020-03-23,73,77,79,90,102,103,108
2020-03-24,32,36,39,56,78,82,89
2020-03-25,45,54,58,75,90,93,99
2020-03-26,51,57,61,81,103,110,119
2020-03-27,61,68,72,95,122,129,147
2020-03-28,68,77,81,108,137,144,165
2020-03-29,81,87,90,109,129,134,142
2020-03-30,42,47,50,80,167,186,200
2020-03-31,142,161,172,232,274,280,291
2020-04-01,150,165,174,224,287,309,386
2020-04-02,282,299,307,354,405,413,440
2020-04-03,180,205,214,281,426,453,492
2020-04-04,331,364,379,467,562,582,620
2020-04-05,192,384,426,538,657,681,726
2020-04-06,216,220,220,432,668,695,769
2020-04-07,195,213,223,278,337,348,371
2020-04-08,225,244,255,316,380,395,424
2020-04-09,352,371,380,433,488,500,519
2020-04-10,890,940,944,1026,1109,1132,1149
2020-04-11,446,479,499,603,717,735,788
2020-04-12,518,560,583,705,834,861,917
2020-04-13,584,632,655,791,942,972,1033
2020-04-14,195,208,218,280,348,360,383
2020-04-15,347,365,375,452,531,549,585
2020-04-16,415,437,449,524,605,622,658
2020-04-17,534,575,595,722,861,893,954
2020-04-18,526,555,569,660,768,802,876
2020-04-19,457,484,499,613,821,871,947
2020-04-20,560,590,606,695,793,816,857
2020-04-21,508,550,573,714,871,905,971
2020-04-22,438,465,477,603,819,866,948
2020-04-23,361,386,402,632,874,917,998
2020-04-24,3308,3308,3308,3509,3623,3623,3623
2020-04-25,114,130,140,204,280,296,333
2020-04-26,115,132,140,206,282,299,335
2020-04-27,954,1027,1065,1277,1506,1553,1653
2020-04-28,925,971,996,1142,1310,1353,1459
2020-04-29,937,1011,1046,1264,1502,1546,1682
2020-04-30,1081,1081,1081,1261,1544,1544,1544
2020-05-01,1059,1126,1154,1308,1469,1502,1570
2020-05-02,967,1013,1037,1177,1330,1359,1420
2020-05-03,1350,1405,1437,1599,1776,1812,1895
2020-05-04,943,1011,1049,1259,1490,1541,1661
2020-05-05,895,968,1005,1224,1461,1514,1614
2020-05-06,867,939,974,1199,1445,1499,1617
2020-05-07,931,998,1040,1312,1546,1598,1764
2020-05-08,93,112,117,165,224,233,261
2020-05-09,358,382,396,470,552,569,604
2020-05-10,473,496,509,587,672,690,727
2020-05-11,425,459,477,584,704,728,777
2020-05-12,356,388,405,512,644,693,773
2020-05-13,272,300,315,412,521,544,591
2020-05-14,54,54,54,54,54,54,63
2020-05-15,358,358,358,425,438,438,438
2020-05-16,341,341,347,378,414,414,414
2020-05-17,45,50,52,67,84,87,94
2020-05-18,40,44,46,60,74,77,83
2020-05-19,40,44,46,59,73,76,82
2020-05-20,201,214,214,224,247,247,247
2020-05-21,160,166,170,187,203,208,216
2020-05-22,188,195,199,221,242,244,255
2020-05-23,69,75,79,100,123,128,139
2020-05-24,75,83,87,110,136,141,152
2020-05-25,81,89,94,119,148,154,164
2020-05-26,15,18,20,29,40,41,49
2020-05-27,290,297,298,313,340,355,355
2020-05-28,190,199,203,227,254,260,270
2020-05-29,94,101,104,128,161,171,188
2020-05-30,108,119,125,157,193,201,215
2020-05-31,123,134,140,175,212,219,235
2020-06-01,121,133,139,177,218,226,244
2020-06-02,477,507,507,611,643,643,643
2020-06-03,350,365,374,421,471,482,501
2020-06-04,43,52,55,80,109,115,127
2020-06-05,267,289,301,389,506,526,567
2020-06-06,300,325,339,422,516,539,582
2020-06-07,333,352,363,423,490,506,547
2020-06-08,264,278,291,361,559,650,738
2020-06-09,417,438,451,522,604,622,661
2020-06-10,427,451,464,538,620,640,682
2020-06-11,418,457,477,604,751,781,840
2020-06-12,481,524,548,707,894,963,1107
2020-06-13,505,533,550,653,786,845,984
2020-06-14,405,429,441,513,593,616,655
2020-06-15,500,525,539,622,713,734,775
2020-06-16,532,561,575,663,761,783,833
2020-06-17,499,531,545,639,766,813,920
2020-06-18,536,564,578,672,778,806,889
2020-06-19,552,583,597,689,794,818,884
2020-06-20,533,581,603,752,920,957,1030
2020-06-21,667,726,750,863,987,1015,1071
2020-06-22,541,598,617,805,1015,1048,1173
2020-06-23,767,808,829,957,1097,1133,1194
2020-06-24,62,80,80,117,160,166,194
2020-06-25,850,894,910,989,1071,1081,1098
2020-06-26,550,585,600,690,785,804,845
2020-06-27,563,596,614,705,805,825,864
2020-06-28,550,581,598,690,791,811,853
2020-06-29,400,428,443,600,812,846,910
2020-06-30,516,595,619,729,841,862,911
2020-07-01,432,477,500,650,820,856,922
2020-07-02,407,447,474,660,959,1010,1079
2020-07-03,397,447,475,737,1062,1105,1156
2020-07-04,671,710,732,858,989,1017,1068
2020-07-05,405,444,465,797,1086,1125,1215
2020-07-06,372,401,413,552,995,1066,1180
2020-07-07,395,447,490,856,1044,1075,1136
2020-07-08,319,347,364,495,653,690,776
2020-07-09,310,340,359,529,810,852,911
2020-07-10,472,567,614,727,856,871,907
2020-07-11,1118,1165,1189,1310,1430,1458,1511
2020-07-12,602,634,650,750,866,895,969
2020-07-13,566,598,616,748,955,994,1076
2020-07-14,710,806,847,988,1121,1151,1206
2020-07-15,661,699,718,830,954,983,1049
2020-07-16,784,837,862,989,1126,1151,1209
2020-07-17,824,877,900,1035,1179,1210,1270
2020-07-18,785,826,847,976,1119,1147,1218
2020-07-19,621,664,684,911,1216,1271,1382
2020-07-20,567,610,625,824,1173,1240,1351
2020-07-21,604,675,714,1174,1568,1600,1699
2020-07-22,749,851,887,1072,1268,1306,1387
2020-07-23,736,778,802,939,1098,1135,1211
2020-07-24,736,776,797,927,1074,1108,1184
2020-07-25,770,820,845,976,1122,1154,1227
2020-07-26,606,642,661,797,1033,1115,1234
2020-07-27,484,523,558,822,1079,1132,1256
2020-07-28,634,771,843,1022,1191,1225,1294
2020-07-29,738,781,802,930,1073,1103,1168
2020-07-30,887,931,956,1097,1255,1287,1356
2020-07-31,803,850,872,1008,1160,1196,1266
2020-08-01,748,788,810,941,1090,1123,1208
2020-08-02,676,734,773,977,1211,1264,1369
2020-08-03,693,727,754,875,1023,1066,1167
2020-08-04,741,778,799,922,1058,1086,1150
2020-08-05,726,764,786,907,1038,1067,1126
2020-08-06,627,685,719,930,1245,1338,1481
2020-08-07,645,714,759,1132,1420,1456,1528
2020-08-08,712,862,1015,1403,1643,1685,1762
