Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,1,1,2,3,6,6,7
2020-03-07,0,0,0,0,0,0,0
2020-03-08,2,3,3,5,6,7,8
2020-03-09,1,1,2,3,5,6,7
2020-03-10,1,1,1,3,5,5,6
2020-03-11,1,1,1,2,3,4,5
2020-03-12,1,2,2,4,7,7,9
2020-03-13,2,2,3,6,9,10,12
2020-03-14,3,4,4,7,10,11,13
2020-03-15,1,1,1,3,6,7,8
2020-03-16,4,5,5,9,13,14,15
2020-03-17,6,7,8,12,18,19,22
2020-03-18,0,1,2,8,15,16,19
2020-03-19,23,25,26,32,38,40,42
2020-03-20,15,17,18,23,30,31,34
2020-03-21,7,9,9,15,21,22,25
2020-03-22,16,20,21,28,36,37,40
2020-03-23,19,23,25,33,41,43,47
2020-03-24,22,25,27,34,43,45,49
2020-03-25,27,32,35,46,57,59,63
2020-03-26,28,31,33,42,52,55,60
2020-03-27,30,33,35,45,56,58,64
2020-03-28,31,34,36,46,58,62,69
2020-03-29,28,31,32,44,61,66,78
2020-03-30,35,38,40,51,63,66,73
2020-03-31,39,42,44,56,69,72,78
2020-04-01,46,51,53,66,80,83,90
2020-04-02,53,60,63,78,95,98,105
2020-04-03,57,67,74,100,120,124,133
2020-04-04,65,71,74,91,109,114,123
2020-04-05,76,82,86,104,124,129,138
2020-04-06,91,106,111,134,158,163,172
2020-04-07,99,106,109,131,156,161,172
2020-04-08,92,99,103,125,151,159,179
2020-04-09,108,116,119,143,169,174,187
2020-04-10,85,92,96,125,170,183,205
2020-04-11,110,118,122,147,174,179,193
2020-04-12,102,109,113,137,163,169,184
2020-04-13,100,108,112,135,161,167,181
2020-04-14,115,125,129,154,181,187,199
2020-04-15,116,125,130,154,181,187,199
2020-04-16,122,132,137,163,191,197,209
2020-04-17,126,136,141,167,195,201,215
2020-04-18,133,145,150,179,208,216,230
2020-04-19,99,107,111,139,181,197,227
2020-04-20,124,141,147,176,206,213,227
2020-04-21,120,129,134,160,188,195,209
2020-04-22,125,135,139,166,195,202,215
2020-04-23,116,136,150,198,235,243,257
2020-04-24,142,156,162,192,225,232,245
2020-04-25,154,170,177,210,245,252,267
2020-04-26,159,171,177,208,243,251,267
2020-04-27,167,187,194,230,267,274,290
2020-04-28,179,199,207,243,283,291,309
2020-04-29,178,189,195,229,268,276,291
2020-04-30,194,211,218,256,297,306,322
2020-05-01,186,212,231,303,357,367,387
2020-05-02,225,241,249,292,340,349,370
2020-05-03,220,234,241,283,328,340,363
2020-05-04,251,273,282,329,379,388,412
2020-05-05,269,299,310,362,416,427,452
2020-05-06,290,313,323,375,431,445,469
2020-05-07,306,325,334,389,449,462,488
2020-05-08,334,376,391,456,524,538,569
2020-05-09,370,396,408,473,542,557,590
2020-05-10,362,381,393,458,528,544,583
2020-05-11,319,337,347,415,525,564,629
2020-05-12,309,328,338,402,489,525,597
2020-05-13,300,317,326,383,454,480,545
2020-05-14,320,339,349,408,471,485,518
2020-05-15,319,339,349,405,468,482,512
2020-05-16,343,380,393,458,529,543,573
2020-05-17,358,397,411,478,551,566,599
2020-05-18,383,418,432,503,576,591,631
2020-05-19,362,404,431,589,699,715,758
2020-05-20,418,488,532,654,752,769,806
2020-05-21,521,590,612,708,807,828,867
2020-05-22,594,630,650,746,849,869,918
2020-05-23,594,627,644,741,845,868,918
2020-05-24,618,650,667,770,880,905,952
2020-05-25,601,633,650,753,864,890,959
2020-05-26,645,682,699,806,926,950,1011
2020-05-27,705,749,771,886,1009,1039,1094
2020-05-28,728,846,883,1028,1176,1206,1265
2020-05-29,814,928,986,1162,1327,1363,1425
2020-05-30,979,1071,1105,1271,1451,1486,1556
2020-05-31,1103,1205,1244,1433,1632,1670,1752
2020-06-01,1151,1210,1242,1425,1629,1676,1774
2020-06-02,1040,1098,1129,1324,1579,1683,1895
2020-06-03,1000,1049,1082,1290,1633,1738,1967
2020-06-04,1016,1073,1100,1279,1498,1572,1788
2020-06-05,1106,1164,1194,1377,1580,1624,1718
2020-06-06,1177,1247,1281,1474,1683,1732,1830
2020-06-07,1181,1249,1283,1477,1690,1738,1839
2020-06-08,1142,1200,1232,1426,1635,1684,1794
2020-06-09,1155,1217,1243,1429,1636,1679,1787
2020-06-10,1178,1243,1276,1466,1678,1720,1818
2020-06-11,1173,1234,1267,1457,1665,1708,1801
