Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,27,30,31,39,48,50,54
2020-03-02,25,28,30,38,47,49,53
2020-03-03,29,32,33,42,51,53,57
2020-03-04,28,34,37,47,57,59,64
2020-03-05,26,29,30,39,48,50,54
2020-03-06,26,30,32,44,58,61,66
2020-03-07,26,29,31,44,59,64,76
2020-03-08,28,32,34,47,62,65,71
2020-03-09,155,160,160,175,194,194,194
2020-03-10,212,220,223,245,268,273,282
2020-03-11,233,241,247,272,300,306,317
2020-03-12,105,117,122,153,188,195,210
2020-03-13,166,178,184,221,261,269,287
2020-03-14,168,181,188,231,279,288,309
2020-03-15,573,589,599,681,731,731,741
2020-03-16,832,860,874,952,1032,1051,1085
2020-03-17,890,922,936,1030,1129,1149,1192
2020-03-18,593,639,662,793,936,964,1028
2020-03-19,737,790,819,983,1159,1195,1266
2020-03-20,848,914,946,1146,1357,1403,1491
2020-03-21,2421,2502,2555,2800,3156,3195,3256
2020-03-22,2251,2343,2390,2668,2965,3028,3152
2020-03-23,2270,2343,2465,2770,3279,3313,3484
2020-03-24,2597,2802,2924,3714,4359,4460,4660
2020-03-25,3034,3249,3361,4033,4752,4904,5255
2020-03-26,5374,5560,5738,6449,7171,7320,7689
2020-03-27,6000,6259,6402,7215,8088,8270,8641
2020-03-28,6415,6723,6885,7793,8806,9045,9442
2020-03-29,6571,6925,7111,8394,10421,10978,11919
2020-03-30,7428,7842,8089,9568,11946,12651,13770
2020-03-31,7964,8345,8641,11024,14408,15057,16405
2020-04-01,8304,8914,9226,12720,16640,17417,18928
2020-04-02,8812,9552,10083,14703,19271,20248,22079
2020-04-03,10760,11718,12223,16105,20595,21500,23529
2020-04-04,11681,12557,13048,16603,21064,22236,24283
2020-04-05,12269,13085,13582,16668,20279,21025,22583
2020-04-06,12204,13322,13826,16790,19704,20260,21037
2020-04-07,7428,7838,8091,9547,11160,11425,12144
2020-04-08,8138,8585,8851,10322,11954,12326,12981
2020-04-09,7087,7502,7702,9081,10528,10896,11489
2020-04-10,11650,12470,12911,15463,18222,18794,19953
2020-04-11,11470,12329,12785,15413,18256,18872,20078
2020-04-12,11237,12102,12612,15421,18604,19256,20548
2020-04-13,5035,5218,5218,6477,7670,7829,8350
2020-04-14,3862,4112,4239,5043,5942,6115,6552
2020-04-15,5378,5646,5793,6642,7554,7756,8162
2020-04-16,5974,6287,6430,7267,8162,8370,8759
2020-04-17,4879,5131,5245,5950,6711,6869,7206
2020-04-18,3456,3740,3906,4797,5790,6019,6380
2020-04-19,2624,2873,3016,3939,5281,5698,6216
2020-04-20,1416,1507,1565,2321,3515,3732,4191
2020-04-21,2870,3002,3061,3572,4013,4200,4674
2020-04-22,3064,3201,3267,3681,4122,4214,4395
2020-04-23,3088,3212,3280,3675,4098,4182,4393
2020-04-24,1767,1918,1995,2459,2955,3059,3282
2020-04-25,1616,1831,1982,2523,2939,3003,3159
2020-04-26,1447,1528,1569,1816,2087,2145,2269
2020-04-27,1429,1502,1542,1771,2025,2085,2192
2020-04-28,1079,1143,1173,1367,1580,1637,1760
2020-04-29,828,915,970,1361,1903,1986,2190
2020-04-30,502,552,570,998,1463,1553,1758
2020-05-01,566,680,744,1341,1805,1849,1914
2020-05-02,1069,1134,1167,1358,1565,1606,1684
2020-05-03,777,817,841,989,1152,1185,1258
2020-05-04,531,564,586,897,1269,1332,1455
2020-05-05,596,719,829,1169,1390,1427,1498
2020-05-06,802,852,877,1019,1172,1206,1274
2020-05-07,871,915,938,1079,1237,1269,1342
2020-05-08,772,873,944,1218,1415,1456,1531
2020-05-09,649,688,711,879,1177,1255,1405
2020-05-10,646,682,704,825,969,1006,1135
2020-05-11,650,713,747,952,1165,1227,1354
2020-05-12,543,573,592,728,982,1044,1179
2020-05-13,549,582,599,698,809,837,902
2020-05-14,642,676,693,799,915,942,991
2020-05-15,540,568,582,676,781,807,861
2020-05-16,456,480,494,583,692,732,832
2020-05-17,402,444,466,605,759,797,866
2020-05-18,423,481,515,740,898,924,988
2020-05-19,369,394,407,488,589,619,705
2020-05-20,407,431,444,520,606,624,661
2020-05-21,387,407,419,490,569,587,624
2020-05-22,347,377,395,510,641,671,732
2020-05-23,369,393,405,474,552,570,609
2020-05-24,379,402,413,479,552,568,601
2020-05-25,47,47,56,81,84,84,102
2020-05-26,154,166,173,213,260,271,298
2020-05-27,112,123,129,165,207,218,253
2020-05-28,118,130,136,189,284,293,311
2020-05-29,384,400,404,450,487,500,506
2020-05-30,385,401,410,458,511,523,542
2020-05-31,226,239,245,285,328,336,355
2020-06-01,205,238,252,319,386,399,426
2020-06-02,245,260,267,309,355,365,387
2020-06-03,289,307,315,362,412,422,447
2020-06-04,269,283,290,336,386,396,416
2020-06-05,259,275,283,329,380,392,416
2020-06-06,266,283,291,338,391,402,425
2020-06-07,220,234,240,291,365,391,440
2020-06-08,183,199,211,312,406,424,462
2020-06-09,210,221,231,276,329,345,397
2020-06-10,239,256,263,309,360,370,393
2020-06-11,246,309,323,379,439,450,470
2020-06-12,259,295,319,427,504,519,545
2020-06-13,311,332,342,399,462,476,505
2020-06-14,278,296,304,360,426,447,505
2020-06-15,213,253,293,404,511,534,576
2020-06-16,212,221,233,366,516,545,604
2020-06-17,259,290,302,368,440,458,507
2020-06-18,273,420,444,520,603,617,655
2020-06-19,248,273,284,352,425,439,477
2020-06-20,284,303,313,380,453,470,512
2020-06-21,269,286,296,354,423,439,491
2020-06-22,212,225,232,293,410,447,508
2020-06-23,210,224,231,275,327,344,407
2020-06-24,242,262,271,319,370,382,407
2020-06-25,242,284,302,360,419,431,456
2020-06-26,271,313,327,387,449,462,491
2020-06-27,267,300,323,457,553,566,582
2020-06-28,260,275,283,347,439,478,554
2020-06-29,183,199,211,317,497,527,585
2020-06-30,235,249,257,306,365,385,461
2020-07-01,235,277,295,361,431,445,479
2020-07-02,263,319,344,414,487,501,529
2020-07-03,324,354,365,429,498,514,545
2020-07-04,272,302,319,418,527,556,610
2020-07-05,267,299,316,421,540,569,627
2020-07-06,290,325,344,461,593,624,683
2020-07-07,285,302,312,371,436,452,477
2020-07-08,305,323,333,390,454,468,496
2020-07-09,392,413,424,490,563,578,610
2020-07-10,311,342,360,471,640,685,755
2020-07-11,294,327,345,459,596,630,703
2020-07-12,279,316,335,460,604,644,731
2020-07-13,454,499,521,683,942,942,973
2020-07-14,533,565,579,675,782,806,851
2020-07-15,660,696,714,824,945,970,1028
2020-07-16,938,978,1004,1146,1304,1334,1379
2020-07-17,866,972,1050,1259,1470,1515,1593
2020-07-18,852,929,975,1262,1619,1710,1894
2020-07-19,893,997,1046,1372,1776,1895,2143
2020-07-20,1068,1178,1239,1641,2188,2329,2593
2020-07-21,1147,1215,1250,1457,1689,1733,1849
