Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,1,3,3,4
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,1,1,3,3,4
2020-03-06,1,1,2,3,5,5,6
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,2,4,4,5
2020-03-12,0,0,0,0,0,0,0
2020-03-13,3,4,4,6,8,8,9
2020-03-14,3,3,3,5,7,8,9
2020-03-15,4,4,5,7,10,10,12
2020-03-16,10,11,11,15,19,19,21
2020-03-17,7,8,9,12,16,17,19
2020-03-18,12,14,15,19,24,25,27
2020-03-19,5,6,7,11,15,16,19
2020-03-20,8,9,10,15,20,21,23
2020-03-21,10,12,14,19,25,26,29
2020-03-22,11,13,14,19,25,27,29
2020-03-23,14,16,17,23,30,32,35
2020-03-24,11,13,14,20,27,29,32
2020-03-25,17,21,23,30,38,40,43
2020-03-26,19,22,24,34,45,47,52
2020-03-27,23,26,27,36,45,46,50
2020-03-28,36,42,44,55,66,69,73
2020-03-29,27,30,31,40,51,53,57
2020-03-30,28,31,33,43,55,58,68
2020-03-31,26,29,30,42,60,66,76
2020-04-01,27,30,32,43,56,61,72
2020-04-02,34,43,49,66,82,85,91
2020-04-03,43,52,58,85,105,109,118
2020-04-04,56,62,65,80,97,101,110
2020-04-05,48,52,55,71,94,105,122
2020-04-06,51,59,62,88,118,125,140
2020-04-07,42,48,50,86,124,133,151
2020-04-08,36,42,44,86,129,138,157
2020-04-09,29,31,31,42,59,66,66
2020-04-10,32,36,38,49,62,64,70
2020-04-11,31,34,35,46,58,60,66
2020-04-12,22,29,32,47,64,68,75
2020-04-13,20,23,25,36,54,59,68
2020-04-14,28,31,33,41,51,54,58
2020-04-15,21,23,25,32,41,43,47
2020-04-16,23,25,27,35,44,46,50
2020-04-17,17,20,21,29,37,39,44
2020-04-18,18,22,25,40,51,53,57
2020-04-19,12,14,15,22,33,37,44
2020-04-20,5,7,7,17,33,36,42
