Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,1,1,1,1,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,2,4,4,5
2020-03-05,1,1,1,3,5,5,6
2020-03-06,1,1,1,1,3,3,4
2020-03-07,1,2,2,4,6,6,7
2020-03-08,1,2,2,4,6,7,8
2020-03-09,2,2,2,5,7,8,9
2020-03-10,2,3,3,6,10,11,14
2020-03-11,4,5,6,9,12,13,15
2020-03-12,6,7,7,11,15,16,19
2020-03-13,6,7,8,12,17,18,20
2020-03-14,11,13,13,18,23,24,26
2020-03-15,13,14,15,20,26,27,29
2020-03-16,22,24,25,32,38,40,43
2020-03-17,12,14,15,24,36,38,43
2020-03-18,14,17,19,32,42,44,48
2020-03-19,17,20,21,32,43,46,52
2020-03-20,22,25,27,39,52,56,63
2020-03-21,25,29,32,49,70,73,79
2020-03-22,51,56,58,70,83,86,89
2020-03-23,53,57,59,72,86,89,95
2020-03-24,60,64,67,81,97,100,107
2020-03-25,69,76,79,95,112,116,125
2020-03-26,77,84,87,104,124,128,137
2020-03-27,87,93,96,116,137,141,150
2020-03-28,82,88,91,112,137,146,166
2020-03-29,73,80,83,117,166,176,194
2020-03-30,69,75,79,124,181,192,214
2020-03-31,97,105,109,133,162,169,186
2020-04-01,97,105,109,132,158,164,175
2020-04-02,111,120,124,149,176,182,195
2020-04-03,120,130,134,161,189,196,210
2020-04-04,139,153,158,188,220,226,239
2020-04-05,99,119,134,185,239,250,273
2020-04-06,107,118,121,159,225,240,273
2020-04-07,151,164,170,202,239,247,262
2020-04-08,154,164,170,202,237,245,259
2020-04-09,123,131,135,167,212,227,264
2020-04-10,129,137,142,170,203,211,231
2020-04-11,96,117,129,176,227,239,262
2020-04-12,82,88,97,166,224,237,266
2020-04-13,69,75,79,125,207,220,249
2020-04-14,82,90,94,117,145,151,165
2020-04-15,70,90,110,155,188,194,206
2020-04-16,95,105,109,133,159,164,176
2020-04-17,90,98,102,124,148,153,166
2020-04-18,89,98,102,123,146,151,163
2020-04-19,51,57,60,92,137,145,165
2020-04-20,52,57,59,75,95,101,124
2020-04-21,42,50,55,101,141,147,158
2020-04-22,54,79,85,106,129,133,144
2020-04-23,74,89,94,114,137,141,150
2020-04-24,79,87,91,111,132,137,146
2020-04-25,70,75,79,96,115,120,131
2020-04-26,59,65,67,83,102,107,118
2020-04-27,55,60,63,78,94,98,109
2020-04-28,50,60,67,98,122,126,134
2020-04-29,52,62,69,107,134,139,146
2020-04-30,70,80,84,102,122,126,135
2020-05-01,65,71,73,90,109,113,123
2020-05-02,43,48,50,72,109,117,133
2020-05-03,45,49,51,66,83,88,106
2020-05-04,44,48,51,64,79,82,90
2020-05-05,37,43,46,74,115,120,132
2020-05-06,40,48,53,98,132,139,148
2020-05-07,59,72,76,95,116,121,131
2020-05-08,74,82,86,105,126,130,140
2020-05-09,64,69,72,90,109,115,129
2020-05-10,46,50,52,81,121,128,146
2020-05-11,36,47,54,86,122,128,144
2020-05-12,62,70,73,91,111,116,127
2020-05-13,52,57,59,74,91,95,104
2020-05-14,57,62,64,79,97,100,108
2020-05-15,41,45,48,63,84,93,108
2020-05-16,42,46,48,61,76,80,90
2020-05-17,25,30,31,54,81,87,97
2020-05-18,23,26,28,41,65,72,85
2020-05-19,29,32,34,45,57,60,66
2020-05-20,26,30,31,41,52,55,60
2020-05-21,26,30,32,42,52,55,60
2020-05-22,16,19,20,29,40,45,54
2020-05-23,20,22,24,32,41,43,48
2020-05-24,13,15,15,23,31,34,42
2020-05-25,12,14,15,22,29,31,36
2020-05-26,12,15,17,31,43,45,49
2020-05-27,16,20,22,29,38,40,44
2020-05-28,8,10,11,18,28,31,38
2020-05-29,15,18,19,26,34,36,40
2020-05-30,12,14,15,22,29,31,34
2020-05-31,7,8,9,15,23,26,32
2020-06-01,7,9,9,15,21,23,27
2020-06-02,9,10,11,17,23,24,27
2020-06-03,8,9,10,15,21,22,25
2020-06-04,9,12,13,20,27,28,31
2020-06-05,7,8,9,14,20,21,24
2020-06-06,7,8,9,14,19,21,24
2020-06-07,7,8,9,14,19,20,23
2020-06-08,3,3,4,9,16,19,23
2020-06-09,5,6,7,11,16,17,20
2020-06-10,4,5,6,9,14,15,18
2020-06-11,3,4,5,8,13,14,16
2020-06-12,4,5,6,9,14,15,17
2020-06-13,5,6,7,11,16,17,19
2020-06-14,1,2,2,6,11,13,17
2020-06-15,2,3,3,6,10,11,14
2020-06-16,4,6,7,12,16,17,20
2020-06-17,4,4,5,8,12,13,15
2020-06-18,2,3,3,6,10,11,14
2020-06-19,3,4,5,8,12,13,15
2020-06-20,0,0,0,4,11,12,15
2020-06-21,1,1,2,4,8,9,12
2020-06-22,3,5,6,9,14,15,17
2020-06-23,2,3,3,6,9,10,12
2020-06-24,2,3,3,6,9,10,12
2020-06-25,4,5,6,11,16,17,19
2020-06-26,4,6,7,11,16,17,19
2020-06-27,2,2,3,6,11,12,16
2020-06-28,1,2,2,5,10,12,15
2020-06-29,3,4,4,7,11,12,14
2020-06-30,4,6,7,12,17,18,20
2020-07-01,4,5,6,10,14,15,18
2020-07-02,1,2,2,6,13,14,18
2020-07-03,3,4,5,8,12,13,16
2020-07-04,3,4,4,7,11,12,15
2020-07-05,1,2,2,5,10,11,14
2020-07-06,1,2,2,5,9,10,13
2020-07-07,3,4,4,8,11,12,14
2020-07-08,1,2,2,5,8,9,11
2020-07-09,3,4,5,8,12,12,14
2020-07-10,3,4,4,8,11,12,14
2020-07-11,2,3,4,7,10,11,13
2020-07-12,0,0,0,4,10,11,14
2020-07-13,2,2,2,5,9,9,12
2020-07-14,2,3,3,6,10,10,12
2020-07-15,2,2,3,6,9,10,12
2020-07-16,2,2,3,6,9,10,12
2020-07-17,3,4,4,8,11,12,14
2020-07-18,2,3,3,6,10,11,13
2020-07-19,3,3,4,7,11,12,13
2020-07-20,2,3,3,6,10,10,12
2020-07-21,4,5,6,9,14,14,17
2020-07-22,3,4,5,8,12,13,15
2020-07-23,4,5,6,10,14,15,17
2020-07-24,2,2,3,6,11,12,16
2020-07-25,4,5,6,9,14,14,17
2020-07-26,2,3,3,6,10,11,14
2020-07-27,3,4,5,8,12,13,15
2020-07-28,5,6,7,10,15,16,18
2020-07-29,4,5,6,9,14,15,17
2020-07-30,5,6,7,11,16,17,19
2020-07-31,4,5,5,9,14,15,17
2020-08-01,6,8,9,14,20,21,23
2020-08-02,7,8,9,14,19,20,23
2020-08-03,5,7,7,12,17,18,21
2020-08-04,7,9,11,21,30,32,36
2020-08-05,10,13,14,20,27,28,31
2020-08-06,14,17,18,25,33,34,38
2020-08-07,14,16,17,23,31,32,36
2020-08-08,12,13,14,21,29,31,37
2020-08-09,7,9,10,19,32,35,42
2020-08-10,16,20,22,30,40,41,45
2020-08-11,11,13,14,20,28,31,36
2020-08-12,16,19,20,27,36,37,41
2020-08-13,17,19,20,27,36,37,41
2020-08-14,14,16,17,24,32,34,40
2020-08-15,17,19,20,28,36,38,42
2020-08-16,11,12,13,21,32,35,43
