Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.94,0.95,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.07,1.09,1.12
2020-03-07,0.85,0.89,0.9,1,1.09,1.11,1.15
2020-03-08,0.83,0.86,0.89,1,1.11,1.13,1.18
2020-03-09,0.79,0.84,0.87,1,1.13,1.15,1.2
2020-03-10,0.76,0.82,0.85,1,1.15,1.17,1.23
2020-03-11,0.73,0.8,0.83,1,1.16,1.2,1.26
2020-03-12,0.7,0.77,0.81,1,1.18,1.22,1.29
2020-03-13,0.67,0.75,0.79,1,1.2,1.24,1.32
2020-03-14,0.64,0.73,0.77,1,1.22,1.26,1.35
2020-03-15,0.61,0.7,0.75,1,1.24,1.28,1.38
2020-03-16,0.58,0.68,0.74,1,1.26,1.31,1.41
2020-03-17,0.55,0.66,0.72,1,1.27,1.33,1.44
2020-03-18,0.51,0.64,0.7,1,1.29,1.35,1.47
2020-03-19,0.49,0.61,0.67,0.99,1.31,1.36,1.51
2020-03-20,0.46,0.59,0.66,0.99,1.32,1.38,1.53
2020-03-21,0.54,0.72,0.81,1.25,1.34,1.34,1.43
2020-03-22,0.55,0.71,0.81,1.27,1.36,1.37,1.47
2020-03-23,0.53,0.71,0.8,1.28,1.38,1.39,1.45
2020-03-24,0.53,0.71,0.8,1.29,1.41,1.41,1.49
2020-03-25,0.52,0.69,0.79,1.29,1.43,1.44,1.54
2020-03-26,0.5,0.66,0.74,1.28,1.45,1.47,1.56
2020-03-27,0.48,0.63,0.71,1.26,1.47,1.49,1.58
2020-03-28,0.45,0.6,0.69,1.26,1.49,1.51,1.6
2020-03-29,0.41,0.59,0.67,1.25,1.5,1.53,1.61
2020-03-30,0.4,0.57,0.66,1.25,1.52,1.55,1.63
2020-03-31,0.38,0.56,0.66,1.24,1.53,1.57,1.65
2020-04-01,0.36,0.55,0.65,1.24,1.55,1.58,1.68
2020-04-02,0.35,0.55,0.66,1.24,1.56,1.6,1.7
2020-04-03,0.34,0.54,0.65,1.23,1.57,1.61,1.71
2020-04-04,0.34,0.53,0.65,1.22,1.58,1.62,1.72
2020-04-05,0.32,0.52,0.64,1.21,1.58,1.64,1.74
2020-04-06,0.31,0.52,0.64,1.21,1.58,1.65,1.76
2020-04-07,0.32,0.54,0.65,1.2,1.59,1.65,1.77
2020-04-08,0.31,0.52,0.63,1.17,1.57,1.63,1.77
2020-04-09,0.3,0.51,0.62,1.15,1.56,1.62,1.77
2020-04-10,0.32,0.52,0.64,1.15,1.59,1.63,1.76
2020-04-11,0.32,0.51,0.64,1.13,1.6,1.63,1.75
2020-04-12,0.3,0.52,0.63,1.11,1.56,1.63,1.74
2020-04-13,0.3,0.52,0.62,1.1,1.53,1.62,1.74
2020-04-14,0.3,0.52,0.61,1.08,1.52,1.61,1.75
2020-04-15,0.28,0.52,0.6,1.07,1.51,1.6,1.75
2020-04-16,0.27,0.5,0.6,1.06,1.51,1.59,1.76
2020-04-17,0.27,0.49,0.58,1.05,1.5,1.58,1.75
2020-04-18,0.25,0.48,0.57,1.04,1.5,1.57,1.76
2020-04-19,0.24,0.46,0.55,1.03,1.49,1.57,1.76
2020-04-20,0.25,0.44,0.54,1.02,1.49,1.57,1.76
2020-04-21,0.23,0.43,0.53,1,1.48,1.57,1.76
2020-04-22,0.23,0.41,0.51,0.99,1.47,1.57,1.76
2020-04-23,0.22,0.4,0.49,0.98,1.47,1.57,1.75
2020-04-24,0.21,0.38,0.47,0.97,1.47,1.56,1.76
2020-04-25,0.2,0.37,0.46,0.96,1.47,1.57,1.75
2020-04-26,0.18,0.35,0.45,0.95,1.47,1.57,1.76
2020-04-27,0.16,0.34,0.43,0.94,1.46,1.57,1.77
2020-04-28,0.15,0.33,0.41,0.93,1.46,1.57,1.76
2020-04-29,0.14,0.31,0.4,0.93,1.46,1.57,1.76
2020-04-30,0.12,0.3,0.39,0.92,1.46,1.57,1.75
2020-05-01,0.12,0.29,0.38,0.91,1.46,1.57,1.78
2020-05-02,0.12,0.27,0.37,0.9,1.47,1.57,1.78
2020-05-03,0.11,0.26,0.36,0.9,1.46,1.57,1.77
2020-05-04,0.12,0.25,0.34,0.89,1.46,1.57,1.76
2020-05-05,0.11,0.24,0.33,0.88,1.46,1.57,1.76
2020-05-06,0.11,0.23,0.32,0.88,1.46,1.57,1.78
2020-05-07,0.11,0.23,0.32,0.88,1.47,1.57,1.78
2020-05-08,0.11,0.23,0.31,0.87,1.46,1.58,1.78
2020-05-09,0.11,0.22,0.31,0.87,1.46,1.57,1.79
2020-05-10,0.11,0.22,0.3,0.87,1.46,1.58,1.8
2020-05-11,0.11,0.22,0.3,0.86,1.47,1.58,1.81
2020-05-12,0.11,0.22,0.3,0.86,1.46,1.58,1.82
2020-05-13,0.11,0.22,0.3,0.86,1.46,1.58,1.8
2020-05-14,0.11,0.21,0.3,0.86,1.46,1.58,1.81
2020-05-15,0.11,0.22,0.3,0.86,1.46,1.58,1.81
2020-05-16,0.12,0.21,0.3,0.86,1.46,1.59,1.82
2020-05-17,0.11,0.22,0.3,0.87,1.46,1.59,1.84
2020-05-18,0.12,0.21,0.3,0.87,1.47,1.59,1.83
2020-05-19,0.12,0.22,0.3,0.87,1.47,1.6,1.84
2020-05-20,0.13,0.22,0.31,0.88,1.48,1.61,1.83
2020-05-21,0.12,0.23,0.31,0.88,1.48,1.61,1.83
2020-05-22,0.12,0.23,0.32,0.88,1.48,1.61,1.84
2020-05-23,0.12,0.23,0.32,0.89,1.49,1.62,1.85
2020-05-24,0.13,0.24,0.32,0.89,1.5,1.62,1.85
2020-05-25,0.13,0.24,0.32,0.9,1.49,1.62,1.86
2020-05-26,0.13,0.24,0.32,0.9,1.5,1.63,1.86
2020-05-27,0.13,0.25,0.33,0.91,1.5,1.63,1.86
2020-05-28,0.13,0.24,0.34,0.91,1.51,1.63,1.87
2020-05-29,0.12,0.25,0.34,0.92,1.52,1.63,1.89
2020-05-30,0.12,0.26,0.35,0.93,1.53,1.64,1.87
2020-05-31,0.13,0.26,0.36,0.93,1.54,1.64,1.9
2020-06-01,0.56,0.69,0.69,0.7,0.69,0.78,1.34
