Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,20,22,23,30,38,40,43
2020-03-02,18,21,23,36,50,52,56
2020-03-03,16,18,19,26,34,36,41
2020-03-04,18,22,23,34,49,52,57
2020-03-05,21,24,26,36,47,49,54
2020-03-06,23,26,28,38,49,52,57
2020-03-07,30,33,34,45,58,61,68
2020-03-08,76,82,84,96,110,111,116
2020-03-09,113,118,121,135,151,154,161
2020-03-10,146,153,156,174,194,198,204
2020-03-11,68,75,78,100,123,128,138
2020-03-12,66,75,79,104,130,137,149
2020-03-13,100,108,113,140,169,175,188
2020-03-14,323,336,339,369,460,463,463
2020-03-15,63,70,74,93,115,120,131
2020-03-16,681,693,693,737,773,786,786
2020-03-17,257,277,287,348,412,425,454
2020-03-18,308,331,345,416,494,510,542
2020-03-19,358,384,398,480,569,588,625
2020-03-20,876,913,922,1015,1117,1139,1190
2020-03-21,972,1010,1030,1137,1252,1273,1324
2020-03-22,1289,1334,1357,1502,1646,1682,1751
2020-03-23,932,998,1035,1239,1454,1498,1596
2020-03-24,1096,1176,1221,1531,1919,1975,2080
2020-03-25,1243,1336,1384,1694,2066,2210,2444
2020-03-26,2449,2562,2624,2920,3215,3265,3539
2020-03-27,2295,2539,2698,3207,3645,3739,3906
2020-03-28,2754,3057,3239,3939,4490,4600,4809
2020-03-29,2658,2816,2902,3810,4861,5044,5405
2020-03-30,3641,3845,3933,4522,5176,5321,5633
2020-03-31,4451,5136,5562,6629,7554,7753,8132
2020-04-01,4455,4707,4838,5622,6515,6798,7376
2020-04-02,5340,5756,5989,7426,9012,9348,10065
2020-04-03,5201,5550,5730,7648,10142,10569,11468
2020-04-04,6668,7226,7557,9656,12048,12545,13535
2020-04-05,2136,2136,2157,2451,2693,2742,3034
2020-04-06,3550,3779,3883,4541,5251,5398,5718
2020-04-07,266,313,338,559,839,906,1043
2020-04-08,4585,5009,5341,6672,7901,8146,8637
2020-04-09,4442,4879,5161,6546,7796,8041,8542
2020-04-10,4971,5296,5503,6686,8002,8295,8786
2020-04-11,4692,5063,5261,6340,7567,7862,8484
2020-04-12,4921,5271,5436,6549,7734,8055,8426
2020-04-13,3338,3471,3544,4101,4744,4883,5140
2020-04-14,9092,9646,9800,11131,12021,12021,12021
2020-04-15,3602,3752,3859,4523,5244,5388,5688
2020-04-16,4498,4864,5075,6272,7559,7818,8381
2020-04-17,4055,4456,4661,5905,7261,7556,8148
2020-04-18,3434,3625,3725,4539,6075,6512,7333
2020-04-19,6366,6366,6366,6559,6701,6701,6701
2020-04-20,3024,3182,3266,3801,4396,4512,4771
2020-04-21,2984,3141,3225,3712,4264,4371,4598
2020-04-22,2208,2335,2418,2800,3221,3333,3493
2020-04-23,2554,2749,2855,3473,4157,4306,4576
2020-04-24,2289,2418,2480,2837,3229,3315,3497
2020-04-25,1474,1560,1599,1853,2139,2198,2327
2020-04-26,621,653,685,777,920,958,1023
2020-04-27,366,404,426,641,892,946,1084
2020-04-28,302,327,338,485,790,881,938
2020-04-29,223,242,252,321,428,486,563
2020-04-30,561,620,642,687,726,751,751
2020-05-01,378,397,406,461,519,531,555
2020-05-02,494,515,527,596,669,686,718
2020-05-03,318,338,347,406,476,493,543
2020-05-04,369,423,441,514,589,604,638
2020-05-05,335,369,386,487,595,619,668
2020-05-06,381,420,437,542,652,684,727
2020-05-07,380,424,456,615,724,747,787
2020-05-08,431,455,469,544,625,643,678
2020-05-09,431,456,467,543,626,644,680
2020-05-10,340,422,448,570,703,732,800
2020-05-11,305,336,353,530,709,742,805
2020-05-12,443,551,586,691,800,823,875
2020-05-13,442,476,488,569,659,678,721
2020-05-14,511,542,558,644,741,761,805
2020-05-15,452,477,491,577,683,715,804
2020-05-16,380,419,431,548,745,786,863
2020-05-17,416,457,480,620,789,832,916
