Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.97,0.97,1,1.03,1.04,1.05
2020-03-04,0.94,0.95,0.96,1.01,1.05,1.06,1.08
2020-03-05,0.92,0.95,0.96,1.02,1.08,1.09,1.11
2020-03-06,0.91,0.94,0.96,1.03,1.11,1.12,1.14
2020-03-07,0.91,0.95,0.97,1.05,1.14,1.16,1.18
2020-03-08,0.92,0.96,0.98,1.08,1.18,1.19,1.23
2020-03-09,0.94,0.98,1.01,1.12,1.23,1.24,1.28
2020-03-10,0.95,1,1.03,1.16,1.27,1.3,1.33
2020-03-11,1,1.05,1.08,1.21,1.34,1.37,1.39
2020-03-12,1.31,1.34,1.39,1.44,1.46,1.47,1.47
2020-03-13,1.46,1.47,1.48,1.5,1.53,1.54,1.54
2020-03-14,1.51,1.53,1.54,1.58,1.61,1.62,1.62
2020-03-15,1.55,1.57,1.58,1.63,1.68,1.69,1.7
2020-03-16,1.58,1.61,1.62,1.69,1.75,1.76,1.78
2020-03-17,1.61,1.64,1.66,1.74,1.82,1.83,1.85
2020-03-18,1.81,1.81,1.81,1.81,1.81,1.81,1.81
2020-03-19,1.84,1.84,1.84,1.85,1.86,1.86,1.86
2020-03-20,1.86,1.87,1.87,1.89,1.91,1.92,1.92
2020-03-21,1.89,1.9,1.91,1.94,1.97,1.97,1.98
2020-03-22,1.9,1.92,1.93,1.97,2.02,2.03,2.04
2020-03-23,1.91,1.94,1.95,2,2.06,2.08,2.1
2020-03-24,1.92,1.94,1.96,2.03,2.11,2.12,2.15
2020-03-25,1.94,1.98,1.99,2.08,2.2,2.2,2.22
2020-03-26,2.02,2.07,2.12,2.22,2.27,2.28,2.34
2020-03-27,2.16,2.2,2.23,2.28,2.4,2.41,2.41
2020-03-28,2.18,2.23,2.25,2.31,2.45,2.47,2.49
2020-03-29,2.18,2.22,2.24,2.32,2.44,2.5,2.54
2020-03-30,2.2,2.23,2.25,2.35,2.49,2.55,2.6
2020-03-31,2.19,2.22,2.24,2.35,2.5,2.55,2.64
2020-04-01,2.16,2.2,2.22,2.34,2.49,2.52,2.62
2020-04-02,2.1,2.15,2.17,2.3,2.45,2.48,2.55
2020-04-03,2,2.07,2.1,2.25,2.4,2.43,2.5
2020-04-04,1.81,2.01,2.04,2.22,2.39,2.42,2.51
2020-04-05,1.75,1.95,1.99,2.18,2.38,2.41,2.5
2020-04-06,1.68,1.69,1.69,2.02,2.31,2.36,2.43
2020-04-07,1.59,1.61,1.61,1.66,1.83,1.91,2.02
2020-04-08,1.5,1.53,1.53,1.58,1.63,1.64,1.66
2020-04-09,1.41,1.44,1.45,1.51,1.57,1.58,1.61
2020-04-10,1.3,1.34,1.35,1.43,1.52,1.53,1.56
2020-04-11,1.2,1.25,1.27,1.36,1.47,1.49,1.52
2020-04-12,1.1,1.14,1.16,1.28,1.4,1.43,1.46
2020-04-13,0.92,0.96,0.99,1.11,1.25,1.28,1.34
2020-04-14,0.79,0.8,0.81,0.96,1.08,1.11,1.16
2020-04-15,0.7,0.78,0.8,0.9,1.02,1.04,1.09
2020-04-16,0.71,0.74,0.76,0.87,0.98,1.01,1.05
2020-04-17,0.68,0.72,0.73,0.84,0.94,0.96,1
2020-04-18,0.65,0.68,0.7,0.8,0.89,0.92,0.95
2020-04-19,0.6,0.63,0.65,0.74,0.83,0.85,0.89
2020-04-20,0.57,0.61,0.64,0.74,0.83,0.85,0.88
2020-04-21,0.57,0.62,0.65,0.74,0.84,0.86,0.92
2020-04-22,0.54,0.6,0.63,0.76,0.9,0.95,0.97
2020-04-23,0.58,0.66,0.7,0.83,0.96,0.97,0.98
2020-04-24,0.7,0.74,0.76,0.87,0.96,0.97,0.98
2020-04-25,0.67,0.71,0.73,0.83,0.94,0.95,0.97
2020-04-26,0.64,0.67,0.68,0.78,0.89,0.91,0.95
2020-04-27,0.66,0.7,0.72,0.82,0.92,0.94,0.97
2020-04-28,0.7,0.74,0.76,0.86,0.95,0.97,0.99
2020-04-29,0.73,0.78,0.8,0.91,1,1,1.05
2020-04-30,0.79,0.83,0.85,0.94,1.02,1.03,1.09
2020-05-01,0.81,0.84,0.86,0.96,1.04,1.06,1.1
2020-05-02,0.75,0.79,0.81,0.91,1.02,1.04,1.08
2020-05-03,0.69,0.72,0.74,0.85,0.96,0.99,1.04
2020-05-04,0.67,0.7,0.72,0.82,0.92,0.95,0.99
2020-05-05,0.68,0.72,0.73,0.83,0.93,0.95,0.99
2020-05-06,0.71,0.74,0.75,0.85,0.95,0.97,1
2020-05-07,0.72,0.75,0.77,0.86,0.96,0.98,1.02
2020-05-08,0.7,0.73,0.75,0.84,0.94,0.96,1
2020-05-09,0.63,0.66,0.68,0.79,0.91,0.94,0.99
2020-05-10,0.58,0.62,0.64,0.73,0.83,0.86,0.91
2020-05-11,0.6,0.65,0.67,0.79,0.92,0.94,0.99
2020-05-12,0.67,0.72,0.74,0.85,0.96,0.98,1.03
2020-05-13,0.73,0.76,0.78,0.88,0.99,1,1.05
2020-05-14,0.71,0.74,0.76,0.86,0.96,0.98,1.02
2020-05-15,0.7,0.73,0.74,0.84,0.94,0.96,1
2020-05-16,0.67,0.69,0.7,0.8,0.9,0.92,0.96
2020-05-17,0.59,0.65,0.66,0.75,0.85,0.87,0.92
2020-05-18,0.63,0.66,0.68,0.78,0.88,0.91,0.95
2020-05-19,0.66,0.71,0.73,0.85,0.97,0.99,1.02
2020-05-20,0.73,0.77,0.79,0.89,1,1.03,1.05
2020-05-21,0.75,0.79,0.81,0.91,1.02,1.04,1.08
2020-05-22,0.73,0.76,0.78,0.88,0.98,1,1.06
2020-05-23,0.68,0.7,0.72,0.83,0.96,0.99,1.05
2020-05-24,0.61,0.67,0.67,0.76,0.91,0.95,1.02
2020-05-25,0.62,0.64,0.65,0.73,0.83,0.85,0.91
2020-05-26,0.61,0.63,0.65,0.73,0.83,0.85,0.88
2020-05-27,0.62,0.65,0.66,0.76,0.87,0.88,0.92
2020-05-28,0.64,0.67,0.68,0.78,0.9,0.91,0.95
2020-05-29,0.63,0.67,0.68,0.78,0.89,0.93,0.98
2020-05-30,0.59,0.62,0.63,0.73,0.84,0.87,0.94
2020-05-31,0.55,0.58,0.59,0.69,0.79,0.81,0.86
2020-06-01,0.58,0.61,0.63,0.73,0.82,0.85,0.9
