Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,2,4,5,6
2020-03-02,0,0,0,1,3,3,4
2020-03-03,0,0,0,1,3,3,4
2020-03-04,0,0,0,1,2,3,4
2020-03-05,1,1,1,2,3,4,4
2020-03-06,0,0,0,1,2,2,3
2020-03-07,0,0,0,0,0,1,3
2020-03-08,1,2,2,4,6,7,8
2020-03-09,1,1,1,2,4,4,5
2020-03-10,0,0,0,0,2,3,3
2020-03-11,1,2,2,4,7,7,8
2020-03-12,0,0,0,1,3,3,4
2020-03-13,1,1,1,2,3,4,5
2020-03-14,1,1,2,3,6,6,7
2020-03-15,1,1,1,3,5,6,7
2020-03-16,0,0,0,1,3,4,5
2020-03-17,1,1,1,2,4,4,5
2020-03-18,1,1,1,3,5,6,7
2020-03-19,1,1,1,2,4,5,6
2020-03-20,1,1,1,3,5,6,7
2020-03-21,1,2,2,4,7,7,9
2020-03-22,1,2,2,4,7,7,9
2020-03-23,2,3,3,5,8,9,10
2020-03-24,2,3,4,7,10,11,12
2020-03-25,2,2,3,5,8,9,11
2020-03-26,1,2,2,5,8,9,11
2020-03-27,2,2,2,5,8,9,11
2020-03-28,3,3,4,7,10,11,13
2020-03-29,1,1,1,4,8,9,12
2020-03-30,3,5,5,9,13,14,16
2020-03-31,3,4,4,7,11,12,14
2020-04-01,3,4,4,7,11,12,14
2020-04-02,5,6,8,12,17,18,20
2020-04-03,6,8,9,15,21,22,25
2020-04-04,4,5,6,10,15,16,20
2020-04-05,6,7,8,12,18,19,21
2020-04-06,7,9,9,14,19,21,23
2020-04-07,5,6,7,11,17,18,22
2020-04-08,7,9,10,15,20,22,24
2020-04-09,4,5,6,11,17,19,24
2020-04-10,8,9,10,15,21,22,25
2020-04-11,5,6,7,11,17,18,22
2020-04-12,7,9,10,15,20,21,24
2020-04-13,8,9,10,15,21,22,25
2020-04-14,9,12,14,22,28,30,33
2020-04-15,4,6,6,12,22,25,30
2020-04-16,9,11,13,25,37,39,44
2020-04-17,12,14,15,22,29,31,35
2020-04-18,11,13,14,20,27,29,32
2020-04-19,5,6,7,15,30,33,39
2020-04-20,5,6,7,13,22,26,33
2020-04-21,4,5,5,10,17,20,28
2020-04-22,4,5,6,10,15,16,20
2020-04-23,4,5,6,10,14,16,18
2020-04-24,6,8,9,15,20,21,24
2020-04-25,5,7,7,12,17,18,20
2020-04-26,6,8,9,17,26,27,30
2020-04-27,6,7,7,12,17,19,21
2020-04-28,7,8,9,14,19,20,23
2020-04-29,3,4,5,9,14,16,20
2020-04-30,6,9,10,17,23,24,27
2020-05-01,7,10,12,20,27,29,31
2020-05-02,8,10,11,16,22,24,27
2020-05-03,4,6,6,11,18,21,27
2020-05-04,3,4,4,9,17,20,25
2020-05-05,5,6,7,11,16,18,21
2020-05-06,3,4,4,8,13,14,17
2020-05-07,2,3,4,7,11,13,16
2020-05-08,3,4,5,8,12,13,15
2020-05-09,1,2,2,5,9,10,13
2020-05-10,3,4,5,8,12,13,15
2020-05-11,1,2,2,5,8,9,11
2020-05-12,1,2,2,5,8,9,11
2020-05-13,2,2,3,5,8,9,11
2020-05-14,3,4,4,9,15,16,18
2020-05-15,1,2,2,5,8,9,11
2020-05-16,4,5,5,9,13,14,16
2020-05-17,4,5,6,10,14,15,17
2020-05-18,2,3,4,7,11,12,14
2020-05-19,2,3,4,7,10,11,14
2020-05-20,2,3,4,7,10,11,13
2020-05-21,3,4,4,8,12,12,14
2020-05-22,1,1,2,4,9,10,13
2020-05-23,2,3,3,6,9,10,12
2020-05-24,1,1,1,4,7,9,11
2020-05-25,1,1,1,3,6,8,10
2020-05-26,1,1,1,3,6,7,9
2020-05-27,1,1,2,4,6,7,9
2020-05-28,1,1,1,3,6,7,8
2020-05-29,2,3,3,6,9,10,11
2020-05-30,2,3,4,7,11,11,13
2020-05-31,3,4,4,8,15,16,19
2020-06-01,3,5,5,9,13,14,15
2020-06-02,1,1,2,4,8,9,12
2020-06-03,2,2,3,5,8,9,11
2020-06-04,1,1,1,4,8,9,12
2020-06-05,1,2,2,5,8,9,11
2020-06-06,1,2,2,4,7,8,10
2020-06-07,1,1,1,3,6,7,9
2020-06-08,1,1,2,4,7,7,9
2020-06-09,2,2,3,5,8,9,10
2020-06-10,2,3,4,7,10,11,12
2020-06-11,1,2,2,5,8,8,10
2020-06-12,3,4,5,8,12,13,15
2020-06-13,3,4,4,7,11,12,14
2020-06-14,4,6,6,10,14,15,17
2020-06-15,5,7,8,12,17,18,20
2020-06-16,0,1,1,8,15,17,20
2020-06-17,4,5,6,10,14,15,18
2020-06-18,3,3,4,7,11,13,15
2020-06-19,2,2,3,6,10,11,13
2020-06-20,1,1,2,5,10,12,15
2020-06-21,3,4,4,8,12,13,15
2020-06-22,1,1,2,4,9,10,13
2020-06-23,1,2,2,5,8,9,11
2020-06-24,1,2,2,4,8,8,10
2020-06-25,1,1,2,4,7,8,10
2020-06-26,1,1,1,3,6,7,9
2020-06-27,1,1,1,3,6,7,8
2020-06-28,1,1,1,3,6,7,8
2020-06-29,1,1,1,3,5,6,8
2020-06-30,1,1,1,3,5,6,7
2020-07-01,1,1,1,3,6,6,7
2020-07-02,2,2,3,5,8,9,10
2020-07-03,1,2,2,4,7,7,9
2020-07-04,1,2,2,4,7,8,9
2020-07-05,1,1,2,4,6,7,8
2020-07-06,1,1,1,3,6,6,8
2020-07-07,1,2,2,4,7,8,9
2020-07-08,1,2,2,5,7,8,10
2020-07-09,2,2,2,5,8,8,10
2020-07-10,2,2,2,5,8,8,10
2020-07-11,2,3,4,6,10,10,12
2020-07-12,2,2,3,5,8,9,11
2020-07-13,3,4,4,7,11,12,13
2020-07-14,2,2,2,5,8,9,11
2020-07-15,2,3,3,6,9,10,12
2020-07-16,1,1,1,4,7,9,11
2020-07-17,1,2,2,5,8,9,11
2020-07-18,3,4,4,7,10,11,13
2020-07-19,3,4,5,8,12,13,15
2020-07-20,4,5,6,9,13,14,16
2020-07-21,4,5,6,9,13,14,16
2020-07-22,5,6,7,15,21,22,24
2020-07-23,6,7,8,12,17,18,21
2020-07-24,8,10,11,16,22,23,26
2020-07-25,7,9,9,14,20,21,24
2020-07-26,8,9,10,15,21,22,26
2020-07-27,4,5,6,12,20,23,28
