Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,5,5
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,2,4,4,5
2020-03-15,1,1,1,2,3,4,5
2020-03-16,0,0,0,0,0,0,0
2020-03-17,1,1,1,1,3,3,4
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,2,4,4,5
2020-03-20,1,1,1,3,4,5,6
2020-03-21,1,1,1,2,4,4,5
2020-03-22,1,1,1,3,4,5,6
2020-03-23,1,1,1,3,5,5,6
2020-03-24,2,3,3,5,8,9,10
2020-03-25,3,4,4,7,11,12,14
2020-03-26,4,5,5,9,13,13,16
2020-03-27,2,3,3,6,9,10,12
2020-03-28,2,2,3,5,9,10,11
2020-03-29,5,5,6,9,13,14,16
2020-03-30,0,0,1,6,13,14,17
2020-03-31,4,5,5,9,13,14,16
2020-04-01,5,6,7,17,27,28,31
2020-04-02,4,5,6,10,16,17,20
2020-04-03,1,1,2,7,20,22,26
2020-04-04,0,0,0,7,21,23,28
2020-04-05,3,4,5,9,15,17,23
2020-04-06,0,0,0,4,10,11,14
2020-04-07,6,7,8,13,19,20,24
2020-04-08,5,6,7,16,23,25,27
2020-04-09,7,8,9,14,21,23,39
2020-04-10,0,0,0,3,7,7,9
2020-04-11,12,14,15,20,26,27,29
2020-04-12,15,17,18,25,34,35,37
2020-04-13,9,12,13,21,30,32,36
2020-04-14,14,17,18,26,36,38,43
2020-04-15,2,3,4,9,14,15,18
2020-04-16,5,7,8,13,18,20,22
2020-04-17,2,3,3,15,33,34,34
2020-04-18,17,20,21,31,41,43,48
2020-04-19,20,23,24,34,45,47,52
2020-04-20,8,11,12,20,30,33,36
