Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,5,5
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,1,1,1
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,1,3,3,4
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,1,1,1,1,3,3,4
2020-03-22,0,0,0,0,0,0,0
2020-03-23,1,1,1,2,3,3,4
2020-03-24,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0
2020-03-27,1,1,1,2,4,4,5
2020-03-28,0,0,0,0,0,0,0
2020-03-29,1,1,2,3,5,6,7
2020-03-30,1,1,1,3,5,5,6
2020-03-31,0,0,0,0,1,1,1
2020-04-01,1,2,2,4,6,7,8
2020-04-02,2,2,3,5,8,9,11
2020-04-03,2,3,3,6,10,11,14
2020-04-04,4,4,5,8,12,13,15
2020-04-05,4,5,5,8,12,13,15
2020-04-06,3,4,4,8,11,12,14
2020-04-07,7,8,9,13,17,18,20
2020-04-08,7,9,10,15,21,22,24
2020-04-09,8,10,12,20,28,29,32
2020-04-10,10,12,13,18,24,26,29
2020-04-11,13,17,20,29,37,38,42
2020-04-12,10,13,15,25,36,38,44
2020-04-13,17,20,22,35,54,58,63
2020-04-14,25,30,31,41,52,55,59
2020-04-15,28,31,33,42,54,56,61
2020-04-16,26,28,30,39,51,53,62
2020-04-17,28,31,33,43,54,57,64
2020-04-18,30,33,35,45,57,60,67
2020-04-19,38,43,46,57,70,73,79
2020-04-20,33,37,38,49,62,66,75
