Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.9,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.92,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.15
2020-03-08,0.82,0.87,0.89,1,1.11,1.14,1.17
2020-03-09,0.79,0.84,0.87,1,1.13,1.16,1.2
2020-03-10,0.76,0.82,0.85,1,1.15,1.18,1.24
2020-03-11,0.73,0.79,0.83,1,1.17,1.2,1.27
2020-03-12,0.7,0.77,0.81,1,1.19,1.22,1.3
2020-03-13,0.68,0.75,0.79,1,1.21,1.25,1.34
2020-03-14,0.65,0.73,0.77,1,1.22,1.27,1.37
2020-03-15,0.61,0.7,0.75,1,1.24,1.3,1.4
2020-03-16,0.59,0.68,0.73,1,1.26,1.32,1.43
2020-03-17,0.57,0.66,0.72,1,1.27,1.33,1.46
2020-03-18,0.53,0.64,0.7,1,1.29,1.35,1.48
2020-03-19,0.5,0.62,0.68,1,1.31,1.37,1.51
2020-03-20,0.48,0.6,0.66,1,1.33,1.4,1.54
2020-03-21,0.46,0.58,0.65,1,1.35,1.42,1.57
2020-03-22,0.43,0.56,0.63,1,1.37,1.44,1.6
2020-03-23,0.4,0.56,0.63,1.01,1.39,1.47,1.63
2020-03-24,0.37,0.55,0.61,1,1.39,1.49,1.63
2020-03-25,0.37,0.53,0.6,1,1.41,1.51,1.66
2020-03-26,0.35,0.52,0.59,1,1.42,1.52,1.68
2020-03-27,0.34,0.51,0.57,1,1.43,1.54,1.71
2020-03-28,0.32,0.49,0.56,1,1.44,1.55,1.73
2020-03-29,0.32,0.49,0.56,1.01,1.46,1.56,1.77
2020-03-30,0.3,0.47,0.55,1.01,1.47,1.57,1.79
2020-03-31,0.28,0.46,0.54,1.01,1.48,1.58,1.81
2020-04-01,0.28,0.45,0.53,1,1.49,1.59,1.83
2020-04-02,0.69,0.83,0.83,0.84,0.83,0.83,1.26
2020-04-03,0.68,0.79,0.8,0.81,0.81,0.82,1.26
2020-04-04,0.67,0.76,0.76,0.79,0.8,0.81,1.26
2020-04-05,0.68,0.72,0.73,0.76,0.79,0.81,1.27
2020-04-06,0.65,0.68,0.69,0.74,0.79,0.81,1.28
2020-04-07,0.61,0.64,0.65,0.72,0.79,0.81,1.28
2020-04-08,0.56,0.6,0.62,0.7,0.79,0.82,1.27
2020-04-09,0.52,0.56,0.58,0.69,0.79,0.83,1.27
2020-04-10,0.48,0.53,0.55,0.67,0.79,0.84,1.28
2020-04-11,0.44,0.49,0.52,0.66,0.8,0.86,1.29
2020-04-12,0.4,0.46,0.49,0.65,0.81,0.87,1.29
2020-04-13,0.36,0.42,0.46,0.64,0.82,0.88,1.31
2020-04-14,0.32,0.4,0.43,0.63,0.84,0.9,1.32
2020-04-15,0.28,0.37,0.4,0.62,0.85,0.92,1.31
2020-04-16,0.26,0.34,0.38,0.62,0.86,0.94,1.33
2020-04-17,0.22,0.31,0.36,0.61,0.88,0.96,1.32
2020-04-18,0.19,0.29,0.34,0.61,0.9,0.98,1.32
2020-04-19,0.15,0.28,0.33,0.62,0.92,1,1.27
2020-04-20,0.11,0.26,0.32,0.62,0.94,1.02,1.27
2020-04-21,0.11,0.24,0.3,0.62,0.96,1.03,1.28
2020-04-22,0.11,0.23,0.29,0.62,0.98,1.06,1.29
2020-04-23,0.11,0.22,0.28,0.63,1,1.08,1.29
2020-04-24,0.11,0.2,0.27,0.64,1.02,1.1,1.31
2020-04-25,0.11,0.2,0.26,0.65,1.05,1.13,1.33
2020-04-26,0.11,0.19,0.26,0.66,1.07,1.14,1.36
2020-04-27,0.11,0.19,0.25,0.67,1.09,1.17,1.38
2020-04-28,0.11,0.19,0.25,0.68,1.12,1.2,1.4
2020-04-29,0.11,0.2,0.26,0.69,1.14,1.23,1.43
2020-04-30,0.12,0.21,0.28,0.71,1.17,1.26,1.44
2020-05-01,0.13,0.21,0.28,0.71,1.2,1.29,1.47
2020-05-02,0.12,0.21,0.28,0.73,1.22,1.31,1.51
2020-05-03,0.12,0.22,0.29,0.74,1.24,1.34,1.52
2020-05-04,0.12,0.22,0.3,0.76,1.25,1.36,1.54
2020-05-05,0.12,0.24,0.32,0.78,1.27,1.38,1.56
2020-05-06,0.13,0.25,0.33,0.79,1.3,1.4,1.6
2020-05-07,0.13,0.26,0.34,0.81,1.32,1.43,1.64
2020-05-08,0.14,0.27,0.35,0.83,1.34,1.45,1.69
2020-05-09,0.14,0.29,0.36,0.85,1.36,1.46,1.69
2020-05-10,0.15,0.3,0.38,0.87,1.38,1.47,1.71
2020-05-11,0.16,0.3,0.39,0.89,1.39,1.49,1.74
2020-05-12,0.17,0.3,0.41,0.9,1.41,1.5,1.74
2020-05-13,0.17,0.32,0.43,0.92,1.44,1.52,1.76
2020-05-14,0.18,0.34,0.44,0.94,1.45,1.54,1.76
2020-05-15,0.2,0.35,0.46,0.96,1.47,1.56,1.77
2020-05-16,0.21,0.37,0.47,0.98,1.48,1.57,1.78
2020-05-17,0.22,0.38,0.49,1,1.5,1.59,1.79
2020-05-18,0.22,0.4,0.51,1.01,1.53,1.61,1.79
2020-05-19,0.23,0.4,0.52,1.03,1.55,1.64,1.79
2020-05-20,0.24,0.41,0.54,1.05,1.57,1.66,1.81
2020-05-21,0.25,0.43,0.55,1.06,1.58,1.68,1.84
2020-05-22,0.27,0.45,0.56,1.08,1.6,1.7,1.87
2020-05-23,0.27,0.46,0.58,1.1,1.61,1.71,1.9
2020-05-24,0.28,0.47,0.59,1.11,1.63,1.73,1.93
2020-05-25,0.29,0.47,0.6,1.13,1.64,1.75,1.96
2020-05-26,0.31,0.48,0.61,1.14,1.66,1.76,1.97
2020-05-27,0.31,0.48,0.62,1.16,1.67,1.77,2
2020-05-28,0.32,0.49,0.63,1.17,1.69,1.8,2.02
2020-05-29,0.33,0.5,0.63,1.18,1.7,1.82,2.03
2020-05-30,0.33,0.51,0.63,1.19,1.72,1.83,2.04
2020-05-31,0.7,1.04,1.34,1.83,1.88,1.88,1.88
2020-06-01,0.69,1.05,1.34,1.85,1.92,1.92,1.92
2020-06-02,0.68,1.06,1.34,1.88,1.95,1.96,1.96
