Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,3,5,6,7
2020-03-02,0,0,0,1,4,5,6
2020-03-03,0,0,0,1,4,4,6
2020-03-04,1,1,1,3,5,5,6
2020-03-05,2,3,3,5,8,9,11
2020-03-06,2,2,3,6,9,10,12
2020-03-07,1,1,1,2,4,5,6
2020-03-08,3,4,4,7,13,14,16
2020-03-09,0,0,0,2,6,7,9
2020-03-10,3,4,5,9,13,14,15
2020-03-11,4,4,5,8,11,12,14
2020-03-12,0,0,0,3,8,9,11
2020-03-13,7,8,8,12,17,18,20
2020-03-14,5,6,7,11,16,18,22
2020-03-15,8,9,10,15,20,21,24
2020-03-16,0,0,1,3,7,8,9
2020-03-17,21,23,24,30,37,38,39
2020-03-18,15,17,18,24,30,31,34
2020-03-19,6,9,10,19,28,30,34
2020-03-20,13,16,17,26,35,37,42
2020-03-21,18,22,23,31,39,41,44
2020-03-22,44,49,51,61,71,73,79
2020-03-23,42,46,48,58,70,72,77
2020-03-24,36,40,42,52,65,67,73
2020-03-25,47,56,61,78,93,96,102
2020-03-26,45,51,55,76,99,104,113
2020-03-27,51,58,62,86,113,119,129
2020-03-28,58,66,71,98,128,135,148
2020-03-29,181,190,195,225,261,261,279
2020-03-30,24,28,39,43,54,54,63
2020-03-31,20,23,26,39,55,58,64
2020-04-01,91,100,105,133,163,169,183
2020-04-02,96,106,111,141,173,180,194
2020-04-03,113,124,129,161,197,204,219
2020-04-04,74,80,83,103,124,128,138
2020-04-05,74,78,81,100,121,127,136
2020-04-06,40,45,47,62,79,82,89
2020-04-07,77,83,86,113,151,157,173
2020-04-08,75,88,94,124,154,161,175
2020-04-09,70,76,79,106,144,152,167
2020-04-10,60,65,68,103,143,150,163
2020-04-11,63,68,71,87,105,109,118
2020-04-12,55,63,66,89,114,120,131
2020-04-13,52,56,59,73,89,94,105
2020-04-14,28,31,33,57,93,98,110
2020-04-15,21,24,25,34,44,46,50
