Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,6
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,1,1,1,1,3,3,4
2020-03-15,0,0,0,0,0,0,0
2020-03-16,1,1,1,1,3,3,4
2020-03-17,1,1,1,2,4,4,5
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,2,3,4,5
2020-03-20,1,1,1,2,4,4,5
2020-03-21,1,1,1,3,4,5,6
2020-03-22,1,1,1,2,3,4,5
2020-03-23,1,1,1,2,3,3,4
2020-03-24,1,1,1,2,3,4,5
2020-03-25,1,1,1,2,4,5,6
2020-03-26,1,1,1,2,3,4,5
2020-03-27,1,1,1,3,5,5,6
2020-03-28,1,2,2,4,6,7,8
2020-03-29,0,0,0,1,3,4,6
2020-03-30,1,1,1,2,5,5,6
2020-03-31,1,1,1,2,5,5,6
2020-04-01,1,1,1,2,4,5,6
2020-04-02,2,2,3,5,8,9,10
2020-04-03,1,1,1,3,6,6,8
2020-04-04,2,3,4,7,10,11,13
2020-04-05,0,0,0,2,6,7,9
2020-04-06,2,3,4,7,10,11,13
2020-04-07,2,3,4,6,10,11,12
2020-04-08,3,4,5,8,12,13,15
2020-04-09,3,4,5,8,12,13,15
2020-04-10,5,6,6,12,21,23,26
2020-04-11,5,6,7,11,16,17,19
2020-04-12,8,10,11,15,21,23,26
2020-04-13,1,2,2,10,22,24,28
2020-04-14,6,7,8,12,18,20,24
2020-04-15,6,8,9,13,19,20,23
2020-04-16,8,9,10,15,22,23,26
2020-04-17,9,11,12,17,23,25,28
2020-04-18,11,13,14,20,26,28,31
2020-04-19,12,14,15,21,28,30,33
2020-04-20,14,18,20,27,35,37,40
