Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,3,3,4
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,1,3,3,4
2020-03-16,1,1,1,2,3,4,5
2020-03-17,1,1,1,2,3,3,4
2020-03-18,1,1,1,1,3,3,4
2020-03-19,1,1,1,2,4,4,5
2020-03-20,1,2,2,3,6,7,8
2020-03-21,0,0,0,0,2,2,4
2020-03-22,1,1,1,2,4,4,5
2020-03-23,1,1,1,3,5,5,6
2020-03-24,0,0,0,1,2,3,4
2020-03-25,1,2,2,4,6,7,8
2020-03-26,2,2,3,6,11,12,13
2020-03-27,2,3,4,8,13,14,16
2020-03-28,4,5,5,10,18,19,22
2020-03-29,5,7,8,12,17,18,20
2020-03-30,7,10,11,19,26,27,30
2020-03-31,2,3,4,13,23,25,29
2020-04-01,11,14,17,24,32,33,37
2020-04-02,15,20,25,35,45,47,50
2020-04-03,6,9,11,22,34,37,44
2020-04-04,18,24,26,36,46,48,52
2020-04-05,6,9,11,31,47,50,55
2020-04-06,20,22,24,33,43,46,51
2020-04-07,7,10,11,25,45,50,59
2020-04-08,7,9,10,22,40,43,52
2020-04-09,16,20,21,29,39,42,47
2020-04-10,22,25,27,36,46,49,54
2020-04-11,9,11,12,20,34,38,45
2020-04-12,11,14,16,27,41,44,50
2020-04-13,9,12,15,27,41,45,52
2020-04-14,8,10,11,20,35,39,46
2020-04-15,9,10,11,16,23,24,27
2020-04-16,5,7,7,12,18,20,24
2020-04-17,9,10,11,16,22,24,27
2020-04-18,8,10,10,15,21,23,25
2020-04-19,8,9,10,15,20,22,25
2020-04-20,3,4,5,9,17,19,23
