Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,2,3,3,4
2020-03-04,1,1,1,1,3,3,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,1,3,3,4
2020-03-07,1,1,1,1,3,3,4
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,1,1,1,2,3,3,4
2020-03-11,1,1,1,3,4,5,6
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,2,2,3,6,6,8
2020-03-14,1,1,2,3,5,6,7
2020-03-15,2,2,2,5,8,8,10
2020-03-16,2,2,3,5,8,8,9
2020-03-17,2,3,3,5,9,9,10
2020-03-18,3,3,4,8,12,13,15
2020-03-19,3,4,5,9,15,17,19
2020-03-20,4,5,6,12,19,20,22
2020-03-21,8,9,10,15,21,23,25
2020-03-22,8,10,10,16,23,26,30
2020-03-23,10,11,13,20,27,29,33
2020-03-24,30,32,33,41,49,50,55
2020-03-25,31,34,35,43,52,54,58
2020-03-26,32,35,36,45,55,57,61
2020-03-27,28,32,35,52,74,77,83
2020-03-28,40,47,50,63,76,79,84
2020-03-29,42,46,48,60,74,77,83
2020-03-30,55,59,62,75,90,92,99
2020-03-31,58,63,65,80,96,99,107
2020-04-01,70,75,78,94,112,116,124
2020-04-02,52,57,61,94,128,135,147
2020-04-03,59,65,68,88,123,132,151
2020-04-04,48,53,58,93,138,147,167
2020-04-05,50,54,57,78,117,127,144
2020-04-06,41,46,49,77,118,127,148
2020-04-07,49,53,55,69,85,91,105
2020-04-08,48,52,54,67,81,85,92
2020-04-09,48,52,54,67,81,84,91
2020-04-10,52,60,64,78,94,98,104
2020-04-11,35,38,40,55,78,84,97
2020-04-12,45,50,52,64,78,81,88
2020-04-13,37,41,43,54,67,69,77
2020-04-14,37,41,43,54,66,69,75
2020-04-15,28,31,33,43,54,58,66
2020-04-16,30,35,37,47,59,61,66
2020-04-17,18,20,22,31,43,48,57
2020-04-18,13,15,16,24,35,38,47
2020-04-19,16,21,24,33,42,44,49
2020-04-20,7,9,9,16,27,30,36
2020-04-21,11,15,16,23,31,32,36
2020-04-22,9,12,13,28,40,41,44
2020-04-23,12,17,19,26,35,36,40
2020-04-24,14,17,18,25,33,34,38
2020-04-25,5,7,7,15,27,29,35
2020-04-26,8,9,10,15,22,23,27
2020-04-27,5,6,7,11,17,18,22
2020-04-28,4,5,6,10,14,16,19
2020-04-29,5,7,8,13,18,19,21
2020-04-30,5,7,8,12,17,18,21
2020-05-01,4,5,6,9,14,15,17
2020-05-02,1,2,2,6,10,12,15
2020-05-03,3,4,4,8,12,13,15
2020-05-04,2,3,3,6,9,10,12
2020-05-05,3,5,5,9,13,13,15
2020-05-06,2,3,4,7,10,11,13
2020-05-07,2,3,3,6,10,10,12
2020-05-08,4,5,6,9,14,15,18
2020-05-09,4,5,6,11,15,16,19
2020-05-10,4,6,6,10,14,15,17
2020-05-11,4,5,5,9,13,14,16
2020-05-12,4,6,6,10,14,15,17
2020-05-13,3,4,4,8,12,13,15
2020-05-14,4,5,5,8,13,13,16
2020-05-15,1,1,2,5,12,13,17
2020-05-16,1,1,2,5,9,11,15
2020-05-17,1,1,2,4,8,9,12
2020-05-18,1,1,1,4,7,8,10
2020-05-19,1,2,2,5,8,9,10
2020-05-20,1,1,1,3,6,7,9
2020-05-21,1,1,2,4,7,7,9
2020-05-22,2,2,3,5,8,9,10
2020-05-23,0,0,0,2,5,6,9
2020-05-24,1,1,1,2,5,6,8
2020-05-25,0,0,0,1,4,5,6
2020-05-26,0,0,0,1,3,4,5
2020-05-27,0,0,0,1,2,3,5
2020-05-28,1,1,1,2,3,4,5
2020-05-29,0,0,0,0,2,3,4
2020-05-30,1,1,1,2,3,3,4
2020-05-31,0,0,0,0,2,2,3
2020-06-01,0,0,0,0,1,2,3
2020-06-02,0,0,0,0,1,1,2
2020-06-03,0,0,0,0,0,0,2
2020-06-04,1,1,1,1,3,3,4
2020-06-05,0,0,0,0,0,0,1
2020-06-06,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,2
2020-06-08,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0
2020-06-10,1,1,1,2,3,3,4
2020-06-11,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0
2020-06-13,1,1,1,2,3,3,4
2020-06-14,1,1,1,1,3,3,4
2020-06-15,1,1,1,2,3,3,4
