Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,1,1,1,2,3,3,4
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,1,1,1,2,3,3,4
2020-03-08,1,1,1,2,3,4,5
2020-03-09,1,1,1,2,3,3,4
2020-03-10,0,0,0,0,0,0,0
2020-03-11,1,1,1,2,4,4,5
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,3,5,5,6
2020-03-14,1,2,2,4,6,7,8
2020-03-15,1,1,1,2,4,4,5
2020-03-16,1,2,2,4,6,7,8
2020-03-17,2,3,3,6,9,10,11
2020-03-18,2,3,3,6,9,9,11
2020-03-19,3,4,4,8,13,14,15
2020-03-20,4,5,6,9,13,14,16
2020-03-21,5,7,8,13,18,19,20
2020-03-22,6,8,9,16,24,25,27
2020-03-23,7,9,10,20,29,31,34
2020-03-24,11,13,14,19,25,27,30
2020-03-25,16,20,22,30,38,40,43
2020-03-26,20,23,24,32,40,42,46
2020-03-27,23,27,28,36,45,47,52
2020-03-28,27,31,32,41,51,53,57
2020-03-29,33,40,43,55,67,70,75
2020-03-30,31,34,36,46,58,62,70
2020-03-31,35,38,40,51,64,67,75
2020-04-01,29,33,34,48,71,76,90
2020-04-02,43,47,49,61,75,78,85
2020-04-03,33,36,38,51,71,79,92
2020-04-04,41,45,47,59,72,76,83
2020-04-05,41,45,47,60,74,77,84
2020-04-06,34,40,43,63,86,90,100
2020-04-07,49,55,57,71,86,90,97
2020-04-08,55,60,62,76,92,95,103
2020-04-09,61,65,68,82,99,103,111
2020-04-10,53,60,64,88,114,120,136
2020-04-11,65,79,86,107,128,133,141
2020-04-12,75,80,84,101,121,125,134
2020-04-13,45,50,52,67,83,87,102
2020-04-14,45,50,51,68,93,102,119
2020-04-15,49,53,56,70,87,91,100
2020-04-16,50,55,58,72,88,92,99
2020-04-17,45,55,60,90,111,114,123
2020-04-18,51,56,59,73,90,94,101
2020-04-19,55,61,64,79,95,99,106
2020-04-20,50,55,57,70,86,89,97
