Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,2,3,3,4
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,1,2,3,3,4
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,2,3,3,4
2020-03-09,1,2,2,3,5,6,7
2020-03-10,1,1,2,3,5,6,7
2020-03-11,1,2,2,4,6,6,7
2020-03-12,0,0,0,0,2,2,4
2020-03-13,3,3,3,6,8,9,10
2020-03-14,3,3,3,6,9,9,11
2020-03-15,2,3,3,6,11,12,14
2020-03-16,5,6,7,10,14,15,17
2020-03-17,5,7,7,13,23,24,27
2020-03-18,7,8,9,14,19,21,23
2020-03-19,9,11,11,17,23,25,28
2020-03-20,10,12,13,19,27,29,33
2020-03-21,23,23,23,27,31,31,47
2020-03-22,33,35,37,44,53,55,58
2020-03-23,35,38,40,48,57,59,64
2020-03-24,28,31,33,55,84,87,87
2020-03-25,34,39,42,65,89,93,99
2020-03-26,47,56,63,85,103,106,112
2020-03-27,64,74,79,110,135,139,148
2020-03-28,84,90,93,110,130,134,141
2020-03-29,100,106,110,130,152,157,166
2020-03-30,106,113,116,139,163,168,179
2020-03-31,104,112,116,141,177,188,210
2020-04-01,125,134,138,164,193,201,217
2020-04-02,110,120,125,171,231,243,266
2020-04-03,155,166,171,203,238,246,263
2020-04-04,114,130,141,211,271,283,308
2020-04-05,150,161,167,203,245,259,296
2020-04-06,174,185,192,227,266,275,293
2020-04-07,193,206,213,251,292,301,318
2020-04-08,183,195,201,240,284,296,329
2020-04-09,225,254,265,312,361,371,392
2020-04-10,193,207,214,258,321,345,388
2020-04-11,248,266,274,321,372,382,405
2020-04-12,271,305,316,371,429,440,468
2020-04-13,264,279,287,337,392,404,432
2020-04-14,244,259,266,316,376,394,446
2020-04-15,246,262,270,318,372,385,420
2020-04-16,277,302,312,364,420,432,459
2020-04-17,294,319,330,386,444,458,486
2020-04-18,268,284,293,343,399,413,441
2020-04-19,264,281,289,339,394,406,432
2020-04-20,187,201,209,303,412,433,476
2020-04-21,243,285,298,357,418,430,457
2020-04-22,229,244,252,299,350,362,384
2020-04-23,261,282,290,339,392,403,427
2020-04-24,232,267,290,377,442,454,486
2020-04-25,271,306,318,372,430,441,467
2020-04-26,232,247,255,302,355,371,409
2020-04-27,189,201,207,253,322,349,402
2020-04-28,189,217,233,342,416,429,453
2020-04-29,203,219,227,271,321,333,355
2020-04-30,231,263,273,321,374,384,407
2020-05-01,210,239,258,361,432,443,469
2020-05-02,231,247,256,302,353,365,390
2020-05-03,255,276,284,333,385,397,420
2020-05-04,257,296,309,362,418,428,451
2020-05-05,245,277,299,406,479,494,523
2020-05-06,287,305,315,369,427,440,468
2020-05-07,275,292,301,352,410,424,452
2020-05-08,274,289,298,349,404,417,445
2020-05-09,263,296,315,438,525,539,567
2020-05-10,305,326,336,393,456,471,501
2020-05-11,219,233,242,333,479,506,552
2020-05-12,327,367,382,453,528,542,574
2020-05-13,302,351,389,575,676,690,723
2020-05-14,442,470,484,561,644,662,698
2020-05-15,414,439,452,527,612,633,686
2020-05-16,438,461,475,551,636,655,694
2020-05-17,417,441,455,530,616,639,698
2020-05-18,421,444,455,533,619,639,687
2020-05-19,413,436,448,523,607,628,680
2020-05-20,469,528,550,640,734,753,794
2020-05-21,441,489,514,726,908,932,986
2020-05-22,511,544,559,655,762,786,841
2020-05-23,643,710,738,860,986,1011,1061
2020-05-24,483,516,534,677,944,996,1099
2020-05-25,436,463,484,629,908,973,1097
2020-05-26,374,392,403,518,777,856,1019
2020-05-27,416,500,538,653,776,799,857
2020-05-28,510,555,574,673,783,808,858
2020-05-29,535,565,581,675,778,801,847
2020-05-30,472,499,512,600,701,727,797
2020-05-31,530,568,586,677,778,800,845
2020-06-01,420,442,458,543,662,717,799
2020-06-02,477,507,521,604,695,715,756
2020-06-03,492,540,558,648,746,766,808
2020-06-04,469,500,514,597,690,710,754
2020-06-05,503,552,570,661,761,781,832
2020-06-06,443,494,520,737,935,973,1020
2020-06-07,526,562,579,679,788,811,867
2020-06-08,616,666,686,797,916,942,996
