Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,1,1,1,2,3,3,4
2020-03-03,0,0,0,2,3,3,3
2020-03-04,2,2,2,4,6,6,7
2020-03-05,1,1,1,2,3,4,5
2020-03-06,1,1,1,2,3,3,4
2020-03-07,1,1,1,2,4,4,5
2020-03-08,1,1,2,3,5,6,7
2020-03-09,1,1,1,3,5,5,7
2020-03-10,2,2,2,5,8,9,10
2020-03-11,1,2,2,4,7,7,8
2020-03-12,2,3,4,6,9,10,11
2020-03-13,2,3,4,6,9,10,11
2020-03-14,3,3,4,8,13,14,16
2020-03-15,3,4,5,8,12,12,14
2020-03-16,2,3,3,6,10,10,12
2020-03-17,4,6,7,13,18,19,21
2020-03-18,5,7,7,12,16,17,19
2020-03-19,6,7,8,14,24,26,30
2020-03-20,8,9,10,16,24,26,32
2020-03-21,10,12,13,20,29,31,34
2020-03-22,12,15,16,25,35,38,43
2020-03-23,18,21,23,33,45,47,52
2020-03-24,24,27,28,36,46,48,51
2020-03-25,61,64,66,77,90,92,97
2020-03-26,47,51,53,64,76,79,84
2020-03-27,44,50,53,70,89,93,102
2020-03-28,61,70,73,89,105,108,115
2020-03-29,40,45,48,72,106,113,123
2020-03-30,78,88,93,127,173,180,189
2020-03-31,108,116,120,143,167,173,183
2020-04-01,104,116,124,154,187,192,217
2020-04-02,122,135,142,181,222,230,248
2020-04-03,128,145,153,199,247,257,277
2020-04-04,304,318,326,366,410,419,436
2020-04-05,336,353,361,409,460,470,490
2020-04-06,617,637,651,720,790,805,839
2020-04-07,442,464,477,546,620,638,672
2020-04-08,513,539,554,634,723,742,785
2020-04-09,639,679,696,793,900,924,972
2020-04-10,718,758,777,887,1010,1035,1086
2020-04-11,748,788,809,932,1071,1109,1202
2020-04-12,727,772,794,964,1254,1324,1451
2020-04-13,986,1043,1074,1231,1409,1447,1531
2020-04-14,920,973,1010,1159,1345,1400,1535
2020-04-15,839,884,911,1210,1611,1682,1820
2020-04-16,958,1012,1032,1209,1412,1482,1679
2020-04-17,855,899,924,1097,1357,1472,1673
2020-04-18,1056,1120,1152,1327,1520,1569,1656
2020-04-19,988,1120,1200,1617,1913,1976,2102
2020-04-20,846,889,918,1164,1634,1727,1913
2020-04-21,1150,1228,1265,1480,1719,1772,1877
2020-04-22,1062,1120,1149,1332,1544,1587,1695
2020-04-23,1119,1300,1362,1583,1818,1870,1982
2020-04-24,1167,1234,1267,1464,1686,1732,1823
2020-04-25,1210,1356,1405,1631,1860,1912,2014
2020-04-26,1254,1330,1365,1574,1801,1850,1941
2020-04-27,1236,1307,1341,1545,1764,1812,1909
2020-04-28,1208,1396,1468,1712,1954,2011,2107
2020-04-29,1312,1407,1450,1669,1908,1956,2057
2020-04-30,1346,1447,1490,1712,1954,1996,2118
2020-05-01,1198,1333,1410,1941,2311,2376,2506
2020-05-02,1307,1526,1667,2138,2483,2538,2682
2020-05-03,1490,1700,1844,2394,2759,2829,2979
2020-05-04,1528,1706,1797,2284,2840,3036,3303
2020-05-05,1854,2181,2304,2675,3036,3105,3231
2020-05-06,2275,2615,2722,3094,3478,3556,3704
2020-05-07,2581,2702,2766,3132,3522,3607,3773
2020-05-08,2627,2771,2844,3233,3647,3734,3935
2020-05-09,2603,2734,2800,3202,3628,3730,3955
2020-05-10,2879,3216,3373,3915,4438,4544,4751
2020-05-11,2991,3150,3229,3694,4205,4314,4534
2020-05-12,3014,3165,3247,3713,4241,4348,4627
2020-05-13,3124,3299,3376,3877,4430,4566,4841
2020-05-14,3262,3441,3523,4033,4589,4720,4992
2020-05-15,3222,3373,3468,3972,4546,4674,4967
2020-05-16,3624,3916,4036,4625,5269,5406,5673
2020-05-17,3909,4150,4254,4873,5563,5710,5995
2020-05-18,3828,4033,4146,4745,5419,5565,5890
2020-05-19,4227,4729,4915,5676,6452,6626,6927
2020-05-20,4525,4746,4862,5563,6322,6496,6870
2020-05-21,4891,5162,5294,6058,6893,7067,7444
2020-05-22,5190,5480,5626,6443,7320,7499,7900
2020-05-23,5383,5672,5814,6643,7525,7741,8188
2020-05-24,5726,6031,6183,7071,8055,8267,8724
2020-05-25,5501,5765,5906,6795,7765,7979,8518
