Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,1,3,3,4
2020-03-04,1,1,1,2,4,4,5
2020-03-05,0,0,0,0,0,0,0
2020-03-06,1,1,2,3,6,6,7
2020-03-07,0,0,0,0,0,0,0
2020-03-08,1,1,1,1,3,3,4
2020-03-09,1,1,1,2,3,4,4
2020-03-10,1,2,2,4,6,7,8
2020-03-11,1,2,2,4,7,7,8
2020-03-12,0,0,0,1,2,3,4
2020-03-13,3,4,4,7,10,11,13
2020-03-14,4,4,5,8,11,12,14
2020-03-15,0,0,0,2,6,7,9
2020-03-16,13,14,15,19,24,25,27
2020-03-17,19,21,22,27,33,34,36
2020-03-18,9,11,12,18,24,26,29
2020-03-19,17,19,20,27,35,37,40
2020-03-20,15,18,19,27,36,38,42
2020-03-21,45,48,50,59,69,71,76
2020-03-22,58,62,64,75,87,90,94
2020-03-23,100,105,107,122,138,141,146
2020-03-24,58,64,67,88,110,115,124
2020-03-25,72,79,83,108,135,141,153
2020-03-26,86,95,100,130,167,178,201
2020-03-27,148,183,195,226,257,262,277
2020-03-28,206,217,223,257,293,301,318
2020-03-29,181,192,198,234,278,292,330
2020-03-30,241,256,262,305,353,364,384
2020-03-31,274,289,298,346,401,412,439
2020-04-01,252,296,323,420,517,535,574
2020-04-02,347,368,379,444,518,539,598
2020-04-03,375,395,407,475,551,564,603
2020-04-04,326,346,354,441,593,635,694
2020-04-05,359,377,386,465,598,644,738
2020-04-06,357,378,387,471,617,660,760
2020-04-07,357,377,391,514,668,706,786
2020-04-08,367,393,406,527,692,728,808
2020-04-09,435,456,468,544,626,648,700
2020-04-10,431,465,486,600,729,759,808
2020-04-11,480,544,588,732,845,865,903
2020-04-12,577,609,626,721,824,847,891
2020-04-13,730,768,786,894,1013,1038,1094
2020-04-14,679,717,735,847,969,997,1057
2020-04-15,768,839,867,999,1139,1171,1234
2020-04-16,658,694,711,842,1021,1081,1215
2020-04-17,632,668,687,810,963,1021,1173
2020-04-18,651,689,709,823,949,979,1048
2020-04-19,477,515,527,732,1002,1048,1147
