Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,311,328,337,386,438,450,472
2020-03-02,314,346,366,442,504,516,541
2020-03-03,291,315,327,397,472,488,519
2020-03-04,302,327,344,450,537,551,578
2020-03-05,326,363,391,488,559,573,601
2020-03-06,514,514,514,514,514,514,514
2020-03-07,388,418,434,523,618,638,680
2020-03-08,432,473,498,617,708,725,757
2020-03-09,477,501,513,583,658,675,708
2020-03-10,606,638,653,735,824,843,880
2020-03-11,508,556,581,753,887,908,953
2020-03-12,539,592,620,821,991,1020,1073
2020-03-13,580,634,665,889,1139,1171,1233
2020-03-14,665,742,790,1083,1281,1317,1370
2020-03-15,927,986,1012,1158,1314,1345,1412
2020-03-16,904,951,977,1128,1295,1332,1417
2020-03-17,991,1043,1070,1235,1416,1454,1534
2020-03-18,1016,1072,1104,1277,1466,1509,1622
2020-03-19,960,1006,1033,1223,1497,1606,1794
2020-03-20,1056,1112,1144,1322,1524,1577,1701
2020-03-21,903,967,1001,1233,1638,1725,1908
2020-03-22,925,976,1005,1194,1466,1597,1828
2020-03-23,1108,1179,1215,1400,1600,1646,1738
2020-03-24,1211,1365,1412,1633,1862,1921,2023
2020-03-25,1264,1434,1553,1938,2249,2300,2411
2020-03-26,1541,1788,1878,2195,2517,2581,2708
2020-03-27,1796,2051,2192,2610,3004,3098,3247
2020-03-28,2234,2435,2514,2888,3289,3375,3523
2020-03-29,2387,2513,2572,2949,3357,3454,3650
2020-03-30,2621,2763,2826,3229,3676,3767,3979
2020-03-31,2657,2799,2869,3290,3763,3878,4138
2020-04-01,2662,2775,2854,3294,3796,3925,4327
2020-04-02,2597,2741,2822,3266,3837,4053,4573
2020-04-03,2499,2626,2713,3180,3886,4178,4686
2020-04-04,2387,2492,2560,3037,3800,4040,4573
2020-04-05,2273,2375,2446,2873,3465,3741,4317
2020-04-06,2097,2208,2272,2650,3177,3400,3874
2020-04-07,1938,2025,2084,2429,2905,3088,3521
2020-04-08,1800,1900,1943,2242,2595,2702,3013
2020-04-09,1514,1608,1654,1933,2339,2501,2828
2020-04-10,1593,1681,1724,1974,2246,2312,2439
2020-04-11,1448,1535,1578,1817,2078,2138,2247
2020-04-12,1310,1392,1432,1643,1880,1925,2036
2020-04-13,1218,1312,1348,1560,1782,1830,1932
2020-04-14,1131,1250,1287,1493,1707,1753,1849
2020-04-15,1073,1189,1227,1424,1635,1674,1756
2020-04-16,962,1137,1217,1448,1667,1718,1799
2020-04-17,1011,1152,1198,1391,1589,1633,1715
2020-04-18,1024,1111,1141,1312,1499,1532,1602
2020-04-19,1006,1084,1115,1282,1463,1501,1581
2020-04-20,977,1046,1077,1245,1425,1458,1529
2020-04-21,961,1041,1074,1237,1411,1451,1524
2020-04-22,935,991,1017,1172,1338,1373,1449
2020-04-23,856,901,925,1064,1218,1252,1336
2020-04-24,888,950,977,1125,1286,1320,1396
2020-04-25,873,932,959,1105,1260,1293,1360
2020-04-26,887,941,967,1115,1270,1305,1382
2020-04-27,817,860,885,1020,1171,1203,1276
2020-04-28,860,912,938,1081,1234,1264,1337
2020-04-29,846,899,924,1064,1212,1247,1323
2020-04-30,806,848,874,1009,1156,1190,1260
2020-05-01,816,860,884,1016,1163,1194,1262
2020-05-02,702,741,762,888,1033,1077,1199
2020-05-03,766,816,839,967,1109,1139,1201
2020-05-04,767,885,940,1106,1267,1301,1370
2020-05-05,816,957,1019,1196,1365,1399,1487
2020-05-06,831,928,988,1362,1625,1672,1776
2020-05-07,1077,1185,1221,1413,1619,1664,1761
2020-05-08,1200,1275,1308,1507,1723,1766,1877
2020-05-09,1242,1309,1344,1539,1751,1801,1908
2020-05-10,1197,1254,1290,1489,1711,1767,1914
2020-05-11,1358,1430,1469,1683,1919,1970,2073
2020-05-12,1295,1357,1392,1602,1848,1904,2044
2020-05-13,1513,1609,1655,1895,2156,2213,2324
2020-05-14,1503,1586,1627,1868,2135,2187,2320
2020-05-15,1669,1766,1811,2073,2362,2428,2563
2020-05-16,1551,1629,1669,1926,2229,2302,2528
2020-05-17,1574,1649,1691,1955,2247,2327,2523
2020-05-18,1815,1915,1966,2252,2566,2633,2774
2020-05-19,1760,1857,1911,2194,2507,2584,2747
2020-05-20,1897,1999,2051,2359,2697,2773,2916
2020-05-21,1963,2067,2122,2429,2766,2841,2999
2020-05-22,1935,2041,2099,2415,2764,2847,3018
2020-05-23,1712,1807,1855,2182,2663,2830,3168
2020-05-24,1839,1940,1992,2295,2636,2714,2903
2020-05-25,1746,1825,1877,2178,2522,2604,2834
2020-05-26,1584,1670,1715,1992,2325,2437,2755
2020-05-27,1685,1780,1829,2111,2420,2493,2634
2020-05-28,1753,1862,1911,2201,2513,2582,2710
2020-05-29,1692,1938,2098,2514,2885,2962,3119
2020-05-30,1838,1945,1999,2296,2630,2698,2848
2020-05-31,1955,2075,2127,2439,2785,2858,3016
2020-06-01,1986,2253,2356,2731,3126,3196,3361
2020-06-02,2171,2419,2502,2888,3287,3376,3551
2020-06-03,2378,2545,2618,2993,3401,3482,3645
2020-06-04,2517,2785,2889,3320,3774,3854,4052
2020-06-05,2442,2570,2635,3031,3466,3566,3811
2020-06-06,2094,2214,2279,2711,3447,3672,4079
2020-06-07,2089,2205,2257,2622,3047,3213,3662
2020-06-08,1859,1949,2004,2358,2877,3100,3509
2020-06-09,1791,1894,1945,2254,2607,2701,2967
2020-06-10,1691,1786,1836,2123,2444,2517,2698
2020-06-11,1741,1846,1901,2186,2495,2562,2697
2020-06-12,1754,1898,1953,2254,2579,2647,2798
2020-06-13,1733,1926,1989,2296,2620,2691,2825
2020-06-14,1818,1969,2032,2339,2668,2737,2877
2020-06-15,1852,1986,2044,2356,2688,2754,2904
2020-06-16,1911,2062,2125,2438,2777,2848,2996
2020-06-17,2000,2119,2180,2499,2836,2896,3052
2020-06-18,2019,2143,2204,2519,2864,2939,3094
2020-06-19,2062,2182,2240,2565,2916,2986,3135
2020-06-20,1943,2046,2098,2408,2754,2828,3006
2020-06-21,1959,2062,2113,2420,2754,2827,2992
2020-06-22,2038,2157,2213,2538,2891,2972,3135
2020-06-23,2000,2111,2165,2480,2833,2910,3081
2020-06-24,2033,2144,2203,2531,2896,2968,3118
2020-06-25,2081,2194,2250,2578,2940,3016,3159
2020-06-26,2101,2222,2278,2618,2986,3067,3224
2020-06-27,2045,2149,2203,2527,2889,2972,3154
2020-06-28,2044,2156,2213,2541,2908,2990,3158
2020-06-29,2068,2177,2231,2563,2939,3012,3190
2020-06-30,2031,2138,2192,2519,2880,2961,3129
2020-07-01,2073,2188,2239,2567,2926,3011,3180
2020-07-02,2109,2228,2293,2633,3004,3081,3257
2020-07-03,2099,2207,2261,2598,2961,3035,3193
2020-07-04,2034,2141,2193,2522,2883,2969,3145
2020-07-05,2074,2191,2250,2578,2945,3021,3188
2020-07-06,2107,2220,2282,2611,2985,3063,3217
2020-07-07,2114,2237,2291,2633,3006,3089,3254
2020-07-08,2149,2273,2334,2676,3045,3135,3321
2020-07-09,1852,1945,2000,2316,2691,2809,3195
2020-07-10,1889,2001,2044,2359,2702,2792,2967
2020-07-11,1934,2043,2095,2406,2746,2816,2972
2020-07-12,1817,1916,1963,2263,2591,2665,2833
2020-07-13,1875,1984,2034,2338,2657,2737,2890
2020-07-14,1929,2062,2119,2433,2762,2837,2987
2020-07-15,1906,2012,2064,2371,2710,2781,2918
2020-07-16,1953,2071,2128,2442,2775,2853,3000
2020-07-17,1929,2030,2083,2390,2731,2804,2972
2020-07-18,1814,1911,1964,2258,2586,2665,2829
2020-07-19,1807,1902,1949,2240,2561,2632,2793
2020-07-20,1889,2007,2064,2366,2696,2766,2907
2020-07-21,1959,2112,2177,2502,2838,2909,3061
2020-07-22,2012,2136,2197,2516,2862,2937,3090
2020-07-23,2063,2188,2243,2571,2921,3005,3168
2020-07-24,2042,2146,2200,2521,2864,2946,3092
2020-07-25,1947,2044,2106,2424,2773,2857,3041
2020-07-26,1952,2054,2107,2418,2758,2843,3012
2020-07-27,1980,2099,2154,2468,2819,2898,3058
2020-07-28,2083,2209,2270,2608,2973,3046,3197
2020-07-29,2107,2223,2285,2617,2987,3066,3224
2020-07-30,2116,2230,2292,2622,2987,3067,3258
2020-07-31,2159,2276,2335,2677,3054,3136,3291
2020-08-01,2116,2228,2282,2616,2989,3070,3246
2020-08-02,2173,2293,2357,2697,3080,3157,3333
2020-08-03,2123,2247,2309,2653,3031,3118,3306
2020-08-04,2215,2330,2397,2748,3140,3223,3393
2020-08-05,2201,2317,2377,2732,3123,3201,3389
2020-08-06,2178,2295,2354,2701,3091,3171,3340
2020-08-07,2073,2187,2242,2578,2957,3043,3259
2020-08-08,1868,1967,2028,2350,2732,2850,3196
2020-08-09,1764,1860,1914,2212,2559,2663,2984
2020-08-10,1773,1873,1916,2207,2533,2608,2771
2020-08-11,1840,1949,2004,2304,2624,2696,2832
2020-08-12,1857,2026,2085,2394,2722,2790,2931
2020-08-13,1930,2092,2158,2481,2816,2894,3041
2020-08-14,1944,2064,2128,2442,2788,2852,3018
2020-08-15,1850,1955,2009,2307,2642,2721,2871
2020-08-16,1782,1880,1925,2218,2538,2608,2783
2020-08-17,1816,1915,1968,2262,2584,2659,2804
2020-08-18,1863,1983,2036,2338,2661,2735,2882
2020-08-19,1907,2025,2082,2385,2710,2783,2934
