Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,2,3,3,6,9,10,12
2020-03-02,3,3,4,7,10,11,12
2020-03-03,2,3,3,6,9,10,12
2020-03-04,1,2,2,5,8,9,10
2020-03-05,0,0,0,3,8,9,12
2020-03-06,2,3,3,5,9,9,11
2020-03-07,4,5,6,9,13,14,15
2020-03-08,2,3,3,6,10,10,12
2020-03-09,0,0,0,3,8,10,12
2020-03-10,3,4,5,8,12,13,14
2020-03-11,0,0,0,3,8,9,11
2020-03-12,0,0,0,3,7,8,10
2020-03-13,3,4,5,8,13,14,17
2020-03-14,3,4,4,7,11,12,14
2020-03-15,2,3,3,6,10,10,12
2020-03-16,3,4,4,7,11,12,13
2020-03-17,4,5,5,10,18,20,23
2020-03-18,4,5,6,9,14,15,16
2020-03-19,6,8,10,18,24,26,28
2020-03-20,8,9,10,15,21,22,24
2020-03-21,4,5,6,10,17,20,25
2020-03-22,9,11,12,17,23,24,27
2020-03-23,9,13,15,24,32,34,37
2020-03-24,11,14,16,29,42,44,47
2020-03-25,17,20,21,28,37,38,43
2020-03-26,22,24,26,34,42,45,49
2020-03-27,22,26,28,45,64,67,72
2020-03-28,31,35,36,46,57,60,65
2020-03-29,30,33,35,45,56,59,65
2020-03-30,46,53,56,70,84,87,93
2020-03-31,46,50,53,66,79,83,90
2020-04-01,33,38,40,63,93,98,109
2020-04-02,37,41,43,58,86,94,110
2020-04-03,39,42,44,57,73,78,95
2020-04-04,43,47,49,62,77,80,86
2020-04-05,52,59,62,77,93,97,103
2020-04-06,52,56,58,73,88,92,100
2020-04-07,61,67,70,86,103,107,115
2020-04-08,60,65,67,83,100,104,112
2020-04-09,42,54,60,87,115,122,133
2020-04-10,43,48,50,73,111,119,136
2020-04-11,35,39,40,61,105,116,134
2020-04-12,30,33,34,46,62,67,79
2020-04-13,24,27,28,41,63,68,77
2020-04-14,20,22,24,35,53,58,69
2020-04-15,15,17,19,31,49,52,60
2020-04-16,15,17,18,26,35,38,46
2020-04-17,18,23,26,37,47,49,53
2020-04-18,18,21,22,29,38,40,43
2020-04-19,15,18,19,26,34,35,39
2020-04-20,15,19,21,30,38,40,44
2020-04-21,15,18,19,26,34,36,39
2020-04-22,15,18,19,26,34,36,39
2020-04-23,13,16,18,32,43,45,50
2020-04-24,16,19,21,28,37,38,42
2020-04-25,15,18,20,36,50,52,57
2020-04-26,16,21,24,41,54,56,61
2020-04-27,18,20,22,30,39,42,47
2020-04-28,20,24,26,41,64,67,72
2020-04-29,22,27,29,51,69,71,76
2020-04-30,27,33,38,62,77,80,85
2020-05-01,44,48,51,62,75,77,83
2020-05-02,45,50,52,64,77,80,86
2020-05-03,51,56,59,72,86,89,95
2020-05-04,41,45,47,60,76,81,92
2020-05-05,56,62,65,79,95,99,105
2020-05-06,42,46,49,63,83,90,106
2020-05-07,49,53,55,69,84,88,97
2020-05-08,47,52,54,67,83,86,96
2020-05-09,55,59,62,76,92,96,103
2020-05-10,60,66,69,84,101,105,112
2020-05-11,44,49,51,66,90,99,113
2020-05-12,62,69,72,89,106,110,118
2020-05-13,65,79,85,105,126,130,139
2020-05-14,76,84,88,107,128,132,140
2020-05-15,50,56,60,97,137,144,160
2020-05-16,56,62,63,83,116,129,152
2020-05-17,69,85,98,127,154,160,173
2020-05-18,100,113,117,142,167,174,186
2020-05-19,57,65,71,122,168,177,193
2020-05-20,87,94,98,121,147,154,171
2020-05-21,110,118,122,147,174,180,190
2020-05-22,77,83,87,107,131,137,151
2020-05-23,85,96,101,137,176,186,213
2020-05-24,99,118,132,171,206,211,223
2020-05-25,123,133,137,163,192,199,212
2020-05-26,155,166,170,199,233,240,252
2020-05-27,145,167,180,239,284,293,309
2020-05-28,170,198,217,277,325,336,355
2020-05-29,195,223,239,337,407,418,443
2020-05-30,244,260,268,317,373,385,413
2020-05-31,225,239,247,295,351,376,448
2020-06-01,309,332,341,399,464,478,509
2020-06-02,322,377,400,475,551,569,605
2020-06-03,339,382,406,610,761,783,825
2020-06-04,493,547,566,662,765,787,834
2020-06-05,590,685,744,891,1024,1051,1102
2020-06-06,737,845,907,1100,1264,1295,1344
2020-06-07,980,1041,1070,1228,1396,1430,1500
2020-06-08,980,1031,1057,1222,1416,1463,1595
2020-06-09,869,961,1038,1465,1814,1879,2025
2020-06-10,1019,1065,1106,1361,1798,1914,2130
2020-06-11,1074,1136,1168,1365,1596,1661,1881
2020-06-12,996,1049,1072,1257,1496,1589,1777
2020-06-13,1031,1087,1114,1295,1502,1566,1750
2020-06-14,1071,1123,1155,1332,1535,1581,1693
2020-06-15,999,1048,1077,1248,1451,1519,1717
2020-06-16,1110,1175,1206,1386,1584,1627,1716
2020-06-17,1186,1261,1296,1490,1706,1751,1837
2020-06-18,1175,1235,1270,1461,1671,1715,1815
2020-06-19,1239,1331,1368,1572,1792,1841,1936
2020-06-20,1261,1433,1495,1728,1973,2023,2147
2020-06-21,1320,1394,1435,1649,1883,1935,2044
2020-06-22,1390,1486,1525,1750,1995,2048,2149
2020-06-23,1425,1513,1557,1783,2037,2091,2213
2020-06-24,1442,1648,1731,2010,2294,2341,2467
2020-06-25,1524,1743,1874,2196,2516,2571,2727
2020-06-26,1657,1751,1796,2070,2361,2430,2567
2020-06-27,1685,1771,1822,2094,2396,2463,2591
2020-06-28,1723,1818,1866,2145,2450,2515,2655
2020-06-29,1517,1602,1640,1909,2213,2300,2569
2020-06-30,1596,1689,1730,1992,2284,2348,2489
2020-07-01,1662,1875,1942,2245,2565,2631,2768
2020-07-02,1711,1825,1872,2154,2467,2529,2665
2020-07-03,1777,1901,1953,2241,2552,2619,2758
2020-07-04,1813,1929,1986,2277,2594,2663,2806
2020-07-05,1733,1833,1885,2163,2474,2543,2713
2020-07-06,1560,1643,1687,1946,2253,2330,2532
2020-07-07,1714,1908,1973,2273,2596,2666,2803
2020-07-08,1731,1981,2111,2479,2838,2911,3066
2020-07-09,1780,1874,1926,2222,2537,2608,2769
2020-07-10,1892,2153,2250,2609,2972,3042,3217
2020-07-11,2095,2230,2290,2625,2986,3056,3217
2020-07-12,1952,2046,2098,2417,2764,2848,3034
2020-07-13,1888,1986,2039,2349,2695,2771,2948
2020-07-14,1754,1838,1887,2192,2528,2618,2872
2020-07-15,1751,1852,1897,2188,2509,2584,2738
2020-07-16,1821,1917,1968,2261,2582,2650,2793
2020-07-17,1690,1774,1821,2092,2393,2461,2595
2020-07-18,1666,1759,1802,2073,2371,2440,2579
2020-07-19,1739,1865,1922,2210,2524,2585,2730
2020-07-20,1720,1811,1861,2139,2450,2518,2663
2020-07-21,1762,1944,2010,2314,2641,2714,2839
2020-07-22,1824,2062,2145,2482,2820,2891,3067
2020-07-23,1892,1999,2052,2350,2682,2759,2910
2020-07-24,1957,2073,2127,2440,2780,2856,3010
2020-07-25,2063,2259,2332,2684,3049,3133,3310
2020-07-26,2025,2136,2192,2513,2870,2946,3122
2020-07-27,2075,2185,2244,2574,2945,3027,3193
2020-07-28,2182,2302,2364,2707,3083,3168,3334
2020-07-29,2291,2437,2515,2874,3272,3349,3522
2020-07-30,2352,2491,2553,2925,3334,3418,3617
2020-07-31,2531,2714,2797,3199,3638,3732,3925
2020-08-01,1983,2099,2163,2663,3540,3747,4129
2020-08-02,2117,2224,2287,2651,3064,3182,3528
2020-08-03,2229,2356,2415,2779,3180,3267,3460
2020-08-04,2277,2405,2472,2838,3238,3330,3513
2020-08-05,2269,2414,2479,2846,3263,3353,3525
2020-08-06,2391,2537,2604,2987,3407,3501,3681
2020-08-07,2524,2749,2839,3262,3711,3797,4002
2020-08-08,2623,2772,2852,3260,3707,3812,4018
2020-08-09,2353,2478,2538,2943,3391,3501,3823
2020-08-10,2689,2872,2948,3371,3841,3938,4151
2020-08-11,2726,2872,2943,3376,3841,3946,4159
2020-08-12,2745,2929,3001,3441,3928,4035,4241
2020-08-13,2976,3157,3240,3712,4229,4333,4585
2020-08-14,3116,3309,3392,3895,4437,4548,4776
2020-08-15,3318,3514,3615,4136,4699,4808,5056
2020-08-16,3462,3653,3747,4284,4858,4997,5278
2020-08-17,2909,3082,3160,3701,4448,4750,5335
2020-08-18,3541,3761,3869,4447,5063,5200,5454
2020-08-19,3439,3600,3688,4227,4822,4946,5254
2020-08-20,3362,3541,3638,4179,4779,4916,5213
2020-08-21,3510,3698,3789,4341,4947,5089,5397
2020-08-22,3339,3525,3624,4159,4753,4897,5219
2020-08-23,2974,3130,3213,3736,4387,4657,5291
2020-08-24,3042,3206,3292,3809,4379,4491,4816
2020-08-25,3167,3356,3446,3950,4511,4629,4889
2020-08-26,3112,3268,3358,3859,4411,4534,4797
2020-08-27,3004,3172,3249,3725,4258,4376,4629
2020-08-28,3125,3406,3502,4011,4562,4675,4928
2020-08-29,3085,3252,3339,3837,4390,4508,4768
2020-08-30,3032,3188,3275,3754,4279,4402,4658
2020-08-31,3032,3198,3280,3755,4276,4394,4610
2020-09-01,2822,2985,3066,3514,4023,4142,4366
2020-09-02,3006,3217,3311,3800,4327,4450,4674
2020-09-03,2914,3340,3576,4242,4869,4991,5271
2020-09-04,3154,3612,3865,4541,5192,5336,5576
2020-09-05,3602,3813,3922,4499,5114,5261,5544
2020-09-06,3204,3349,3432,3963,4563,4726,5203
2020-09-07,3476,3659,3764,4314,4925,5056,5339
2020-09-08,3714,3968,4084,4686,5331,5476,5767
2020-09-09,3522,3716,3814,4385,4997,5132,5433
2020-09-10,3701,3906,4002,4588,5235,5368,5653
2020-09-11,3570,3741,3841,4408,5040,5187,5531
2020-09-12,3460,3651,3747,4300,4918,5053,5395
2020-09-13,3138,3286,3367,3906,4514,4721,5283
2020-09-14,3370,3565,3654,4186,4779,4912,5197
2020-09-15,3372,3581,3671,4210,4816,4924,5190
2020-09-16,3441,3642,3737,4287,4892,5020,5281
2020-09-17,3454,3648,3744,4286,4885,5008,5280
2020-09-18,3433,3630,3734,4284,4881,5012,5296
2020-09-19,3267,3439,3526,4056,4642,4770,5044
2020-09-20,2980,3136,3219,3716,4283,4418,4791
2020-09-21,3109,3280,3361,3863,4410,4525,4756
2020-09-22,3169,3608,3758,4354,4964,5107,5393
2020-09-23,3389,3812,3986,4639,5258,5389,5638
2020-09-24,3578,3780,3877,4438,5066,5189,5456
2020-09-25,3661,3868,3978,4552,5185,5308,5591
2020-09-26,3540,3725,3826,4393,5022,5167,5451
2020-09-27,3125,3275,3349,3897,4548,4773,5365
2020-09-28,3382,3554,3642,4181,4772,4899,5180
2020-09-29,3563,3834,3943,4522,5144,5275,5570
2020-09-30,3663,3880,3981,4571,5206,5348,5639
2020-10-01,3646,3837,3937,4504,5132,5276,5552
2020-10-02,3787,4007,4111,4700,5355,5482,5806
2020-10-03,3253,3426,3518,4075,4714,4913,5479
2020-10-04,2900,3076,3160,3708,4478,4809,5396
2020-10-05,3131,3302,3381,3894,4458,4583,4880
2020-10-06,3240,3454,3548,4080,4653,4779,5034
2020-10-07,3162,3341,3425,3933,4507,4630,4854
2020-10-08,2946,3104,3185,3666,4203,4325,4601
2020-10-09,2732,2871,2950,3413,3926,4042,4353
2020-10-10,2182,2306,2371,2893,3819,4043,4517
2020-10-11,1962,2070,2133,2512,3035,3278,3755
2020-10-12,2099,2405,2507,2916,3357,3450,3665
2020-10-13,1919,2168,2325,3315,4005,4106,4461
2020-10-14,2265,2828,3037,3578,4136,4254,4498
2020-10-15,2776,2967,3050,3511,4012,4111,4349
2020-10-16,2793,2950,3034,3487,3971,4081,4308
2020-10-17,2676,2809,2875,3315,3795,3908,4158
2020-10-18,2592,2728,2797,3218,3692,3799,4031
2020-10-19,2758,3108,3240,3745,4269,4379,4602
2020-10-20,3009,3205,3291,3775,4297,4411,4642
