Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,2,4,5,5
2020-03-02,1,1,1,3,5,5,6
2020-03-03,1,2,2,3,6,6,7
2020-03-04,2,2,2,5,8,9,11
2020-03-05,2,2,3,5,7,8,9
2020-03-06,2,3,3,6,8,9,10
2020-03-07,2,3,3,5,8,9,10
2020-03-08,0,0,0,2,5,6,8
2020-03-09,2,3,3,6,9,9,11
2020-03-10,2,4,4,7,11,11,13
2020-03-11,3,4,5,9,13,14,16
2020-03-12,3,4,5,10,15,16,18
2020-03-13,4,5,6,11,17,19,22
2020-03-14,5,7,7,14,20,21,23
2020-03-15,7,8,9,13,18,19,21
2020-03-16,5,6,7,11,15,16,19
2020-03-17,7,9,10,17,27,30,33
2020-03-18,9,11,13,22,29,31,33
2020-03-19,12,14,15,24,33,35,39
2020-03-20,14,17,19,28,39,42,47
2020-03-21,17,20,22,37,53,56,60
2020-03-22,32,49,53,65,77,79,85
2020-03-23,20,22,24,37,64,70,79
2020-03-24,41,45,46,58,72,76,82
2020-03-25,48,57,62,79,96,99,108
2020-03-26,50,55,57,71,87,90,98
2020-03-27,63,68,71,87,105,109,118
2020-03-28,59,65,67,83,101,107,123
2020-03-29,52,58,60,82,118,126,142
2020-03-30,58,62,65,82,108,120,142
2020-03-31,46,50,52,83,123,131,149
2020-04-01,62,69,72,90,110,114,126
2020-04-02,72,78,82,99,120,124,133
2020-04-03,45,50,53,86,124,131,144
2020-04-04,45,49,51,71,110,119,138
2020-04-05,51,55,58,72,89,93,105
2020-04-06,53,58,61,75,91,95,103
2020-04-07,34,41,46,69,93,99,111
2020-04-08,31,36,38,61,89,95,108
2020-04-09,29,32,34,49,78,86,99
2020-04-10,22,25,27,36,48,51,58
2020-04-11,14,16,18,33,52,56,63
2020-04-12,11,13,14,24,42,47,55
2020-04-13,8,10,10,17,28,33,43
2020-04-14,6,7,8,13,19,21,25
2020-04-15,4,5,5,10,15,16,19
2020-04-16,5,6,7,11,15,16,18
