Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,1,1,1,1,3,3,4
2020-03-02,1,1,1,3,4,5,6
2020-03-03,1,1,1,2,4,4,5
2020-03-04,0,0,0,0,0,0,0
2020-03-05,1,1,2,3,5,6,6
2020-03-06,2,2,2,4,6,7,9
2020-03-07,1,2,2,5,7,8,9
2020-03-08,2,2,3,5,8,8,10
2020-03-09,1,1,2,4,6,6,8
2020-03-10,3,3,4,6,10,11,13
2020-03-11,0,0,0,2,5,6,8
2020-03-12,3,3,4,8,13,15,17
2020-03-13,4,5,6,12,19,20,23
2020-03-14,4,5,6,12,19,20,23
2020-03-15,6,7,8,13,20,22,26
2020-03-16,8,10,11,16,23,24,27
2020-03-17,8,10,11,18,29,31,34
2020-03-18,12,14,15,23,32,34,38
2020-03-19,10,12,13,18,25,26,29
2020-03-20,33,33,33,35,36,36,36
2020-03-21,24,27,29,39,50,53,57
2020-03-22,27,31,33,43,56,58,64
2020-03-23,74,78,80,92,106,109,114
2020-03-24,59,63,65,77,90,93,99
2020-03-25,303,316,326,334,351,351,351
2020-03-26,92,101,105,131,159,166,177
2020-03-27,112,123,128,160,195,202,216
2020-03-28,131,144,150,186,226,234,251
2020-03-29,289,302,308,347,386,396,415
2020-03-30,330,344,352,397,446,456,480
2020-03-31,440,460,471,528,590,606,625
2020-04-01,348,380,397,524,632,647,680
2020-04-02,464,521,546,637,723,740,774
2020-04-03,511,538,551,635,726,746,789
2020-04-04,447,491,508,734,930,965,1036
2020-04-05,522,556,577,713,964,1019,1111
2020-04-06,475,505,526,785,1102,1159,1287
2020-04-07,512,578,615,841,1082,1138,1267
2020-04-08,582,640,670,911,1190,1250,1379
2020-04-09,582,632,659,844,1081,1140,1257
2020-04-10,544,606,648,798,962,983,1043
2020-04-11,445,465,496,728,843,843,843
2020-04-12,521,548,563,647,739,759,797
2020-04-13,462,479,494,582,681,718,802
2020-04-14,416,448,463,617,794,832,898
2020-04-15,428,490,517,654,810,844,908
2020-04-16,419,477,501,642,808,838,908
2020-04-17,357,397,428,580,747,786,858
2020-04-18,296,315,327,397,533,572,644
2020-04-19,268,282,290,341,397,410,442
2020-04-20,255,269,277,324,376,388,413
2020-04-21,225,238,245,288,335,346,368
2020-04-22,176,189,195,232,272,281,304
2020-04-23,140,164,183,241,286,294,310
2020-04-24,133,160,178,220,261,269,286
2020-04-25,121,130,135,163,193,200,216
2020-04-26,70,76,79,103,142,157,184
2020-04-27,63,82,91,116,142,146,159
2020-04-28,49,59,65,121,163,167,182
2020-04-29,54,63,67,85,105,109,118
2020-04-30,46,55,60,101,136,141,153
2020-05-01,48,64,74,102,126,132,141
2020-05-02,42,47,50,65,84,92,113
2020-05-03,22,25,27,44,78,86,100
2020-05-04,32,37,39,51,65,68,76
2020-05-05,22,24,26,35,46,48,53
2020-05-06,18,23,27,50,64,68,73
2020-05-07,22,31,36,51,64,67,71
2020-05-08,23,26,27,36,47,49,56
2020-05-09,14,16,18,26,40,45,54
2020-05-10,18,20,21,29,38,40,44
2020-05-11,18,23,25,34,43,45,50
2020-05-12,15,17,18,25,33,35,40
2020-05-13,16,22,24,33,42,44,48
2020-05-14,14,16,17,24,32,34,38
2020-05-15,9,10,11,18,27,30,37
2020-05-16,4,6,7,16,28,31,36
2020-05-17,8,10,11,16,23,24,28
2020-05-18,11,14,16,22,30,32,35
2020-05-19,12,14,15,21,27,29,32
2020-05-20,9,10,11,17,23,24,28
2020-05-21,9,11,12,17,24,25,28
2020-05-22,10,12,13,18,25,26,29
2020-05-23,4,5,6,12,22,25,29
2020-05-24,7,8,9,14,20,21,24
2020-05-25,9,12,13,19,25,26,29
2020-05-26,9,10,11,20,36,39,43
2020-05-27,9,12,14,28,39,42,46
2020-05-28,13,16,18,30,49,55,63
2020-05-29,20,23,25,37,51,55,62
2020-05-30,20,22,24,32,42,45,51
2020-05-31,44,51,54,67,80,83,89
2020-06-01,60,65,67,80,94,97,105
2020-06-02,52,61,66,95,116,119,128
2020-06-03,70,76,79,96,115,119,128
2020-06-04,88,101,106,128,151,156,165
2020-06-05,98,106,109,131,155,160,172
2020-06-06,81,89,94,139,189,198,216
2020-06-07,113,121,125,151,181,189,210
2020-06-08,138,147,152,180,212,219,234
2020-06-09,143,151,156,186,218,225,241
2020-06-10,179,192,199,234,272,280,298
2020-06-11,166,177,184,220,265,280,314
2020-06-12,167,178,184,224,288,310,350
2020-06-13,151,165,174,251,340,360,402
2020-06-14,152,167,180,277,373,395,444
2020-06-15,173,185,192,235,316,353,410
2020-06-16,220,238,245,291,341,353,378
2020-06-17,218,231,238,281,327,337,358
2020-06-18,235,251,260,303,352,364,388
2020-06-19,247,261,270,315,366,376,399
2020-06-20,185,209,229,323,411,430,467
2020-06-21,165,184,197,307,421,443,484
2020-06-22,256,280,289,344,404,417,447
2020-06-23,327,348,359,419,484,498,524
2020-06-24,364,385,395,458,525,539,568
2020-06-25,372,408,422,491,566,585,615
2020-06-26,375,398,409,476,551,566,599
2020-06-27,342,363,374,440,514,536,596
2020-06-28,332,351,361,424,494,514,572
2020-06-29,326,357,375,531,699,729,761
2020-06-30,352,396,425,654,809,842,873
2020-07-01,412,520,598,852,990,1017,1074
2020-07-02,639,763,832,999,1140,1168,1217
2020-07-03,776,818,841,961,1092,1117,1169
2020-07-04,733,773,795,925,1076,1120,1227
2020-07-05,728,777,798,933,1091,1136,1253
2020-07-06,887,943,969,1114,1269,1303,1370
2020-07-07,975,1083,1121,1286,1460,1500,1570
2020-07-08,1050,1111,1140,1304,1483,1526,1593
2020-07-09,1156,1236,1271,1455,1653,1697,1783
2020-07-10,1164,1224,1257,1437,1644,1690,1776
2020-07-11,1043,1104,1134,1323,1547,1624,1827
2020-07-12,1076,1130,1163,1345,1552,1605,1746
2020-07-13,1237,1359,1404,1620,1845,1892,1994
2020-07-14,1281,1354,1390,1596,1823,1873,1973
2020-07-15,1408,1510,1552,1781,2019,2071,2167
2020-07-16,1480,1580,1624,1864,2125,2185,2293
2020-07-17,1370,1440,1481,1706,1959,2017,2163
2020-07-18,1283,1345,1380,1600,1863,1941,2167
2020-07-19,1015,1083,1119,1549,2062,2159,2352
2020-07-20,1314,1497,1555,1815,2101,2156,2277
2020-07-21,1525,1619,1671,1925,2207,2255,2386
2020-07-22,1601,1687,1731,1985,2267,2325,2442
2020-07-23,1585,1677,1720,1976,2257,2321,2447
2020-07-24,1515,1595,1637,1890,2167,2229,2362
2020-07-25,1156,1221,1256,1772,2323,2426,2613
