Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,1,1,1,1,3,3,4
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,6
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,2,3,5,5,6
2020-03-16,1,1,2,3,5,6,7
2020-03-17,1,2,2,3,5,6,7
2020-03-18,2,2,2,4,6,6,8
2020-03-19,2,2,2,4,8,9,11
2020-03-20,3,4,5,8,12,12,14
2020-03-21,0,0,0,1,4,5,6
2020-03-22,3,4,5,9,14,16,19
2020-03-23,4,5,6,11,15,16,18
2020-03-24,5,7,8,16,22,23,27
2020-03-25,8,10,11,15,21,22,24
2020-03-26,8,10,11,20,30,32,35
2020-03-27,12,14,15,21,27,29,32
2020-03-28,8,9,10,16,23,24,30
2020-03-29,9,10,11,17,23,25,30
2020-03-30,7,8,9,16,26,29,34
2020-03-31,5,7,8,16,28,30,36
2020-04-01,4,5,6,16,28,31,36
2020-04-02,11,13,14,20,28,29,33
2020-04-03,7,9,9,14,20,22,25
2020-04-04,8,9,10,15,21,22,25
2020-04-05,11,13,14,20,27,28,31
2020-04-06,4,5,6,14,25,27,33
2020-04-07,3,4,5,12,22,25,32
2020-04-08,3,4,5,9,16,19,25
2020-04-09,6,8,8,13,18,20,22
2020-04-10,0,1,1,8,15,17,20
2020-04-11,4,5,5,9,14,15,17
2020-04-12,3,4,5,8,13,13,15
2020-04-13,1,1,2,4,8,9,11
2020-04-14,2,3,3,6,10,11,12
2020-04-15,1,2,2,5,8,9,11
2020-04-16,1,1,1,3,6,7,9
2020-04-17,1,2,2,5,7,8,10
2020-04-18,2,2,3,5,8,8,10
2020-04-19,1,2,2,4,7,7,9
2020-04-20,2,3,3,6,9,10,11
