Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,2,4,4,5
2020-03-14,1,1,1,2,3,3,4
2020-03-15,1,1,1,2,4,4,5
2020-03-16,1,1,1,1,3,3,4
2020-03-17,2,2,2,4,6,6,7
2020-03-18,1,1,1,2,3,4,5
2020-03-19,2,2,3,4,7,7,8
2020-03-20,1,2,2,4,6,6,8
2020-03-21,1,1,2,3,6,6,8
2020-03-22,2,3,3,5,8,9,10
2020-03-23,1,1,1,3,5,6,8
2020-03-24,2,3,4,7,10,11,12
2020-03-25,3,4,4,7,11,11,13
2020-03-26,4,5,5,10,16,18,22
2020-03-27,5,6,7,11,17,19,24
2020-03-28,8,9,10,16,23,24,27
2020-03-29,10,11,12,20,29,31,38
2020-03-30,11,13,13,19,26,27,30
2020-03-31,22,24,26,33,41,42,46
2020-04-01,23,25,26,34,42,44,48
2020-04-02,24,30,33,45,56,58,62
2020-04-03,22,25,27,36,47,51,58
2020-04-04,35,43,46,58,70,73,78
2020-04-05,39,42,44,55,68,70,76
2020-04-06,51,56,59,72,87,90,96
2020-04-07,35,40,42,66,95,101,112
2020-04-08,34,41,44,77,106,112,125
2020-04-09,44,47,50,66,92,104,125
2020-04-10,31,34,37,56,87,95,115
2020-04-11,41,45,46,59,72,76,84
2020-04-12,51,59,62,77,93,96,104
2020-04-13,46,53,57,96,131,137,146
2020-04-14,58,72,85,122,148,154,164
2020-04-15,50,55,57,88,142,153,175
2020-04-16,75,81,85,107,133,138,154
2020-04-17,95,106,111,135,161,167,179
2020-04-18,64,69,72,99,144,154,171
2020-04-19,54,58,62,90,140,150,171
2020-04-20,70,83,91,148,186,192,204
