Date,RhatCILo1,RhatCILo2,RhatCIlo3,Rhat,RhatCIUp3,RhatCIUp2,RhatCIUp1
2020-03-01,0.99,0.99,0.99,1,1.01,1.01,1.01
2020-03-02,0.97,0.98,0.98,1,1.02,1.02,1.03
2020-03-03,0.95,0.96,0.97,1,1.03,1.04,1.05
2020-03-04,0.93,0.95,0.96,1,1.04,1.05,1.07
2020-03-05,0.91,0.93,0.94,1,1.06,1.07,1.09
2020-03-06,0.88,0.91,0.93,1,1.08,1.09,1.12
2020-03-07,0.85,0.89,0.91,1,1.09,1.11,1.15
2020-03-08,0.83,0.87,0.89,1,1.11,1.13,1.17
2020-03-09,0.8,0.85,0.87,1,1.13,1.15,1.2
2020-03-10,0.76,0.82,0.85,1,1.15,1.18,1.23
2020-03-11,0.73,0.8,0.83,1,1.16,1.2,1.27
2020-03-12,0.7,0.78,0.81,1,1.18,1.22,1.3
2020-03-13,0.68,0.75,0.79,1,1.2,1.24,1.32
2020-03-14,0.64,0.73,0.77,1,1.22,1.26,1.35
2020-03-15,0.62,0.71,0.75,1,1.23,1.28,1.38
2020-03-16,0.59,0.69,0.74,1,1.25,1.3,1.41
2020-03-17,0.57,0.67,0.72,1,1.27,1.32,1.44
2020-03-18,0.55,0.65,0.7,1,1.29,1.35,1.48
2020-03-19,0.51,0.63,0.69,1,1.3,1.36,1.51
2020-03-20,0.48,0.61,0.67,1,1.32,1.39,1.53
2020-03-21,0.45,0.58,0.66,1,1.34,1.41,1.55
2020-03-22,0.41,0.56,0.64,1,1.36,1.44,1.59
2020-03-23,0.4,0.54,0.62,1,1.38,1.46,1.63
2020-03-24,0.39,0.53,0.63,1.03,1.45,1.55,1.71
2020-03-25,0.36,0.55,0.64,1.07,1.5,1.6,1.73
2020-03-26,0.39,0.59,0.68,1.12,1.56,1.67,1.78
2020-03-27,0.32,0.53,0.63,1.09,1.53,1.61,1.73
2020-03-28,0.49,0.71,0.83,1.22,1.65,1.72,1.83
2020-03-29,0.61,0.83,0.91,1.28,1.68,1.75,1.88
2020-03-30,0.83,0.96,1.02,1.39,1.77,1.85,1.94
2020-03-31,0.94,1.05,1.1,1.49,1.87,1.92,2.06
2020-04-01,1.04,1.16,1.24,1.61,1.96,2.04,2.1
2020-04-02,1.14,1.27,1.33,1.71,2.04,2.08,2.12
2020-04-03,1.21,1.33,1.41,1.76,2.06,2.09,2.13
2020-04-04,1.14,1.22,1.29,1.65,2,2.06,2.13
2020-04-05,1.18,1.33,1.39,1.72,2.04,2.09,2.15
2020-04-06,1.26,1.37,1.42,1.75,2.05,2.11,2.16
2020-04-07,1.25,1.36,1.41,1.73,2.04,2.09,2.18
2020-04-08,1.17,1.27,1.32,1.63,1.97,2.02,2.13
2020-04-09,1.03,1.16,1.21,1.52,1.86,1.94,2.06
2020-04-10,0.86,1.04,1.08,1.4,1.73,1.8,1.95
2020-04-11,0.8,0.88,0.97,1.28,1.61,1.68,1.84
2020-04-12,0.73,0.81,0.87,1.18,1.5,1.56,1.69
2020-04-13,0.71,0.81,0.89,1.17,1.48,1.54,1.65
2020-04-14,0.67,0.78,0.85,1.12,1.42,1.48,1.58
2020-04-15,0.65,0.76,0.82,1.09,1.38,1.43,1.54
2020-04-16,0.64,0.75,0.79,1.06,1.35,1.4,1.5
2020-04-17,0.67,0.75,0.8,1.07,1.35,1.4,1.5
2020-04-18,0.71,0.8,0.85,1.12,1.39,1.44,1.54
2020-04-19,0.66,0.76,0.81,1.07,1.33,1.39,1.49
2020-04-20,0.66,0.75,0.8,1.05,1.31,1.37,1.47
2020-04-21,0.7,0.78,0.83,1.08,1.34,1.4,1.49
2020-04-22,0.64,0.71,0.76,1.02,1.27,1.33,1.44
2020-04-23,0.68,0.77,0.82,1.07,1.33,1.38,1.47
2020-04-24,0.72,0.81,0.85,1.09,1.35,1.4,1.5
2020-04-25,0.66,0.74,0.78,1.03,1.27,1.33,1.43
2020-04-26,0.65,0.73,0.77,1.02,1.26,1.31,1.41
2020-04-27,0.61,0.69,0.73,0.97,1.21,1.26,1.36
2020-04-28,0.6,0.68,0.72,0.96,1.2,1.25,1.35
2020-04-29,0.59,0.66,0.71,0.94,1.18,1.23,1.32
2020-04-30,0.6,0.68,0.72,0.94,1.18,1.23,1.33
2020-05-01,0.64,0.71,0.75,0.98,1.22,1.26,1.37
2020-05-02,0.69,0.78,0.83,1.06,1.32,1.37,1.49
2020-05-03,0.78,0.88,0.92,1.17,1.45,1.54,1.62
2020-05-04,0.87,0.95,1,1.25,1.55,1.61,1.64
2020-05-05,0.95,1.05,1.09,1.4,1.65,1.67,1.69
2020-05-06,1.07,1.19,1.27,1.54,1.69,1.71,1.73
2020-05-07,1.07,1.17,1.24,1.52,1.71,1.73,1.76
2020-05-08,0.94,1.03,1.07,1.38,1.68,1.72,1.77
2020-05-09,0.96,1.04,1.09,1.36,1.64,1.69,1.76
2020-05-10,0.94,1.01,1.06,1.3,1.54,1.59,1.68
2020-05-11,0.95,1.02,1.06,1.29,1.51,1.56,1.64
2020-05-12,0.85,0.93,0.98,1.2,1.43,1.48,1.57
2020-05-13,0.83,0.9,0.95,1.16,1.38,1.42,1.52
2020-05-14,0.8,0.86,0.91,1.13,1.34,1.38,1.46
2020-05-15,0.78,0.86,0.89,1.1,1.32,1.36,1.44
2020-05-16,0.83,0.91,0.96,1.19,1.42,1.45,1.56
2020-05-17,0.9,0.99,1.05,1.3,1.56,1.58,1.67
2020-05-18,0.86,0.95,0.99,1.23,1.46,1.52,1.62
2020-05-19,0.99,1.07,1.11,1.32,1.56,1.61,1.71
2020-05-20,1.08,1.16,1.2,1.43,1.67,1.72,1.76
2020-05-21,1.18,1.28,1.33,1.54,1.74,1.77,1.8
2020-05-22,1.18,1.26,1.3,1.52,1.75,1.77,1.81
2020-05-23,1.04,1.14,1.17,1.42,1.69,1.75,1.81
2020-05-24,0.98,0.98,1.05,1.33,1.66,1.72,1.81
2020-05-25,1.05,1.13,1.18,1.43,1.68,1.73,1.83
2020-05-26,1.07,1.15,1.19,1.39,1.6,1.64,1.73
2020-05-27,1.18,1.29,1.33,1.53,1.74,1.8,1.86
2020-05-28,1.3,1.38,1.42,1.63,1.84,1.87,1.95
2020-05-29,1.36,1.43,1.46,1.66,1.85,1.89,1.96
2020-05-30,1.39,1.45,1.49,1.68,1.87,1.9,1.97
2020-05-31,1.28,1.37,1.4,1.62,1.85,1.88,1.96
2020-06-01,1.19,1.28,1.33,1.59,1.85,1.89,1.96
