Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,1,1,1,1,3,3,4
2020-03-14,0,0,0,0,0,0,0
2020-03-15,1,1,1,2,3,3,4
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,5,5
2020-03-18,0,0,0,0,0,0,0
2020-03-19,1,1,1,2,4,4,5
2020-03-20,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0
2020-03-22,1,1,2,3,5,6,7
2020-03-23,1,1,1,1,3,3,4
2020-03-24,1,1,2,4,6,6,7
2020-03-25,1,1,1,2,4,4,6
2020-03-26,1,1,1,2,4,5,6
2020-03-27,0,0,0,1,2,3,4
2020-03-28,1,2,2,4,7,7,8
2020-03-29,1,1,2,3,6,6,8
2020-03-30,2,3,3,5,8,9,10
2020-03-31,2,3,4,6,10,10,12
2020-04-01,3,4,4,9,16,17,19
2020-04-02,4,5,6,11,19,21,24
2020-04-03,5,6,7,11,16,17,19
2020-04-04,2,3,4,7,11,13,17
2020-04-05,7,9,9,14,19,20,23
2020-04-06,7,9,10,15,21,22,25
2020-04-07,8,9,10,15,21,22,25
2020-04-08,5,6,6,12,19,22,27
2020-04-09,4,5,5,11,19,22,27
2020-04-10,3,4,5,10,17,19,25
2020-04-11,2,2,3,8,17,19,23
2020-04-12,3,4,4,8,13,14,18
2020-04-13,5,6,7,11,15,16,19
2020-04-14,4,5,5,9,13,14,16
2020-04-15,4,5,6,9,14,15,17
2020-04-16,4,5,6,9,14,15,17
2020-04-17,5,6,7,11,15,17,19
2020-04-18,6,8,8,13,18,19,22
2020-04-19,4,5,6,9,14,15,18
2020-04-20,5,6,7,11,16,17,19
