Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,1,1,1,1
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0
2020-03-18,1,1,1,2,3,4,5
2020-03-19,0,0,0,0,0,0,0
2020-03-20,1,1,1,2,3,4,5
2020-03-21,1,1,2,3,5,6,7
2020-03-22,0,0,0,0,0,0,0
2020-03-23,1,1,1,2,3,3,4
2020-03-24,2,2,3,4,6,7,8
2020-03-25,1,1,1,2,4,4,5
2020-03-26,0,0,0,0,2,3,3
2020-03-27,3,4,5,7,10,10,12
2020-03-28,0,0,0,1,4,4,6
2020-03-29,3,3,3,6,10,10,13
2020-03-30,2,3,4,7,10,11,13
2020-03-31,4,5,6,9,13,14,16
2020-04-01,2,2,3,5,9,10,11
2020-04-02,2,3,3,6,10,11,14
2020-04-03,5,6,7,11,16,17,19
2020-04-04,6,7,8,12,17,18,21
2020-04-05,2,3,3,7,14,16,20
2020-04-06,8,9,10,17,24,26,30
2020-04-07,6,8,9,13,19,20,24
2020-04-08,12,18,22,30,40,41,45
2020-04-09,7,9,9,15,21,23,26
2020-04-10,11,13,14,20,27,29,33
2020-04-11,15,20,22,33,42,44,48
2020-04-12,20,25,26,35,45,47,51
2020-04-13,26,29,31,40,50,52,57
2020-04-14,14,18,21,39,58,62,69
2020-04-15,16,18,20,34,57,63,72
2020-04-16,13,15,16,27,50,58,70
2020-04-17,15,17,18,26,35,37,42
2020-04-18,12,13,14,21,30,33,41
2020-04-19,14,18,21,36,48,51,54
2020-04-20,10,12,13,21,33,37,45
