Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,479,503,516,588,664,682,712
2020-03-02,483,508,522,594,671,687,719
2020-03-03,457,503,527,671,786,805,841
2020-03-04,408,431,443,521,625,661,718
2020-03-05,417,440,453,523,604,624,683
2020-03-06,428,451,463,533,611,628,665
2020-03-07,390,410,422,492,570,591,638
2020-03-08,303,332,353,498,627,654,709
2020-03-09,321,355,376,492,619,646,700
2020-03-10,294,327,344,469,606,635,698
2020-03-11,220,240,246,298,388,424,493
2020-03-12,127,138,143,187,292,292,292
2020-03-13,112,121,125,150,177,183,195
2020-03-14,99,106,110,136,175,186,209
2020-03-15,71,77,79,103,142,151,168
2020-03-16,58,63,66,81,99,103,114
2020-03-17,48,57,61,77,93,97,104
2020-03-18,32,41,47,75,95,98,105
2020-03-19,28,35,37,58,81,87,114
2020-03-20,24,32,36,66,91,99,99
2020-03-21,25,31,34,74,123,128,138
2020-03-22,42,50,54,82,112,119,132
2020-03-23,31,38,42,69,94,98,107
2020-03-24,52,57,59,73,88,90,97
2020-03-25,64,68,70,84,99,102,109
2020-03-26,66,70,73,87,103,105,112
2020-03-27,54,63,66,81,97,100,106
2020-03-28,45,52,55,79,112,117,130
2020-03-29,53,64,71,91,109,112,120
2020-03-30,57,62,65,79,96,99,106
2020-03-31,73,83,88,106,125,129,137
2020-04-01,72,78,81,98,116,120,129
2020-04-02,68,73,76,93,111,115,125
2020-04-03,68,72,76,92,111,115,125
2020-04-04,72,77,80,97,116,120,129
2020-04-05,65,70,73,90,109,114,126
2020-04-06,49,54,58,90,126,133,149
2020-04-07,45,51,53,84,124,132,148
2020-04-08,44,49,51,69,102,114,136
2020-04-09,35,39,41,57,84,91,108
2020-04-10,28,32,34,56,83,89,101
2020-04-11,27,31,32,47,72,79,91
2020-04-12,27,30,31,41,54,58,70
2020-04-13,22,24,26,35,47,52,61
2020-04-14,21,24,25,34,44,47,55
2020-04-15,20,22,24,32,41,43,49
2020-04-16,16,18,20,27,36,38,44
2020-04-17,15,17,18,25,33,35,40
2020-04-18,12,14,15,21,29,31,35
2020-04-19,6,8,8,15,26,29,35
2020-04-20,8,9,10,15,21,23,26
2020-04-21,5,6,7,11,17,18,22
2020-04-22,5,7,7,11,16,18,20
2020-04-23,6,7,8,12,17,18,21
2020-04-24,4,6,6,10,15,16,18
2020-04-25,4,5,6,10,14,15,17
2020-04-26,4,5,6,9,14,15,17
2020-04-27,5,6,7,11,16,17,19
2020-04-28,4,5,5,9,13,14,16
2020-04-29,2,2,3,6,10,11,14
2020-04-30,3,4,5,8,12,13,15
2020-05-01,2,3,4,7,10,11,13
2020-05-02,4,5,6,10,14,15,17
2020-05-03,3,4,4,8,12,13,14
2020-05-04,1,2,2,5,9,10,13
2020-05-05,1,1,2,4,8,9,12
2020-05-06,1,2,2,5,8,9,11
2020-05-07,3,4,5,9,12,13,15
2020-05-08,3,5,5,11,16,17,19
2020-05-09,5,6,6,11,19,21,26
2020-05-10,5,6,7,13,23,25,28
2020-05-11,6,8,10,19,26,27,30
2020-05-12,13,15,16,22,28,30,33
2020-05-13,15,18,19,25,32,34,37
2020-05-14,16,18,19,26,33,35,39
2020-05-15,13,15,16,23,31,33,38
2020-05-16,10,12,13,21,34,37,44
2020-05-17,11,13,14,21,31,35,42
2020-05-18,10,11,12,20,30,33,40
2020-05-19,17,20,22,29,38,39,44
2020-05-20,10,12,13,20,33,36,43
2020-05-21,13,15,16,23,31,33,38
2020-05-22,15,17,18,25,32,34,38
2020-05-23,16,18,19,26,34,36,39
2020-05-24,12,13,15,21,30,33,39
2020-05-25,13,15,16,22,30,32,37
2020-05-26,17,22,24,33,42,44,48
2020-05-27,17,20,21,34,55,60,69
2020-05-28,20,25,29,46,60,63,69
2020-05-29,26,29,31,41,52,55,62
2020-05-30,20,23,24,33,44,47,60
2020-05-31,24,27,28,37,48,51,57
2020-06-01,26,29,30,40,50,52,57
2020-06-02,30,34,36,46,58,60,65
2020-06-03,27,31,32,42,53,55,62
2020-06-04,28,31,32,42,53,56,63
2020-06-05,33,37,39,49,61,64,69
2020-06-06,36,41,43,54,66,69,74
2020-06-07,29,32,34,44,56,60,68
2020-06-08,29,32,33,44,56,59,67
2020-06-09,34,37,39,50,62,64,70
2020-06-10,32,35,37,47,59,62,68
2020-06-11,36,40,42,53,66,68,74
2020-06-12,34,37,39,50,62,65,72
2020-06-13,26,29,31,41,54,58,68
2020-06-14,26,29,31,41,52,54,62
2020-06-15,24,27,28,38,48,51,58
2020-06-16,27,31,32,42,52,55,60
2020-06-17,26,34,38,50,62,65,69
2020-06-18,30,35,36,47,58,60,65
2020-06-19,30,38,42,56,69,72,77
2020-06-20,32,36,38,49,61,63,69
2020-06-21,18,21,23,43,65,69,78
2020-06-22,30,34,36,46,58,61,68
2020-06-23,33,37,39,50,62,64,70
2020-06-24,22,24,26,35,45,47,53
2020-06-25,26,29,30,40,50,52,57
2020-06-26,28,33,35,46,57,60,65
2020-06-27,28,35,39,52,64,67,72
2020-06-28,29,32,34,43,55,57,62
2020-06-29,29,32,34,44,55,57,62
2020-06-30,31,35,37,48,59,61,66
2020-07-01,33,37,40,50,62,64,70
2020-07-02,35,42,44,56,69,71,76
2020-07-03,39,44,46,58,71,74,79
2020-07-04,41,45,47,59,71,74,81
2020-07-05,35,38,40,51,64,67,74
2020-07-06,33,37,38,49,62,65,72
2020-07-07,40,45,48,59,72,75,81
2020-07-08,36,40,41,53,65,68,75
2020-07-09,33,37,39,50,62,65,73
2020-07-10,28,31,32,43,57,61,73
2020-07-11,31,34,36,46,58,60,67
2020-07-12,35,41,44,56,68,71,77
2020-07-13,26,29,30,40,53,57,66
2020-07-14,28,31,32,42,53,55,60
2020-07-15,31,38,41,53,65,68,74
2020-07-16,34,41,43,54,67,69,75
2020-07-17,29,32,34,44,56,59,66
2020-07-18,26,28,30,40,51,54,64
2020-07-19,20,23,24,34,46,51,61
2020-07-20,27,31,33,42,53,55,60
2020-07-21,26,33,37,52,65,67,73
2020-07-22,31,38,41,53,65,68,73
2020-07-23,29,32,34,44,56,58,64
2020-07-24,28,33,36,53,78,86,97
2020-07-25,36,41,43,55,68,71,78
2020-07-26,22,24,26,36,49,57,76
2020-07-27,21,24,25,34,44,46,52
2020-07-28,28,33,35,45,55,58,63
2020-07-29,16,18,19,31,49,54,62
2020-07-30,23,26,27,36,46,48,53
2020-07-31,20,23,24,33,42,44,49
2020-08-01,19,22,23,31,40,42,47
2020-08-02,16,18,19,27,35,38,44
2020-08-03,19,22,24,32,41,43,47
2020-08-04,19,22,23,31,40,42,46
2020-08-05,19,24,27,36,46,48,52
2020-08-06,15,17,18,25,34,37,43
2020-08-07,19,25,27,36,46,48,52
2020-08-08,22,24,26,34,43,45,49
2020-08-09,18,21,22,30,38,41,45
2020-08-10,21,24,25,33,42,44,49
2020-08-11,21,26,30,43,54,56,61
2020-08-12,25,32,35,47,59,61,67
2020-08-13,25,29,31,47,71,76,84
2020-08-14,29,34,36,52,71,75,83
2020-08-15,36,41,44,62,84,89,97
2020-08-16,45,52,55,74,97,100,111
2020-08-17,126,133,136,156,177,181,192
2020-08-18,158,166,170,192,216,221,230
2020-08-19,104,118,124,186,235,240,252
2020-08-20,123,135,142,187,250,260,283
2020-08-21,145,163,173,249,307,315,330
2020-08-22,202,227,245,322,377,386,405
2020-08-23,229,242,249,293,341,352,376
2020-08-24,240,256,265,315,372,388,432
2020-08-25,271,287,296,347,406,421,461
2020-08-26,339,362,373,433,499,514,542
2020-08-27,321,341,353,416,491,514,572
2020-08-28,309,325,338,430,584,616,682
2020-08-29,295,322,332,467,649,684,759
2020-08-30,291,340,369,530,710,748,844
2020-08-31,298,364,393,546,727,766,855
2020-09-01,279,300,316,502,681,720,787
2020-09-02,249,283,305,429,567,605,671
2020-09-03,223,246,261,370,484,510,553
2020-09-04,218,249,269,361,471,494,547
2020-09-05,184,195,203,280,370,400,447
2020-09-06,171,207,218,279,343,357,386
2020-09-07,139,151,156,209,280,293,323
2020-09-08,136,145,150,179,211,220,243
2020-09-09,125,132,136,162,192,197,209
2020-09-10,115,131,137,164,193,199,212
2020-09-11,98,107,112,135,160,166,178
2020-09-12,86,94,98,118,141,146,156
2020-09-13,73,82,85,105,126,130,139
2020-09-14,63,74,79,97,116,121,131
2020-09-15,54,65,72,97,117,121,130
2020-09-16,43,50,55,85,129,135,146
2020-09-17,41,49,55,97,127,130,142
2020-09-18,51,73,79,99,117,121,129
2020-09-19,60,65,68,83,100,104,112
2020-09-20,52,57,59,73,90,93,101
2020-09-21,45,49,52,65,80,83,92
2020-09-22,41,48,53,83,105,109,116
2020-09-23,39,47,52,87,117,120,127
2020-09-24,49,62,71,97,118,122,130
2020-09-25,47,51,54,71,90,96,112
2020-09-26,64,70,72,89,108,112,120
2020-09-27,42,46,48,64,89,97,112
2020-09-28,33,37,39,55,85,93,106
